X,Y,fid,identificatie,addr:postcode,Max_area,X_coordinate,Y_coordinate
159759.533769415,384082.920809995,71,"0772100001013604",,58.853,159759.534,384082.921
159762.018001505,384087.622704325,72,"0772100001013603",,78.073,159762.018,384087.623
159781.091488156,384309.144138725,73,"0772100001044099",,1494.034,159781.091,384309.144
160041.162691144,383972.861875579,74,"0772100000297367",,5507.733,160041.163,383972.862
160174.716007661,384144.632102898,75,"0772100001025043",,3711.539,160174.716,384144.632
160111.573,383935.44,76,"0772100001045867",,2615.953,160111.573,383935.440
159983.418613091,384194.804267085,77,"0772100001043481",,739.207,159983.419,384194.804
159798.453038557,384421.854273671,78,"0772100001039863",,1287.721,159798.453,384421.854
159873.40381253,383997.871499564,79,"0772100001047101",,1021.276,159873.404,383997.871
159857.777582529,384046.987034044,80,"0772100001047099",,2239.955,159857.778,384046.987
159902.026816309,384037.236025423,81,"0772100001047100",,868.058,159902.027,384037.236
160142.145137272,383884.407514968,82,"0772100001047178",,483.774,160142.145,383884.408
160087.412337607,383880.613494117,83,"0772100001047179",,1252.992,160087.412,383880.613
160155.909671222,383883.481038854,84,"0772100001047180",,58.760,160155.910,383883.481
160158.780228509,383891.764013176,85,"0772100001047181",,61.321,160158.780,383891.764
160162.543,383896.1335,86,"0772100001047182",,60.880,160162.543,383896.134
160169.92458009,383904.944885037,87,"0772100001047184",,60.820,160169.925,383904.945
160166.234919329,383900.54011548,88,"0772100001047183",,61.039,160166.235,383900.540
160173.756340162,383909.516279129,89,"0772100001047185",,65.680,160173.756,383909.516
160169.984041517,383929.941335238,90,"0772100001047177",,464.926,160169.984,383929.941
160184.182750407,383921.038779879,91,"0772100001047186",,107.377,160184.183,383921.039
160073.015436768,384266.445468972,3,,,3726.681,160073.015,384266.445
159684.887553683,384368.497716059,4,,,1531.552,159684.888,384368.498
159641.273767562,384331.434108073,5,,5617BE,2146.318,159641.274,384331.434
160174.722505946,384144.621681676,15,,,3712.605,160174.723,384144.622
