scenario,num_runs,num_chargers,total_arrivals,charged,gave_up,pct_gave_up,avg_waiting_time,avg_walk_m,util_mean,util_max
baseline,10,4,502,233.9,250.4,49.8804780876494,7.93099953845938,225.95430444321244,0.6569444444444444,0.6569444444444444
more_cars_50pct,10,4,757,185.9,550.9,72.77410832232496,9.78841306061455,247.34591099949807,0.5309548611111111,0.5309548611111111
add_chargers_4,10,4,502,233.9,250.4,49.8804780876494,7.93099953845938,225.95430444321244,0.6569444444444444,0.6569444444444444
add_chargers_6,10,6,502,385.2,89.3,17.788844621513945,9.105587416331606,197.1174523336665,0.7262546296296296,0.7262546296296296
add_chargers_8,10,8,502,462.9,7.3,1.454183266932271,6.766512035071056,151.91754946925326,0.656,0.656
add_chargers_10,10,10,502,471.7,0,0.0,3.70888527170559,112.48881569384513,0.5344097222222223,0.5344097222222223
add_chargers_14,10,14,502,473.8,0,0.0,1.491646383786976,83.09031449355341,0.3833035714285714,0.3833035714285714
add_chargers_18,10,18,502,473.6,0,0.0,1.018724019006349,69.32711534205909,0.2980408950617284,0.2980408950617284
add_chargers_22,10,22,502,473.9,0,0.0,0.6095793096831952,57.46249963603452,0.24392929292929294,0.24392929292929294
add_chargers_26,10,26,502,473.6,0,0.0,0.5158457656525086,49.902480593190596,0.20635897435897435,0.20635897435897435
add_chargers_30,10,30,502,473.7,0,0.0,0.4421363508160563,44.61745134297966,0.17886342592592594,0.17886342592592594
scale_both_c4_m1p0,10,4,502,233.9,250.4,49.8804780876494,7.93099953845938,225.95430444321244,0.6569444444444444,0.6569444444444444
scale_both_c4_m1p5,10,4,757,185.9,550.9,72.77410832232496,9.78841306061455,247.34591099949807,0.5309548611111111,0.5309548611111111
scale_both_c4_m2p2,10,4,1106,132.7,949.2,85.82278481012658,10.428329040449231,247.72888929426637,0.38209375,0.38209375
scale_both_c4_m3p0,10,4,1506,101.3,1376,91.36786188579018,10.604624893227797,248.12290733482678,0.29129166666666667,0.29129166666666667
scale_both_c4_m4p0,10,4,2008,86.8,1885.4,93.89442231075697,10.423250647190837,245.28371314532365,0.2484340277777778,0.2484340277777778
scale_both_c6_m1p0,10,6,502,385.2,89.3,17.788844621513945,9.105587416331606,197.1174523336665,0.7262546296296296,0.7262546296296296
scale_both_c6_m1p5,10,6,757,353.8,367.2,48.50726552179656,12.8897477978346,234.16674838666313,0.6732893518518519,0.6732893518518519
scale_both_c6_m2p2,10,6,1106,265.1,801.6,72.47739602169982,14.406428125225464,241.22721628733768,0.5062893518518519,0.5062893518518519
scale_both_c6_m3p0,10,6,1506,201.4,1258.5,83.56573705179284,14.49653753951136,237.6683924090975,0.3839722222222222,0.3839722222222222
scale_both_c6_m4p0,10,6,2008,152.6,1799.3,89.60657370517927,13.987634615359905,233.7107960162097,0.2940277777777778,0.2940277777777778
scale_both_c8_m1p0,10,8,502,462.9,7.3,1.454183266932271,6.766512035071056,151.91754946925326,0.656,0.656
scale_both_c8_m1p5,10,8,757,502.3,207.9,27.463672391017173,14.070942855526548,210.8202833834917,0.7186545138888889,0.7186545138888889
scale_both_c8_m2p2,10,8,1106,428.4,621,56.14828209764919,18.21650645708669,239.68100917422174,0.6149670138888889,0.6149670138888889
