year,total_passenger_cars,logistic_percentage,logistic_ev_cars_each_year
2026,1142,11.92,136
2027,1165,13.68,159
2028,1189,15.12,180
2029,1212,16.23,197
2030,1237,17.04,211
2031,1261,17.61,222
2032,1287,18.0,232
2033,1312,18.26,240
2034,1339,18.44,247
2035,1365,18.55,253
