car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,61,,arrived,,arrived,14.277877625513483,,,
Car 0,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),14.277877625513483,,0.0,
Car 1,,,,38,,arrived,,arrived,22.197309992884755,,,
Car 1,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),22.197309992884755,,0.0,
Car 2,,,,62,,arrived,,arrived,32.65375351775711,,,
Car 2,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),32.65375351775711,,0.0,
Car 3,,,,61,,arrived,,arrived,36.235202315771666,,,
Car 3,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 11 (fid=40)",41.235202315771666,11,,
Car 3,,40,11,,,start_charge,,starting to charge at Charger 11 (fid=40),43.56354405757431,,5.0,
Car 4,,,,28,,arrived,,arrived,60.790079493292446,,,
Car 4,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),60.790079493292446,,0.0,
Car 5,,,,17,,arrived,,arrived,63.93173155438879,,,
Car 5,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),63.93173155438879,,0.0,
Car 1,61.0,5,13,,,done,,done charging,83.19730999288475,,,181.46240868517273
Car 0,75.0,60,6,,,done,,done charging,89.27787762551348,,,183.80015979005304
Car 3,53.0,40,11,,,done,,done charging,96.56354405757432,,,192.19000550955928
Car 6,,,,56,,arrived,,arrived,97.54321824648324,,,
Car 6,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),97.54321824648324,,0.0,
Car 7,,,,51,,arrived,,arrived,110.2481449257876,,,
Car 7,,40,11,,,start_charge,,starting to charge at Charger 11 (fid=40),110.2481449257876,,0.0,
Car 8,,,,23,,arrived,,arrived,134.0598576628018,,,
Car 9,,,,3,,arrived,,arrived,135.56124085968045,,,
Car 9,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),135.56124085968045,,0.0,
Car 2,105.0,60,6,,,done,,done charging,137.6537535177571,,,108.72370347984227
Car 5,74.0,307904,2,,,done,,done charging,137.9317315543888,,,195.70595856928733
Car 8,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",139.0598576628018,2,,
Car 8,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),143.39634516169508,,5.0,
