car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 5,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),92.0,,
Car 9,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 4 (fid=308108)",92.11823207295612,4,
Car 33,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",93.50692174590242,3,
Car 35,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",94.45255841760158,3,
Car 33,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",94.77598894233601,0,
Car 23,,,,31,,arrived,,arrived,95.0,,
Car 35,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 4 (fid=308108)",95.72162561403518,4,
Car 23,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",96.0,0,
Car 4,16.0,308440,0,,,done,,done charging,99.0,,401.4963814177354
Car 23,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),99.11357278039198,,
Car 33,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",100.13080400330122,1,
Car 35,,,,,,gave_up,4,"no alternate charger available, gave up",100.24437678369318,,
Car 15,29.0,307905,3,,,done,,done charging,100.72162561403518,,553.1709860261191
Car 9,,,,,,gave_up,4,"no alternate charger available, gave up",101.51771894915173,,
Car 33,,,,,,gave_up,1,"no alternate charger available, gave up",104.2443767836932,,
Car 19,,,,29,,arrived,,arrived,105.0,,
Car 27,,,,54,,arrived,,arrived,106.0,,
Car 19,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",106.0,2,
Car 8,22.0,308108,4,,,done,,done charging,106.39974096204091,,553.95565990517
Car 7,,,,34,,arrived,,arrived,107.0,,
Car 27,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",107.0,1,
Car 7,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",108.0,2,
Car 27,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 2 (fid=307904)",111.11357278039198,2,
Car 19,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",111.3389856372096,3,
Car 19,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),111.6080528336432,,
