car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,39,,arrived,,arrived,0.7900794932924482,,,
Car 0,,77,0,,,start_charge,,starting to charge at Charger 0 (fid=77),0.7900794932924482,,0.0,
Car 1,,,,31,,arrived,,arrived,3.9317315543887865,,,
Car 1,,33,20,,,start_charge,,starting to charge at Charger 20 (fid=33),3.9317315543887865,,0.0,
Car 2,,,,19,,arrived,,arrived,14.059857662801782,,,
Car 2,,19,8,,,start_charge,,starting to charge at Charger 8 (fid=19),14.059857662801782,,0.0,
Car 3,,,,25,,arrived,,arrived,14.277877625513483,,,
Car 3,,28,1,,,start_charge,,starting to charge at Charger 1 (fid=28),14.277877625513483,,0.0,
Car 4,,,,4,,arrived,,arrived,15.561240859680458,,,
Car 4,,38,2,,,start_charge,,starting to charge at Charger 2 (fid=38),15.561240859680458,,0.0,
Car 5,,,,22,,arrived,,arrived,22.197309992884755,,,
Car 5,,21,9,,,start_charge,,starting to charge at Charger 9 (fid=21),22.197309992884755,,0.0,
Car 6,,,,37,,arrived,,arrived,28.215810451346876,,,
Car 6,,38,2,,,start_charge,,starting to charge at Charger 2 (fid=38),28.215810451346876,,0.0,
Car 7,,,,77,,arrived,,arrived,28.581192521960098,,,
Car 7,,77,0,,,start_charge,,starting to charge at Charger 0 (fid=77),28.581192521960098,,0.0,
Car 8,,,,19,,arrived,,arrived,32.65375351775711,,,
Car 8,,19,8,,,start_charge,,starting to charge at Charger 8 (fid=19),32.65375351775711,,0.0,
Car 9,,,,1,,arrived,,arrived,36.235202315771666,,,
Car 9,,3,22,,,start_charge,,starting to charge at Charger 22 (fid=3),36.235202315771666,,0.0,
Car 10,,,,81,,arrived,,arrived,37.54321824648324,,,
Car 10,,81,12,,,start_charge,,starting to charge at Charger 12 (fid=81),37.54321824648324,,0.0,
Car 11,,,,26,,arrived,,arrived,38.34408843264972,,,
Car 11,,27,16,,,start_charge,,starting to charge at Charger 16 (fid=27),38.34408843264972,,0.0,
Car 12,,,,81,,arrived,,arrived,50.18768707646333,,,
Car 12,,81,12,,,start_charge,,starting to charge at Charger 12 (fid=81),50.18768707646333,,0.0,
Car 13,,,,77,,arrived,,arrived,50.2481449257876,,,
Car 13,,,,,0,switch,,"Charger 0 (fid=77) not available, trying Charger 19 (fid=4)",55.2481449257876,19,,
Car 13,,4,19,,,start_charge,,starting to charge at Charger 19 (fid=4),55.73366729273055,,5.0,
Car 14,,,,18,,arrived,,arrived,59.73869013062777,,,
Car 14,,71,3,,,start_charge,,starting to charge at Charger 3 (fid=71),59.73869013062777,,0.0,
Car 15,,,,37,,arrived,,arrived,61.860705088185,,,
Car 16,,,,17,,arrived,,arrived,63.84188629361984,,,
Car 16,,44,24,,,start_charge,,starting to charge at Charger 24 (fid=44),63.84188629361984,,0.0,
Car 1,60.0,33,20,,,done,,done charging,63.93173155438879,,,10.754222659011877
Car 15,,,,,2,switch,,"Charger 2 (fid=38) not available, trying Charger 24 (fid=44)",66.860705088185,24,,
Car 15,,44,24,,,start_charge,,starting to charge at Charger 24 (fid=44),68.11672755969425,,5.0,
Car 17,,,,77,,arrived,,arrived,69.03698544141143,,,
Car 2,55.0,19,8,,,done,,done charging,69.05985766280179,,,0.0
Car 17,,,,,0,switch,,"Charger 0 (fid=77) not available, trying Charger 19 (fid=4)",74.03698544141143,19,,
Car 17,,4,19,,,start_charge,,starting to charge at Charger 19 (fid=4),74.52250780835438,,5.0,
Car 18,,,,45,,arrived,,arrived,78.07605957094273,,,
Car 18,,,,,0,switch,,"Charger 0 (fid=77) not available, trying Charger 19 (fid=4)",83.07605957094273,19,,
Car 6,56.0,38,2,,,done,,done charging,84.21581045134687,,,110.92205005767815
Car 19,,,,55,,arrived,,arrived,88.36494531992801,,,
Car 19,,55,6,,,start_charge,,starting to charge at Charger 6 (fid=55),88.36494531992801,,0.0,
Car 4,73.0,38,2,,,done,,done charging,88.56124085968045,,,60.101457228617086
Car 18,,,,,19,switch,,"Charger 19 (fid=4) not available, trying Charger 5 (fid=17)",88.56158193788568,5,,
Car 18,,17,5,,,start_charge,,starting to charge at Charger 5 (fid=17),90.26165515864922,,10.0,
