car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 29,,,,46,,arrived,arrived,334.8921926953164,,,
Car 29,,41,18,,,start_charge,starting to charge at Charger 18 (fid=41),334.8921926953164,,0.0,
Car 30,,,,27,,arrived,arrived,337.21007771620106,,,
Car 30,,26,9,,,start_charge,starting to charge at Charger 9 (fid=26),337.21007771620106,,0.0,
Car 23,75.0,71,7,,,done,done charging,337.74452525049537,,,0.0
Car 20,95.0,8,13,,,done,done charging,338.7853208421331,,,0.0
Car 31,,,,9,,arrived,arrived,338.9832819328358,,,
Car 31,,10,12,,,start_charge,starting to charge at Charger 12 (fid=10),338.9832819328358,,0.0,
Car 32,,,,44,,arrived,arrived,339.65059029670994,,,
Car 32,,41,18,,,start_charge,starting to charge at Charger 18 (fid=41),339.65059029670994,,0.0,
Car 33,,,,8,,arrived,arrived,341.4780342963583,,,
Car 33,,8,13,,,start_charge,starting to charge at Charger 13 (fid=8),341.4780342963583,,0.0,
Car 34,,,,4,,arrived,arrived,354.08249760027957,,,
Car 34,,,,,8,switch,"Charger 8 (fid=4) not available, trying Charger 27 (fid=60)",359.08249760027957,27,,
Car 34,,60,27,,,start_charge,starting to charge at Charger 27 (fid=60),359.800444500133,,5.0,
Car 22,107.0,63,19,,,done,done charging,362.50140236191476,,,80.50333211118276
Car 35,,,,39,,arrived,arrived,363.8624098329466,,,
Car 35,,50,16,,,start_charge,starting to charge at Charger 16 (fid=50),363.8624098329466,,0.0,
Car 36,,,,67,,arrived,arrived,364.2852499223301,,,
Car 36,,17,22,,,start_charge,starting to charge at Charger 22 (fid=17),364.2852499223301,,0.0,
Car 37,,,,61,,arrived,arrived,365.85698941281794,,,
Car 37,,62,26,,,start_charge,starting to charge at Charger 26 (fid=62),365.85698941281794,,0.0,
Car 38,,,,50,,arrived,arrived,368.0985439531355,,,
Car 38,,50,16,,,start_charge,starting to charge at Charger 16 (fid=50),368.0985439531355,,0.0,
Car 39,,,,84,,arrived,arrived,369.0095920960929,,,
Car 39,,91,17,,,start_charge,starting to charge at Charger 17 (fid=91),369.0095920960929,,0.0,
Car 40,,,,72,,arrived,arrived,371.6312398678993,,,
Car 40,,71,7,,,start_charge,starting to charge at Charger 7 (fid=71),371.6312398678993,,0.0,
Car 41,,,,46,,arrived,arrived,371.8588893005809,,,
Car 41,,,,,18,switch,"Charger 18 (fid=41) not available, trying Charger 22 (fid=17)",376.8588893005809,22,,
Car 42,,,,61,,arrived,arrived,377.13919381379486,,,
Car 42,,62,26,,,start_charge,starting to charge at Charger 26 (fid=62),377.13919381379486,,0.0,
Car 41,,17,22,,,start_charge,starting to charge at Charger 22 (fid=17),377.679791766974,,5.0,
Car 43,,,,19,,arrived,arrived,381.4018043227671,,,
Car 43,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),381.4018043227671,,0.0,
