car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 30,,,,37,,arrived,arrived,332.8583321752232,,,
Car 30,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),332.8583321752232,,0.0,
Car 31,,,,70,,arrived,arrived,336.3511130231928,,,
Car 31,,20,20,,,start_charge,starting to charge at Charger 20 (fid=20),336.3511130231928,,0.0,
Car 23,48.0,10,21,,,done,done charging,339.27890147948085,,,0.0
Car 32,,,,4,,arrived,arrived,340.3020873909884,,,
Car 32,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),340.3020873909884,,0.0,
Car 19,113.0,32,11,,,done,done charging,348.6485378856836,,,29.248922048492695
Car 33,,,,19,,arrived,arrived,351.929050211105,,,
Car 34,,,,33,,arrived,arrived,356.0753018339945,,,
Car 34,,34,28,,,start_charge,starting to charge at Charger 28 (fid=34),356.0753018339945,,0.0,
Car 33,,,,,20,switch,"Charger 20 (fid=20) not available, trying Charger 9 (fid=22)",356.929050211105,9,,
Car 33,,22,9,,,start_charge,starting to charge at Charger 9 (fid=22),357.05844646886516,,5.0,
Car 35,,,,5,,arrived,arrived,362.5943081443349,,,
Car 35,,5,29,,,start_charge,starting to charge at Charger 29 (fid=5),362.5943081443349,,0.0,
Car 36,,,,51,,arrived,arrived,362.77931994021077,,,
Car 36,,59,6,,,start_charge,starting to charge at Charger 6 (fid=59),362.77931994021077,,0.0,
Car 21,89.0,15,2,,,done,done charging,366.6185361447878,,,45.87318816035984
Car 37,,,,6,,arrived,arrived,369.6792363672965,,,
Car 37,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),369.6792363672965,,0.0,
Car 38,,,,61,,arrived,arrived,371.7344096599989,,,
Car 38,,10,21,,,start_charge,starting to charge at Charger 21 (fid=10),371.7344096599989,,0.0,
Car 39,,,,73,,arrived,arrived,372.16023697034376,,,
Car 39,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),372.16023697034376,,0.0,
Car 24,82.0,83,3,,,done,done charging,374.80304508167194,,,0.0
Car 40,,,,38,,arrived,arrived,376.578290097581,,,
Car 40,,38,16,,,start_charge,starting to charge at Charger 16 (fid=38),376.578290097581,,0.0,
Car 41,,,,78,,arrived,arrived,376.8259926969731,,,
Car 42,,,,62,,arrived,arrived,378.01474437439947,,,
Car 43,,,,16,,arrived,arrived,378.30669578596434,,,
