car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 19,56.0,14,19,,,done,,done charging,230.58477535809442,,,71.55525940291663
Car 25,,14,19,,,start_charge,,starting to charge at Charger 19 (fid=14),230.58477535809442,,5.20047600062162,
Car 21,45.0,11,16,,,done,,done charging,231.04207248410194,,,138.34156660858244
Car 26,,,,78,,arrived,,arrived,233.9302972780796,,,
Car 26,,10,15,,,start_charge,,starting to charge at Charger 15 (fid=10),233.9302972780796,,0.0,
Car 27,,,,8,,arrived,,arrived,255.62953862351756,,,
Car 27,,8,13,,,start_charge,,starting to charge at Charger 13 (fid=8),255.62953862351756,,0.0,
Car 16,106.0,308702,1,,,done,,done charging,263.1021398005199,,,141.9503146929267
Car 28,,,,4,,arrived,,arrived,268.620586593163,,,
Car 28,,4,10,,,start_charge,,starting to charge at Charger 10 (fid=4),268.620586593163,,0.0,
Car 29,,,,9,,arrived,,arrived,276.65321840662807,,,
Car 29,,9,14,,,start_charge,,starting to charge at Charger 14 (fid=9),276.65321840662807,,0.0,
Car 17,111.0,14,19,,,done,,done charging,279.61303415979535,,,100.09295710090483
Car 20,96.0,308440,0,,,done,,done charging,281.56152302412426,,,103.02087371671979
Car 24,53.0,6,11,,,done,,done charging,282.2498526687125,,,181.71518128291433
Car 18,115.0,13,18,,,done,,done charging,289.129957026375,,,69.12834146429454
Car 30,,,,32,,arrived,,arrived,291.9185956662984,,,
Car 30,,14,19,,,start_charge,,starting to charge at Charger 19 (fid=14),291.9185956662984,,0.0,
Car 22,87.0,308440,0,,,done,,done charging,293.050310127227,,,113.2555742822028
Car 31,,,,57,,arrived,,arrived,294.78066319427387,,,
Car 26,63.0,10,15,,,done,,done charging,296.9302972780796,,,124.59413079072937
Car 32,,,,18,,arrived,,arrived,297.99638206624553,,,
Car 31,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 21 (fid=16)",299.78066319427387,21,,
Car 33,,,,60,,arrived,,arrived,300.06856915886567,,,
Car 33,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),300.06856915886567,,0.0,
Car 34,,,,8,,arrived,,arrived,300.84250200984116,,,
Car 34,,8,13,,,start_charge,,starting to charge at Charger 13 (fid=8),300.84250200984116,,0.0,
Car 31,,16,21,,,start_charge,,starting to charge at Charger 21 (fid=16),301.4794974142888,,5.0,
Car 32,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 0 (fid=308440)",302.99638206624553,0,,
Car 32,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),304.5907765281106,,5.0,
Car 23,86.0,16,21,,,done,,done charging,308.36770967675,,,146.0736887115949
Car 35,,,,36,,arrived,,arrived,314.6346526132279,,,
Car 36,,,,32,,arrived,,arrived,319.5122617648434,,,
Car 35,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 0 (fid=308440)",319.6346526132279,0,,
Car 35,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),321.229047075093,,5.0,
Car 37,,,,82,,arrived,,arrived,323.9294125334561,,,
Car 37,,91,9,,,start_charge,,starting to charge at Charger 9 (fid=91),323.9294125334561,,0.0,
Car 36,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 0 (fid=308440)",324.5122617648434,0,,
Car 38,,,,62,,arrived,,arrived,329.61467198791945,,,
Car 38,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),329.61467198791945,,0.0,
Car 36,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 21 (fid=16)",331.1066562267085,21,,
Car 39,,,,51,,arrived,,arrived,332.9219582301354,,,
Car 39,,15,20,,,start_charge,,starting to charge at Charger 20 (fid=15),332.9219582301354,,0.0,
Car 36,,16,21,,,start_charge,,starting to charge at Charger 21 (fid=16),333.5514085144306,,10.0,
Car 40,,,,68,,arrived,,arrived,340.089192073911,,,
Car 41,,,,4,,arrived,,arrived,343.18228118423724,,,
Car 41,,4,10,,,start_charge,,starting to charge at Charger 10 (fid=4),343.18228118423724,,0.0,
