car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 169,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",173.0,3,,
Car 108,54.0,73,5,,,done,,done charging,176.0,,,52.18342097829892
Car 148,,,,77,,arrived,,arrived,177.0,,,
Car 5,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",177.93838464164443,3,,
Car 61,109.0,73,5,,,done,,done charging,179.0,,,46.809697563664486
Car 12,51.0,31,8,,,done,,done charging,180.78550538131702,,,153.86776271202248
Car 169,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",180.8588498683722,2,,
Car 148,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",182.0,3,,
Car 163,92.0,308702,1,,,done,,done charging,183.33625344304474,,,232.57751411520684
Car 5,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",185.1627105153794,2,,
Car 169,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 1 (fid=308702)",185.89201305491352,1,,
Car 79,73.0,60,6,,,done,,done charging,186.0,,,83.60540020832796
Car 148,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",189.22432587373495,2,,
Car 5,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",190.1958737019207,4,,
Car 169,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),190.50651551143662,,15.0,
Car 5,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),191.87413852496186,,40.0,
Car 216,69.0,30,7,,,done,,done charging,193.0,,,12.865824886131326
Car 148,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",194.25748906027627,4,,
Car 148,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 5 (fid=73)",200.93575388331743,5,,
Car 9,,,,55,,arrived,,arrived,204.0,,,
Car 218,,,,10,,arrived,,arrived,204.0,,,
Car 218,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),204.0,,0.0,
Car 166,,,,36,,arrived,,arrived,205.0,,,
Car 148,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),206.1573119196901,,20.0,
Car 47,85.0,60,6,,,done,,done charging,209.0,,,59.80497675779154
Car 36,46.0,308108,4,,,done,,done charging,209.0,,,168.71753642404158
Car 9,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",209.0,1,,
Car 166,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",210.0,3,,
Car 74,63.0,307904,2,,,done,,done charging,215.0,,,59.85703862538347
Car 9,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",216.22134419256946,8,,
Car 9,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),216.78550538131702,,10.0,
Car 166,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",217.8588498683722,2,,
Car 166,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),217.89201305491352,,10.0,
Car 165,107.0,308440,0,,,done,,done charging,221.22134419256946,,,132.29525314614574
Car 19,101.0,308440,0,,,done,,done charging,227.0,,,40.47401549143133
Car 73,,,,44,,arrived,,arrived,229.0,,,
Car 197,116.0,30,7,,,done,,done charging,231.95037471539953,,,162.01495068359642
