car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,61,,arrived,,arrived,14.277877625513483,,,
Car 0,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),14.277877625513483,,0.0,
Car 1,,,,38,,arrived,,arrived,32.65375351775711,,,
Car 1,,5,5,,,start_charge,,starting to charge at Charger 5 (fid=5),32.65375351775711,,0.0,
Car 2,,,,62,,arrived,,arrived,82.19730999288475,,,
Car 2,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),82.19730999288475,,0.0,
Car 0,75.0,1,6,,,done,,done charging,89.27787762551348,,,419.7635025576588
Car 1,61.0,5,5,,,done,,done charging,93.65375351775711,,,181.46240868517273
Car 3,,,,61,,arrived,,arrived,96.23520231577166,,,
Car 3,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),96.23520231577166,,0.0,
Car 4,,,,28,,arrived,,arrived,123.93173155438879,,,
Car 4,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),123.93173155438879,,0.0,
Car 3,53.0,1,6,,,done,,done charging,149.23520231577166,,,419.7635025576588
Car 5,,,,17,,arrived,,arrived,157.54321824648324,,,
Car 5,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),157.54321824648324,,0.0,
Car 6,,,,56,,arrived,,arrived,180.79007949329244,,,
Car 6,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),180.79007949329244,,0.0,
Car 2,105.0,1,6,,,done,,done charging,187.19730999288475,,,327.9332653056076
Car 4,105.0,308440,0,,,done,,done charging,228.9317315543888,,,197.2293398759669
Car 7,,,,51,,arrived,,arrived,230.24814492578759,,,
Car 7,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),230.24814492578759,,0.0,
Car 5,74.0,307904,2,,,done,,done charging,231.54321824648324,,,195.70595856928733
Car 8,,,,23,,arrived,,arrived,254.0598576628018,,,
Car 8,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),254.0598576628018,,0.0,
Car 9,,,,3,,arrived,,arrived,255.56124085968045,,,
Car 9,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),255.56124085968045,,0.0,
Car 6,105.0,308440,0,,,done,,done charging,285.7900794932924,,,174.96928122495086
Car 8,64.0,308440,0,,,done,,done charging,318.0598576628018,,,129.36064908845339
Car 9,64.0,1,6,,,done,,done charging,319.5612408596804,,,485.9693802717032
Car 10,,,,39,,arrived,,arrived,328.2158104513469,,,
Car 10,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),328.2158104513469,,0.0,
