car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,82,,arrived,,arrived,47.60040502569978,,,
Car 0,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),47.60040502569978,,0.0,
Car 1,,,,75,,arrived,,arrived,49.31724253918361,,,
Car 1,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),49.31724253918361,,0.0,
Car 2,,,,1,,arrived,,arrived,75.69728897667947,,,
Car 2,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),75.69728897667947,,0.0,
Car 3,,,,50,,arrived,,arrived,89.10207767585672,,,
Car 3,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),89.10207767585672,,0.0,
Car 4,,,,36,,arrived,,arrived,120.02710289310426,,,
Car 4,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),120.02710289310426,,0.0,
Car 2,49.0,307904,2,,,done,,done charging,124.69728897667947,,,99.11480165757857
Car 1,107.0,308108,4,,,done,,done charging,156.3172425391836,,,353.20455404695605
Car 5,,,,30,,arrived,,arrived,159.76911377302605,,,
Car 5,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),159.76911377302605,,0.0,
Car 0,118.0,308108,4,,,done,,done charging,165.60040502569979,,,209.66513406538752
Car 5,47.0,308440,0,,,done,,done charging,206.76911377302605,,,135.6181282481665
Car 6,,,,73,,arrived,,arrived,208.2152554238667,,,
Car 6,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),208.2152554238667,,0.0,
Car 3,120.0,60,6,,,done,,done charging,209.10207767585672,,,195.06603983451163
Car 4,92.0,308440,0,,,done,,done charging,212.02710289310426,,,170.52989220743032
Car 7,,,,21,,arrived,,arrived,225.58383810587358,,,
Car 7,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),225.58383810587358,,0.0,
Car 8,,,,68,,arrived,,arrived,262.3896223244305,,,
Car 8,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),262.3896223244305,,0.0,
Car 6,70.0,73,5,,,done,,done charging,278.21525542386667,,,62.537028395157705
Car 9,,,,58,,arrived,,arrived,286.2083901562794,,,
Car 9,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),286.2083901562794,,0.0,
Car 10,,,,66,,arrived,,arrived,316.36188514031824,,,
Car 10,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),316.36188514031824,,0.0,
Car 7,97.0,307904,2,,,done,,done charging,322.5838381058736,,,174.17594234068196
Car 11,,,,87,,arrived,,arrived,324.8403864699182,,,
Car 11,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),324.8403864699182,,0.0,
Car 12,,,,118,,arrived,,arrived,343.78948995732094,,,
Car 12,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),343.78948995732094,,0.0,
Car 13,,,,78,,arrived,,arrived,348.1149289897562,,,
Car 13,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),348.1149289897562,,0.0,
Car 9,69.0,308108,4,,,done,,done charging,355.2083901562794,,,156.2766231973864
Car 14,,,,46,,arrived,,arrived,371.57909254584524,,,
Car 14,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),371.57909254584524,,0.0,
Car 15,,,,74,,arrived,,arrived,375.9312632663101,,,
Car 8,114.0,308440,0,,,done,,done charging,376.3896223244305,,,46.13370440893304
Car 11,56.0,308108,4,,,done,,done charging,380.8403864699182,,,190.81237011260845
Car 15,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",380.9312632663101,3,,
Car 15,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),381.1948894478742,,5.0,
Car 16,,,,8,,arrived,,arrived,392.2983131733166,,,
Car 16,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),392.2983131733166,,0.0,
Car 17,,,,60,,arrived,,arrived,393.21690992989704,,,
Car 17,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),393.21690992989704,,0.0,
Car 10,78.0,60,6,,,done,,done charging,394.36188514031824,,,266.0227349293096
Car 18,,,,83,,arrived,,arrived,400.9231044773207,,,
Car 19,,,,52,,arrived,,arrived,401.14139292602647,,,
Car 18,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",405.9231044773207,3,,
Car 19,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",406.14139292602647,3,,
Car 20,,,,54,,arrived,,arrived,408.2019185766788,,,
Car 20,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),408.2019185766788,,0.0,
Car 21,,,,115,,arrived,,arrived,408.3074429909384,,,
Car 21,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),408.3074429909384,,0.0,
Car 22,,,,63,,arrived,,arrived,410.6569394877699,,,
Car 18,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",411.18673065888476,0,,
Car 19,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 4 (fid=308108)",411.40501910759053,4,,
Car 19,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),414.92748895384267,,10.0,
Car 22,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",415.6569394877699,1,,
Car 22,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),419.5780113947129,,5.0,
Car 18,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 6 (fid=60)",420.5395549893988,6,,
Car 18,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),425.16739052165576,,15.0,
Car 23,,,,61,,arrived,,arrived,425.5880755314859,,,
Car 24,,,,37,,arrived,,arrived,425.62682245175637,,,
Car 23,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",430.5880755314859,5,,
Car 24,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",430.62682245175637,1,,
Car 12,87.0,307904,2,,,done,,done charging,430.78948995732094,,,270.0692311370492
Car 25,,,,8,,arrived,,arrived,431.82972268793606,,,
Car 26,,,,18,,arrived,,arrived,432.0524591928292,,,
Car 25,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",436.82972268793606,6,,
Car 26,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",437.0524591928292,2,,
Car 27,,,,35,,arrived,,arrived,437.47101370880796,,,
Car 15,57.0,307905,3,,,done,,done charging,438.1948894478742,,,286.01797827067844
Car 23,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 4 (fid=308108)",438.61726455300544,4,,
Car 13,91.0,73,5,,,done,,done charging,439.1149289897562,,,287.88250201450325
Car 24,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 6 (fid=60)",439.5478943586994,6,,
Car 28,,,,38,,arrived,,arrived,440.13492106954885,,,
Car 26,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),441.3889466917225,,5.0,
Car 29,,,,11,,arrived,,arrived,441.6227739244858,,,
Car 27,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",442.47101370880796,2,,
Car 17,50.0,60,6,,,done,,done charging,443.21690992989704,,,39.826269693187264
Car 25,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),443.21690992989704,,8.35799822044146,
Car 23,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),444.85035553369033,,10.0,
Car 28,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=73)",445.13492106954885,5,,
Car 29,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",446.6227739244858,5,,
Car 30,,,,85,,arrived,,arrived,446.7127448467706,,,
Car 14,77.0,308702,1,,,done,,done charging,448.57909254584524,,,141.95031469366253
Car 28,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),449.0559929764919,,5.0,
Car 24,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 7 (fid=31)",450.21234697815584,7,,
Car 30,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",451.7127448467706,2,,
Car 27,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",451.80750120770125,3,,
Car 27,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),452.0711273892653,,10.0,
Car 29,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 0 (fid=308440)",454.6519629460053,0,,
Car 31,,,,1,,arrived,,arrived,455.31418781106044,,,
Car 24,,31,7,,,start_charge,,starting to charge at Charger 7 (fid=31),456.2151649742042,,15.0,
Car 32,,,,2,,arrived,,arrived,458.09513112742195,,,
Car 33,,,,57,,arrived,,arrived,459.32423960239106,,,
Car 30,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",460.218877861402,3,,
Car 31,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",460.31418781106044,3,,
Car 32,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",463.09513112742195,2,,
Car 29,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",463.91574195858306,2,,
Car 33,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=73)",464.32423960239106,5,,
Car 30,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 6 (fid=60)",465.48250404296607,6,,
Car 31,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 4 (fid=308108)",465.5778139926245,4,,
Car 22,48.0,308702,1,,,done,,done charging,467.5780113947129,,,306.94508439785955
Car 34,,,,38,,arrived,,arrived,468.0169631883256,,,
Car 34,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),468.0169631883256,,0.0,
Car 35,,,,39,,arrived,,arrived,468.28689079753457,,,
Car 32,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",471.60126414205337,3,,
Car 29,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",473.25222945747635,3,,
Car 35,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",473.28689079753457,5,,
Car 33,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",473.5880186149688,1,,
Car 31,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 6 (fid=60)",474.10028383887663,6,,
Car 16,82.0,73,5,,,done,,done charging,474.2983131733166,,,237.46549237048123
Car 30,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 0 (fid=308440)",474.5009973872903,0,,
Car 35,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),476.3160798190541,,5.0,
Car 32,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 6 (fid=60)",476.86489032361743,6,,
Car 36,,,,68,,arrived,,arrived,477.08238022581475,,,
Car 20,69.0,308440,0,,,done,,done charging,477.2019185766788,,,186.2715086920258
Car 36,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),477.2019185766788,,0.11953835086404752,
Car 33,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),477.50909052191184,,10.0,
Car 29,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 1 (fid=308702)",478.5158556390404,1,,
Car 37,,,,5,,arrived,,arrived,481.7053188235216,,,
Car 31,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 0 (fid=308440)",483.32285220005525,0,,
Car 30,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=73)",484.1288329195472,5,,
Car 38,,,,61,,arrived,,arrived,485.3812477738368,,,
Car 32,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",485.88338366794164,5,,
Car 37,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",486.7053188235216,2,,
Car 29,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=31)",490.01997184880656,7,,
Car 38,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",490.3812477738368,5,,
Car 29,,31,7,,,start_charge,,starting to charge at Charger 7 (fid=31),490.72337344779106,,30.0,
Car 31,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=73)",492.9506877323122,5,,
Car 30,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",493.39261193212496,1,,
Car 32,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 0 (fid=308440)",493.9125726894612,0,,
Car 18,70.0,60,6,,,done,,done charging,495.16739052165576,,,557.4444584597272
Car 37,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",495.21145183815304,3,,
Car 39,,,,8,,arrived,,arrived,498.2594643640725,,,
Car 38,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 4 (fid=308108)",498.4104367953563,4,,
Car 37,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 6 (fid=60)",500.4750780197171,6,,
Car 40,,,,25,,arrived,,arrived,501.68258528928266,,,
Car 31,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",502.21446674488993,1,,
Car 30,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=31)",502.313683839068,7,,
Car 32,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",503.1763517020389,1,,
Car 25,60.0,60,6,,,done,,done charging,503.21690992989704,,,293.72673876710047
Car 39,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",503.2594643640725,6,,
Car 37,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),504.4935713640413,,15.0,
Car 19,91.0,308108,4,,,done,,done charging,505.92748895384267,,,206.4392863253372
Car 38,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),505.92748895384267,,11.283961177801473,
Car 39,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),506.28865338559206,,5.0,
Car 40,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",506.68258528928266,2,,
