car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 36,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),235.0,,
Car 83,,,,63,,arrived,,arrived,237.0,,
Car 63,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 2 (fid=8)",237.80491146354197,2,
Car 83,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 4 (fid=11)",238.0,4,
Car 29,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",240.18741611957103,1,
Car 83,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 5 (fid=47)",242.409150285496,5,
Car 29,,,,,,gave_up,1,"no alternate charger available, gave up",243.1429589240177,,
Car 63,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",244.28630599771063,1,
Car 83,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",248.06261131108758,1,
Car 86,,,,14,,arrived,,arrived,249.0,,
Car 86,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",250.0,4,
Car 58,101.0,115,0,,,done,,done charging,251.0,,206.59404042544975
Car 83,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",251.01815411553426,0,
Car 63,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 3 (fid=12)",251.10975541301318,3,
Car 86,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 3 (fid=12)",254.1514504379504,3,
Car 83,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),254.9252331502759,,
Car 86,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),258.94195652831013,,
Car 63,,,,,,gave_up,3,"no alternate charger available, gave up",260.6370507897866,,
Car 55,66.0,11,4,,,done,,done charging,262.0,,317.86377328305974
Car 101,,,,116,,arrived,,arrived,263.0,,
Car 101,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",264.0,4,
Car 101,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),267.1514504379504,,
Car 53,,,,74,,arrived,,arrived,287.0,,
Car 53,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",288.0,0,
Car 91,,,,90,,arrived,,arrived,289.0,,
Car 36,55.0,33,1,,,done,,done charging,290.0,,73.84673273459214
