car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 133,,,,41,,arrived,arrived,3.0,,
Car 133,,31,6,,,start_charge,starting to charge at Charger 6 (fid=31),3.0,,
Car 120,,,,68,,arrived,arrived,17.0,,
Car 167,,,,61,,arrived,arrived,17.0,,
Car 120,,21,19,,,start_charge,starting to charge at Charger 19 (fid=21),17.0,,
Car 167,,40,11,,,start_charge,starting to charge at Charger 11 (fid=40),17.0,,
Car 132,,,,32,,arrived,arrived,21.0,,
Car 132,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),21.0,,
Car 233,,,,24,,arrived,arrived,32.0,,
Car 233,,22,7,,,start_charge,starting to charge at Charger 7 (fid=22),32.0,,
Car 115,,,,45,,arrived,arrived,35.0,,
Car 115,,11,4,,,start_charge,starting to charge at Charger 4 (fid=11),35.0,,
Car 250,,,,32,,arrived,arrived,37.0,,
Car 250,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 25 (fid=70)",38.0,25,
Car 68,,,,58,,arrived,arrived,39.0,,
Car 68,,5,16,,,start_charge,starting to charge at Charger 16 (fid=5),39.0,,
Car 250,,70,25,,,start_charge,starting to charge at Charger 25 (fid=70),39.36666855368898,,
Car 43,,,,51,,arrived,arrived,49.0,,
Car 76,,,,42,,arrived,arrived,49.0,,
Car 43,,51,22,,,start_charge,starting to charge at Charger 22 (fid=51),49.0,,
Car 76,,47,5,,,start_charge,starting to charge at Charger 5 (fid=47),49.0,,
Car 1,,,,41,,arrived,arrived,56.0,,
Car 165,,,,11,,arrived,arrived,57.0,,
Car 1,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 5 (fid=47)",57.0,5,
Car 165,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 25 (fid=70)",58.0,25,
Car 1,,,,,5,switch,"Charger 5 (fid=47) not available, trying Charger 24 (fid=48)",59.25578751060719,24,
Car 272,,,,54,,arrived,arrived,60.0,,
Car 1,,48,24,,,start_charge,starting to charge at Charger 24 (fid=48),60.43784578897486,,
Car 272,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 20 (fid=56)",61.0,20,
Car 165,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 12 (fid=33)",61.33429067379938,12,
Car 217,,,,67,,arrived,arrived,62.0,,
Car 272,,56,20,,,start_charge,starting to charge at Charger 20 (fid=56),62.45891193247973,,
Car 217,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 4 (fid=11)",63.0,4,
Car 165,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 14 (fid=28)",63.70095922748836,14,
Car 165,,28,14,,,start_charge,starting to charge at Charger 14 (fid=28),64.43182244835246,,
Car 49,,,,14,,arrived,arrived,68.0,,
Car 217,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 25 (fid=70)",68.35083276843581,25,
Car 49,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 25 (fid=70)",69.0,25,
Car 49,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 14 (fid=28)",71.36666855368898,14,
Car 217,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 5 (fid=47)",71.68512344223518,5,
Car 57,,,,43,,arrived,arrived,72.0,,
Car 57,,,,,24,switch,"Charger 24 (fid=48) not available, trying Charger 9 (fid=28)",73.0,9,
Car 57,,28,9,,,start_charge,starting to charge at Charger 9 (fid=28),74.05427848078216,,
Car 49,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 19 (fid=21)",74.09280808101884,19,
Car 217,,,,,5,switch,"Charger 5 (fid=47) not available, trying Charger 20 (fid=56)",77.41512321532447,20,
Car 49,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 20 (fid=56)",77.61449593460962,20,
Car 120,62.0,21,19,,,done,done charging,79.0,,58.96096273707809
Car 219,,,,72,,arrived,arrived,80.0,,
Car 49,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 0 (fid=115)",80.86895619335027,0,
Car 219,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 12 (fid=33)",81.0,12,
Car 294,,,,115,,arrived,arrived,82.0,,
Car 294,,21,19,,,start_charge,starting to charge at Charger 19 (fid=21),82.0,,
Car 32,,,,81,,arrived,arrived,83.0,,
Car 143,,,,26,,arrived,arrived,83.0,,
Car 49,,115,0,,,start_charge,starting to charge at Charger 0 (fid=115),83.14502788998101,,
Car 217,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 24 (fid=48)",83.35691859385949,24,
Car 219,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 19 (fid=21)",83.36666855368898,19,
Car 32,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",84.0,12,
Car 143,,,,,7,switch,"Charger 7 (fid=22) not available, trying Charger 14 (fid=28)",84.0,14,
Car 132,64.0,33,12,,,done,done charging,85.0,,58.71310886256333
Car 32,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),85.0,,
Car 219,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 20 (fid=56)",86.52888543363888,20,
Car 143,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",86.71249874474354,12,
Car 84,,,,80,,arrived,arrived,88.0,,
Car 143,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 19 (fid=21)",88.44336196560764,19,
Car 84,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",89.0,12,
Car 217,,,,,24,switch,"Charger 24 (fid=48) not available, trying Charger 12 (fid=33)",89.36818405939195,12,
Car 219,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 0 (fid=115)",89.78334569237953,0,
