car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 287,,,,22,,arrived,arrived,103.0,,
Car 83,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",103.50561211306058,0,
Car 287,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 19 (fid=21)",104.0,19,
Car 83,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",105.34791943042073,4,
Car 132,104.0,31,6,,,done,done charging,107.0,,65.52816383322315
Car 42,58.0,51,22,,,done,done charging,107.0,,54.704323229856534
Car 195,,,,,7,switch,"Charger 7 (fid=22) not available, trying Charger 28 (fid=35)",107.61911060008231,28,
Car 271,48.0,57,26,,,done,done charging,108.0,,62.45338735224125
Car 287,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",108.02729478738432,0,
Car 83,,11,4,,,start_charge,starting to charge at Charger 4 (fid=11),108.49936986837112,,
Car 287,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",109.86960210474447,1,
Car 129,,,,18,,arrived,arrived,110.0,,
Car 265,,,,44,,arrived,arrived,110.0,,
Car 195,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 14 (fid=28)",110.2833026651168,14,
Car 232,79.0,22,7,,,done,done charging,111.0,,66.90089749934698
Car 129,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 12 (fid=33)",111.0,12,
Car 265,,,,,5,switch,"Charger 5 (fid=47) not available, trying Charger 6 (fid=31)",111.0,6,
Car 195,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",111.94167798321313,12,
Car 263,,,,60,,arrived,arrived,112.0,,
Car 265,,31,6,,,start_charge,starting to charge at Charger 6 (fid=31),112.25578751060719,,
Car 129,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 25 (fid=70)",112.29890434445544,25,
Car 263,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 11 (fid=40)",113.0,11,
Car 195,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 19 (fid=21)",113.67254120407722,19,
Car 287,,33,1,,,start_charge,starting to charge at Charger 1 (fid=33),113.7766811394861,,
Car 129,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 26 (fid=57)",114.66557289814442,26,
Car 129,,57,26,,,start_charge,starting to charge at Charger 26 (fid=57),115.76358758276247,,
Car 28,,,,41,,arrived,arrived,116.0,,
Car 195,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",116.83475808402711,0,
Car 166,100.0,40,11,,,done,done charging,117.0,,192.19000550916132
Car 28,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 5 (fid=47)",117.0,5,
Car 263,,40,11,,,start_charge,starting to charge at Charger 11 (fid=40),117.0,,
Car 195,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 25 (fid=70)",118.67706540138727,25,
Car 28,,,,,5,switch,"Charger 5 (fid=47) not available, trying Charger 24 (fid=48)",119.25578751060719,24,
Car 195,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 18 (fid=88)",121.13901767542542,18,
Car 28,,,,,24,switch,"Charger 24 (fid=48) not available, trying Charger 9 (fid=28)",121.43784578897485,9,
Car 72,,,,46,,arrived,arrived,122.0,,
Car 28,,28,9,,,start_charge,starting to charge at Charger 9 (fid=28),122.49212426975701,,
Car 72,,,,,24,switch,"Charger 24 (fid=48) not available, trying Charger 6 (fid=31)",123.0,6,
Car 164,61.0,70,25,,,done,done charging,123.33736038236617,,194.44641312748814
Car 144,,,,34,,arrived,arrived,125.0,,
Car 72,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 9 (fid=28)",125.5129700612638,9,
Car 144,,,,,1,switch,"Charger 1 (fid=33) not available, trying Charger 6 (fid=31)",126.0,6,
Car 72,,,,,9,switch,"Charger 9 (fid=28) not available, trying Charger 29 (fid=23)",127.54698597857607,29,
Car 195,,88,18,,,start_charge,starting to charge at Charger 18 (fid=88),127.82573499518917,,
Car 144,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 15 (fid=26)",128.52446073888333,15,
Car 293,47.0,21,19,,,done,done charging,129.0,,70.16419953610054
Car 72,,23,29,,,start_charge,starting to charge at Charger 29 (fid=23),129.1583504299498,,
Car 144,,26,15,,,start_charge,starting to charge at Charger 15 (fid=26),129.81476565163618,,
Car 67,91.0,5,16,,,done,done charging,130.0,,178.34861208362545
Car 75,81.0,47,5,,,done,done charging,130.0,,96.46446705352004
Car 94,,,,90,,arrived,arrived,136.0,,
Car 56,64.0,48,24,,,done,done charging,136.0,,41.018106243915476
Car 94,,,,,18,switch,"Charger 18 (fid=88) not available, trying Charger 10 (fid=86)",137.0,10,
Car 94,,86,10,,,start_charge,starting to charge at Charger 10 (fid=86),138.3476110604253,,
Car 31,48.0,12,3,,,done,done charging,139.26932636507348,,205.4257171260941
Car 285,48.0,65,27,,,done,done charging,142.75423274777103,,193.7226298173394
Car 249,105.0,33,12,,,done,done charging,143.29890434445542,,58.71310886256333
Car 216,58.0,56,20,,,done,done charging,145.1053418142455,,245.93460268409694
Car 122,,,,39,,arrived,arrived,149.0,,
Car 52,,,,29,,arrived,arrived,150.0,,
Car 122,,,,,11,switch,"Charger 11 (fid=40) not available, trying Charger 17 (fid=75)",150.0,17,
Car 52,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 14 (fid=28)",151.0,14,
Car 52,,,,,14,switch,"Charger 14 (fid=28) not available, trying Charger 12 (fid=33)",152.65837531809632,12,
Car 52,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),153.38923853896043,,
Car 48,77.0,28,14,,,done,done charging,153.56514871504226,,100.09295710383688
Car 122,,75,17,,,start_charge,starting to charge at Charger 17 (fid=75),153.8914066611921,,
