car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 343,,,,,,gave_up,1,"no alternate charger available, gave up",67.27126465032296,,,
Car 614,65.0,19,3,,,done,,done charging,69.0,,,23.909567499220447
Car 65,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),69.0,,9.843003657233425,
Car 201,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",69.15025190977373,1,,
Car 592,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",69.15699634276658,0,,
Car 682,,,,63,,arrived,,arrived,70.0,,,
Car 315,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",70.15025190977373,1,,
Car 58,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",71.0,3,,
Car 619,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",71.15025190977373,1,,
Car 653,,,,63,,arrived,,arrived,73.0,,,
Car 754,,,,82,,arrived,,arrived,73.0,,,
Car 101,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 3 (fid=19)",74.27999250957849,3,,
Car 682,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",75.0,3,,
Car 201,,,,,,gave_up,1,"no alternate charger available, gave up",75.09547603320411,,,
Car 187,,,,37,,arrived,,arrived,76.0,,,
Car 315,,,,,,gave_up,1,"no alternate charger available, gave up",76.09547603320411,,,
Car 592,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",76.32604052689258,1,,
Car 619,,,,,,gave_up,1,"no alternate charger available, gave up",77.09547603320411,,,
Car 58,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",77.15699634276658,0,,
Car 653,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",78.0,3,,
Car 754,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 0 (fid=1)",78.0,0,,
Car 218,,,,79,,arrived,,arrived,81.0,,,
Car 187,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",81.0,3,,
Car 682,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",81.15699634276658,0,,
Car 629,,,,8,,arrived,,arrived,82.0,,,
Car 592,,,,,,gave_up,1,"no alternate charger available, gave up",82.27126465032296,,,
Car 96,56.0,17,2,,,done,,done charging,83.0,,,232.13972624262385
Car 218,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),83.0,,2.0,
Car 101,,,,,,gave_up,3,"no alternate charger available, gave up",83.1553923431383,,,
Car 754,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",83.94522412343038,2,,
Car 653,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",84.15699634276658,0,,
Car 129,,,,77,,arrived,,arrived,85.0,,,
Car 316,,,,46,,arrived,,arrived,85.0,,,
Car 58,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",85.15025190977373,1,,
Car 253,,,,37,,arrived,,arrived,86.0,,,
Car 303,,,,59,,arrived,,arrived,87.0,,,
Car 626,85.0,7,1,,,done,,done charging,87.0,,,54.86803450095119
Car 629,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",87.0,3,,
Car 58,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),87.0,,15.904523966795892,
Car 187,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",87.15699634276658,0,,
Car 682,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",89.15025190977373,1,,
Car 346,,,,8,,arrived,,arrived,90.0,,,
Car 129,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",90.0,2,,
Car 316,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",90.0,2,,
Car 253,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",91.0,3,,
Car 754,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",91.11426830755639,3,,
Car 393,56.0,19,3,,,done,,done charging,91.15699634276658,,,223.61854673751242
Car 629,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),91.15699634276658,,8.0,
Car 303,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 0 (fid=1)",92.0,0,,
Car 653,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",92.15025190977373,1,,
Car 736,90.0,1,0,,,done,,done charging,94.0,,,100.77403101992283
Car 187,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),94.0,,13.84974809022627,
Car 346,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",95.0,3,,
Car 682,,,,,,gave_up,1,"no alternate charger available, gave up",95.09547603320411,,,
Car 316,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",96.15699634276658,0,,
Car 253,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",97.15699634276658,0,,
Car 129,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 1 (fid=7)",97.16904418412601,1,,
Car 754,,,,,,gave_up,3,"no alternate charger available, gave up",97.27126465032296,,,
Car 303,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",97.94522412343038,2,,
Car 141,,,,11,,arrived,,arrived,98.0,,,
Car 653,,,,,,gave_up,1,"no alternate charger available, gave up",98.09547603320411,,,
Car 122,96.0,17,2,,,done,,done charging,101.0,,,262.4309354668153
Car 141,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),101.0,,3.0,
Car 346,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",101.15699634276658,0,,
Car 55,102.0,17,2,,,done,,done charging,102.0,,,196.36375038428906
Car 303,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),102.0,,11.885731692443613,
Car 145,,,,63,,arrived,,arrived,103.0,,,
Car 385,,,,54,,arrived,,arrived,103.0,,,
Car 499,,,,31,,arrived,,arrived,103.0,,,
Car 316,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",103.32604052689258,1,,
Car 663,,,,64,,arrived,,arrived,104.0,,,
Car 557,47.0,7,1,,,done,,done charging,104.27126465032296,,,348.955525891192
Car 129,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),104.27126465032296,,13.99127214074447,
Car 253,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",105.15025190977373,1,,
Car 458,,,,11,,arrived,,arrived,106.0,,,
Car 344,103.0,1,0,,,done,,done charging,106.0,,,213.34008984951168
Car 346,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),106.0,,11.84974809022627,
Car 145,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",108.0,3,,
Car 385,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",108.0,3,,
Car 499,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",108.0,2,,
Car 386,79.0,19,3,,,done,,done charging,109.0,,,99.88276184607984
Car 663,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 0 (fid=1)",109.0,0,,
Car 145,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),109.15699634276658,,5.0,
Car 316,,,,,,gave_up,1,"no alternate charger available, gave up",109.27126465032296,,,
Car 152,,,,61,,arrived,,arrived,110.0,,,
Car 688,95.0,19,3,,,done,,done charging,110.0,,,220.5519447205303
Car 385,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),110.0,,5.8430036572334245,
Car 66,60.0,1,0,,,done,,done charging,110.15025190977374,,,325.70724508980686
Car 663,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),110.15025190977374,,5.205027786343365,
Car 458,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",111.0,3,,
Car 253,,,,,,gave_up,1,"no alternate charger available, gave up",111.09547603320411,,,
Car 32,,,,46,,arrived,,arrived,112.0,,,
Car 499,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",114.15699634276658,0,,
Car 152,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",115.0,0,,
Car 334,97.0,1,0,,,done,,done charging,117.0,,,103.04602253846483
Car 32,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",117.0,2,,
Car 499,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),117.0,,10.673959473107416,
Car 458,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",117.15699634276658,0,,
Car 572,,,,124,,arrived,,arrived,118.0,,,
Car 415,73.0,1,0,,,done,,done charging,118.15025190977374,,,338.8169414315051
Car 152,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),118.15025190977374,,5.981207725647735,
Car 408,,,,4,,arrived,,arrived,119.0,,,
Car 213,,,,61,,arrived,,arrived,121.0,,,
Car 713,116.0,7,1,,,done,,done charging,121.0,,,0.0
Car 572,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",123.0,2,,
Car 32,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",123.15699634276658,0,,
Car 12,,,,29,,arrived,,arrived,124.0,,,
Car 23,,,,4,,arrived,,arrived,124.0,,,
Car 408,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",124.0,2,,
Car 458,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",125.15025190977373,1,,
Car 684,114.0,17,2,,,done,,done charging,126.0,,,21.129393105329726
Car 213,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",126.0,0,,
Car 458,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),126.09547603320411,,15.0,
Car 45,,,,7,,arrived,,arrived,127.0,,,
Car 388,,,,49,,arrived,,arrived,127.0,,,
Car 328,,,,54,,arrived,,arrived,128.0,,,
Car 652,116.0,19,3,,,done,,done charging,128.0,,,340.7367924160893
Car 12,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),128.0,,4.0,
Car 525,119.0,17,2,,,done,,done charging,129.0,,,161.3068235537577
Car 23,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",129.0,3,,
Car 572,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",129.15699634276658,0,,
Car 6,109.0,7,1,,,done,,done charging,130.0,,,161.65677533899992
Car 320,98.0,7,1,,,done,,done charging,130.0,,,81.2900161151567
Car 45,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),130.0,,3.0,
Car 32,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",130.3260405268926,1,,
Car 291,,,,8,,arrived,,arrived,131.0,,,
Car 360,,,,22,,arrived,,arrived,131.0,,,
Car 610,,,,78,,arrived,,arrived,131.0,,,
Car 408,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 1 (fid=7)",131.169044184126,1,,
Car 32,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),131.271264650323,,15.000000000000014,
Car 599,,,,23,,arrived,,arrived,132.0,,,
