car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 617,,,,68,,arrived,arrived,0.0,,,
Car 617,,70,15,,,start_charge,starting to charge at Charger 15 (fid=70),0.0,,0.0,
Car 482,,,,52,,arrived,arrived,2.0,,,
Car 972,,,,91,,arrived,arrived,2.0,,,
Car 482,,52,13,,,start_charge,starting to charge at Charger 13 (fid=52),2.0,,0.0,
Car 972,,82,12,,,start_charge,starting to charge at Charger 12 (fid=82),2.0,,0.0,
Car 200,,,,3,,arrived,arrived,3.0,,,
Car 200,,52,13,,,start_charge,starting to charge at Charger 13 (fid=52),3.0,,0.0,
Car 470,,,,22,,arrived,arrived,4.0,,,
Car 592,,,,81,,arrived,arrived,4.0,,,
Car 470,,22,5,,,start_charge,starting to charge at Charger 5 (fid=22),4.0,,0.0,
Car 592,,6,11,,,start_charge,starting to charge at Charger 11 (fid=6),4.0,,0.0,
Car 569,,,,7,,arrived,arrived,5.0,,,
Car 569,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),5.0,,0.0,
Car 381,,,,62,,arrived,arrived,10.0,,,
Car 731,,,,60,,arrived,arrived,10.0,,,
Car 821,,,,73,,arrived,arrived,10.0,,,
Car 1070,,,,1,,arrived,arrived,10.0,,,
Car 381,,11,14,,,start_charge,starting to charge at Charger 14 (fid=11),10.0,,0.0,
Car 731,,11,14,,,start_charge,starting to charge at Charger 14 (fid=11),10.0,,0.0,
Car 821,,73,8,,,start_charge,starting to charge at Charger 8 (fid=73),10.0,,0.0,
Car 1070,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),10.0,,0.0,
Car 508,,,,23,,arrived,arrived,12.0,,,
Car 540,,,,15,,arrived,arrived,12.0,,,
Car 508,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),12.0,,0.0,
Car 540,,15,9,,,start_charge,starting to charge at Charger 9 (fid=15),12.0,,0.0,
Car 544,,,,29,,arrived,arrived,15.0,,,
Car 544,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),15.0,,0.0,
Car 697,,,,44,,arrived,arrived,18.0,,,
Car 697,,42,10,,,start_charge,starting to charge at Charger 10 (fid=42),18.0,,0.0,
Car 190,,,,4,,arrived,arrived,20.0,,,
