car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 167,,,,52,,arrived,arrived,2.0,,,
Car 167,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),2.0,,0.0,
Car 106,,,,4,,arrived,arrived,3.0,,,
Car 106,,4,7,,,start_charge,starting to charge at Charger 7 (fid=4),3.0,,0.0,
Car 175,,,,51,,arrived,arrived,4.0,,,
Car 175,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),4.0,,0.0,
Car 305,,,,58,,arrived,arrived,11.0,,,
Car 305,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),11.0,,0.0,
Car 217,,,,117,,arrived,arrived,13.0,,,
Car 217,,12,10,,,start_charge,starting to charge at Charger 10 (fid=12),13.0,,0.0,
Car 66,,,,2,,arrived,arrived,16.0,,,
Car 66,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),16.0,,0.0,
Car 180,,,,18,,arrived,arrived,20.0,,,
Car 391,,,,31,,arrived,arrived,20.0,,,
Car 180,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),20.0,,0.0,
Car 391,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),20.0,,0.0,
Car 292,,,,76,,arrived,arrived,21.0,,,
Car 292,,87,5,,,start_charge,starting to charge at Charger 5 (fid=87),21.0,,0.0,
Car 36,,,,50,,arrived,arrived,24.0,,,
Car 492,,,,18,,arrived,arrived,24.0,,,
Car 36,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),24.0,,0.0,
Car 492,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),24.0,,0.0,
Car 279,,,,4,,arrived,arrived,25.0,,,
Car 279,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),25.0,,0.0,
Car 316,,,,34,,arrived,arrived,29.0,,,
Car 316,,22,13,,,start_charge,starting to charge at Charger 13 (fid=22),29.0,,0.0,
Car 18,,,,9,,arrived,arrived,32.0,,,
Car 18,,10,11,,,start_charge,starting to charge at Charger 11 (fid=10),32.0,,0.0,
Car 562,,,,46,,arrived,arrived,34.0,,,
Car 562,,47,8,,,start_charge,starting to charge at Charger 8 (fid=47),34.0,,0.0,
Car 469,,,,65,,arrived,arrived,36.0,,,
Car 625,,,,4,,arrived,arrived,36.0,,,
Car 469,,4,7,,,start_charge,starting to charge at Charger 7 (fid=4),36.0,,0.0,
Car 625,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),36.0,,0.0,
Car 193,,,,65,,arrived,arrived,41.0,,,
Car 193,,4,7,,,start_charge,starting to charge at Charger 7 (fid=4),41.0,,0.0,
Car 328,,,,61,,arrived,arrived,42.0,,,
Car 328,,10,11,,,start_charge,starting to charge at Charger 11 (fid=10),42.0,,0.0,
Car 437,,,,3,,arrived,arrived,46.0,,,
Car 437,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),46.0,,0.0,
Car 167,49.0,7,1,,,done,done charging,51.0,,,54.86803450095119
Car 502,,,,70,,arrived,arrived,52.0,,,
Car 502,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),52.0,,0.0,
Car 96,,,,60,,arrived,arrived,53.0,,,
Car 433,,,,77,,arrived,arrived,53.0,,,
Car 477,,,,28,,arrived,arrived,53.0,,,
Car 742,,,,73,,arrived,arrived,53.0,,,
Car 96,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),53.0,,0.0,
Car 477,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),53.0,,0.0,
Car 742,,10,11,,,start_charge,starting to charge at Charger 11 (fid=10),53.0,,0.0,
Car 134,,,,27,,arrived,arrived,55.0,,,
Car 134,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),55.0,,0.0,
Car 433,,,,,0,switch,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",58.0,2,,
Car 681,,,,33,,arrived,arrived,59.0,,,
Car 681,,22,13,,,start_charge,starting to charge at Charger 13 (fid=22),59.0,,0.0,
Car 433,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),60.16904418412601,,5.0,
Car 324,,,,18,,arrived,arrived,63.0,,,
Car 530,,,,4,,arrived,arrived,63.0,,,
Car 324,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),63.0,,0.0,
Car 280,,,,30,,arrived,arrived,67.0,,,
Car 280,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),67.0,,0.0,
Car 198,,,,45,,arrived,arrived,68.0,,,
Car 66,52.0,7,1,,,done,done charging,68.0,,,81.2900161151567
Car 530,,,,,0,switch,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",68.0,2,,
Car 198,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),68.0,,0.0,
Car 530,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),70.16904418412601,,5.0,
Car 723,,,,18,,arrived,arrived,71.0,,,
Car 41,,,,20,,arrived,arrived,73.0,,,
Car 41,,22,13,,,start_charge,starting to charge at Charger 13 (fid=22),73.0,,0.0,
Car 622,,,,15,,arrived,arrived,75.0,,,
Car 622,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),75.0,,0.0,
Car 723,,,,,3,switch,"Charger 3 (fid=19) not available, trying Charger 13 (fid=22)",76.0,13,,
Car 723,,22,13,,,start_charge,starting to charge at Charger 13 (fid=22),76.28702962183938,,5.0,
Car 142,,,,19,,arrived,arrived,80.0,,,
Car 754,,,,43,,arrived,arrived,81.0,,,
Car 754,,47,8,,,start_charge,starting to charge at Charger 8 (fid=47),81.0,,0.0,
Car 230,,,,52,,arrived,arrived,83.0,,,
Car 230,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),83.0,,0.0,
Car 228,,,,35,,arrived,arrived,85.0,,,
Car 305,74.0,7,1,,,done,done charging,85.0,,,118.72914267356212
Car 142,,,,,3,switch,"Charger 3 (fid=19) not available, trying Charger 13 (fid=22)",85.0,13,,
Car 228,,22,13,,,start_charge,starting to charge at Charger 13 (fid=22),85.0,,0.0,
Car 83,,,,6,,arrived,arrived,86.0,,,
Car 106,83.0,4,7,,,done,done charging,86.0,,,0.0
Car 94,,,,69,,arrived,arrived,88.0,,,
Car 492,64.0,19,3,,,done,done charging,88.0,,,45.003292524013496
Car 94,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),88.0,,0.0,
Car 374,,,,45,,arrived,arrived,89.0,,,
Car 701,,,,10,,arrived,arrived,90.0,,,
Car 279,65.0,1,0,,,done,done charging,90.0,,,103.04602253846483
Car 701,,10,11,,,start_charge,starting to charge at Charger 11 (fid=10),90.0,,0.0,
