car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 83,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",238.0,1,
Car 29,,,,,,gave_up,1,"no alternate charger available, gave up",238.26855131985963,,
Car 36,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",240.90707903474163,2,
Car 83,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",244.82344941530255,0,
Car 36,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",247.67231544881022,3,
Car 86,,,,14,,arrived,,arrived,249.0,,
Car 83,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",249.73052845004418,3,
Car 86,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",250.0,3,
Car 83,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),255.2146635473262,,
Car 36,,,,,,gave_up,3,"no alternate charger available, gave up",256.2685513198596,,
Car 86,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",256.48413509728204,1,
Car 101,,,,116,,arrived,,arrived,263.0,,
Car 101,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",264.0,3,
Car 86,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",266.0114304740555,2,
Car 58,101.0,33,1,,,done,,done charging,267.0114304740555,,452.54588733081715
Car 101,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",270.48413509728204,1,
Car 86,,,,,,gave_up,2,"no alternate charger available, gave up",272.83487988935804,,
Car 101,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),279.0114304740555,,
Car 53,,,,74,,arrived,,arrived,287.0,,
Car 53,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",288.0,0,
Car 91,,,,90,,arrived,,arrived,289.0,,
Car 91,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",290.0,0,
Car 53,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",294.48413509728204,1,
Car 91,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",296.48413509728204,2,
Car 63,65.0,8,2,,,done,,done charging,298.76523641406857,,349.2552784510191
Car 53,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",299.39121413202366,2,
Car 91,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),302.2493715113506,,
Car 53,,,,,,gave_up,2,"no alternate charger available, gave up",306.2146635473262,,
Car 41,,,,116,,arrived,,arrived,310.0,,
Car 41,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",311.0,3,
Car 41,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",317.48413509728204,1,
Car 98,118.0,115,0,,,done,,done charging,320.76523641406857,,480.24419329191363
Car 83,69.0,12,3,,,done,,done charging,324.2146635473262,,688.4791553632599
Car 41,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",327.0114304740555,2,
