car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 286,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 7 (fid=11)",112.23233583813939,7,
Car 54,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",112.60737055739033,5,
Car 157,84.0,6,6,,,done,,done charging,112.7454127899363,,546.828583459928
Car 168,,,,45,,arrived,,arrived,113.0,,
Car 254,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),113.53416345193921,,
Car 168,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",114.0,6,
Car 168,,6,6,,,start_charge,,starting to charge at Charger 6 (fid=6),116.16439613345322,,
Car 286,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 0 (fid=30)",116.51107290494268,0,
Car 252,,,,,,gave_up,5,"no alternate charger available, gave up",116.72120717506633,,
Car 101,,,,62,,arrived,,arrived,117.0,,
Car 101,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",118.0,6,
Car 240,93.0,11,7,,,done,,done charging,119.0,,358.4072287965269
Car 54,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 1 (fid=48)",119.66391736771958,1,
Car 286,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",119.8092796347135,3,
Car 101,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 3 (fid=17)",121.16439613345322,3,
Car 197,,,,38,,arrived,,arrived,122.0,,
Car 286,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 6 (fid=6)",122.29266255519929,6,
Car 197,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",123.0,2,
Car 44,,,,23,,arrived,,arrived,124.0,,
Car 108,,,,77,,arrived,,arrived,124.0,,
Car 136,,,,4,,arrived,,arrived,124.0,,
Car 305,,,,33,,arrived,,arrived,124.0,,
Car 108,,11,7,,,start_charge,,starting to charge at Charger 7 (fid=11),124.0,,
Car 101,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",124.34585089075111,0,
Car 197,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 7 (fid=11)",124.72969303383546,7,
Car 44,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",125.0,2,
Car 136,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 7 (fid=11)",125.0,7,
Car 305,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",125.0,2,
Car 286,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 5 (fid=91)",125.47411731249717,5,
Car 268,79.0,30,0,,,done,,done charging,126.62914856604365,,499.95823802566434
Car 101,,30,0,,,start_charge,,starting to charge at Charger 0 (fid=30),126.62914856604365,,
Car 44,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 7 (fid=11)",126.72969303383546,7,
