car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 155,,,,82,,arrived,,arrived,11.0,,
Car 155,,91,5,,,start_charge,,starting to charge at Charger 5 (fid=91),11.0,,
Car 157,,,,5,,arrived,,arrived,22.0,,
Car 157,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 3 (fid=17)",23.0,3,
Car 240,,,,66,,arrived,,arrived,26.0,,
Car 240,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),26.0,,
Car 157,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",29.01376646569434,0,
Car 157,,30,0,,,start_charge,,starting to charge at Charger 0 (fid=30),30.497149386180116,,
Car 191,,,,84,,arrived,,arrived,33.0,,
Car 191,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 3 (fid=17)",34.0,3,
Car 191,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",40.01376646569434,0,
Car 191,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",42.49714938618011,4,
Car 191,,25,4,,,start_charge,,starting to charge at Charger 4 (fid=25),44.275286132333555,,
Car 166,,,,32,,arrived,,arrived,56.0,,
Car 228,,,,40,,arrived,,arrived,56.0,,
Car 166,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",57.0,3,
Car 228,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",57.0,0,
Car 155,48.0,91,5,,,done,,done charging,59.0,,114.33957705829991
Car 166,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 4 (fid=25)",59.483382920485774,4,
Car 228,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",59.483382920485774,4,
Car 221,,,,58,,arrived,,arrived,60.0,,
Car 221,,91,5,,,start_charge,,starting to charge at Charger 5 (fid=91),60.0,,
Car 166,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 1 (fid=48)",62.154588790537105,1,
Car 228,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",62.26151966663922,5,
Car 166,,48,1,,,start_charge,,starting to charge at Charger 1 (fid=48),67.30558678457687,,
Car 228,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 1 (fid=48)",69.31806647696847,1,
Car 150,,,,10,,arrived,,arrived,70.0,,
Car 150,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",71.0,3,
Car 150,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 1 (fid=48)",73.48338292048578,1,
Car 150,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",79.96064027745427,2,
Car 228,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",80.18066477421489,2,
Car 150,,49,2,,,start_charge,,starting to charge at Charger 2 (fid=49),80.69033331128973,,
Car 228,,,,,,gave_up,2,"no alternate charger available, gave up",81.91035780805035,,
Car 54,,,,50,,arrived,,arrived,100.0,,
Car 54,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",101.0,0,
Car 54,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",103.48338292048578,4,
Car 54,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",106.26151966663922,5,
Car 168,,,,45,,arrived,,arrived,113.0,,
Car 54,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 1 (fid=48)",113.31806647696847,1,
Car 168,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",114.0,0,
Car 191,70.0,25,4,,,done,,done charging,114.27528613233355,,530.0546621162771
Car 157,84.0,30,0,,,done,,done charging,114.49714938618011,,664.8129551785253
Car 168,,30,0,,,start_charge,,starting to charge at Charger 0 (fid=30),115.48338292048578,,
Car 101,,,,62,,arrived,,arrived,117.0,,
Car 101,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",118.0,0,
Car 240,93.0,17,3,,,done,,done charging,119.0,,432.09552532483093
Car 101,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",120.48338292048578,4,
Car 197,,,,38,,arrived,,arrived,122.0,,
Car 101,,25,4,,,start_charge,,starting to charge at Charger 4 (fid=25),122.26151966663922,,
Car 197,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",123.0,2,
Car 44,,,,23,,arrived,,arrived,124.0,,
Car 108,,,,77,,arrived,,arrived,124.0,,
Car 136,,,,4,,arrived,,arrived,124.0,,
Car 108,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),124.0,,
Car 54,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",124.18066477421489,2,
Car 197,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 0 (fid=30)",124.72969303383546,0,
Car 44,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",125.0,2,
Car 136,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",125.0,0,
Car 54,,,,,,gave_up,2,"no alternate charger available, gave up",125.91035780805035,,
Car 44,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 0 (fid=30)",126.72969303383546,0,
Car 136,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",127.48338292048578,4,
Car 8,,,,44,,arrived,,arrived,129.0,,
Car 8,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",130.0,2,
Car 136,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",130.26151966663923,5,
Car 197,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",130.99581383828246,3,
Car 8,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 4 (fid=25)",131.72969303383547,4,
Car 44,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",132.99581383828246,4,
Car 197,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 4 (fid=25)",133.47919675876824,4,
Car 94,,,,58,,arrived,,arrived,135.0,,
Car 44,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 3 (fid=17)",135.7739505844359,3,
