car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 170,,,,8,,arrived,arrived,1.0,,
Car 170,,8,14,,,start_charge,starting to charge at Charger 14 (fid=8),1.0,,
Car 220,,,,51,,arrived,arrived,11.0,,
Car 220,,51,4,,,start_charge,starting to charge at Charger 4 (fid=51),11.0,,
Car 75,,,,34,,arrived,arrived,21.0,,
Car 75,,34,22,,,start_charge,starting to charge at Charger 22 (fid=34),21.0,,
Car 121,,,,29,,arrived,arrived,26.0,,
Car 121,,36,19,,,start_charge,starting to charge at Charger 19 (fid=36),26.0,,
Car 214,,,,4,,arrived,arrived,43.0,,
Car 214,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),43.0,,
Car 197,,,,85,,arrived,arrived,55.0,,
Car 197,,52,10,,,start_charge,starting to charge at Charger 10 (fid=52),55.0,,
Car 185,,,,45,,arrived,arrived,61.0,,
Car 185,,62,5,,,start_charge,starting to charge at Charger 5 (fid=62),61.0,,
Car 134,,,,33,,arrived,arrived,65.0,,
Car 235,,,,61,,arrived,arrived,65.0,,
Car 134,,47,18,,,start_charge,starting to charge at Charger 18 (fid=47),65.0,,
Car 235,,39,1,,,start_charge,starting to charge at Charger 1 (fid=39),65.0,,
Car 175,,,,19,,arrived,arrived,69.0,,
Car 175,,20,6,,,start_charge,starting to charge at Charger 6 (fid=20),69.0,,
Car 71,,,,77,,arrived,arrived,70.0,,
Car 172,,,,2,,arrived,arrived,70.0,,
Car 71,,,,,4,switch,"Charger 4 (fid=51) not available, trying Charger 5 (fid=62)",71.0,5,
Car 172,,,,,10,switch,"Charger 10 (fid=52) not available, trying Charger 24 (fid=4)",71.0,24,
Car 172,,,,,24,switch,"Charger 24 (fid=4) not available, trying Charger 7 (fid=12)",73.96301205316014,7,
Car 71,,,,,5,switch,"Charger 5 (fid=62) not available, trying Charger 10 (fid=52)",74.82528400270691,10,
Car 45,,,,29,,arrived,arrived,75.0,,
Car 45,,,,,19,switch,"Charger 19 (fid=36) not available, trying Charger 15 (fid=29)",76.0,15,
Car 45,,29,15,,,start_charge,starting to charge at Charger 15 (fid=29),76.54220339654714,,
Car 208,,,,20,,arrived,arrived,77.0,,
Car 172,,12,7,,,start_charge,starting to charge at Charger 7 (fid=12),77.3425579514576,,
Car 208,,,,,6,switch,"Charger 6 (fid=20) not available, trying Charger 17 (fid=69)",78.0,17,
Car 208,,69,17,,,start_charge,starting to charge at Charger 17 (fid=69),78.7052088016168,,
Car 71,,,,,10,switch,"Charger 10 (fid=52) not available, trying Charger 24 (fid=4)",79.38894114594636,24,
Car 71,,,,,24,switch,"Charger 24 (fid=4) not available, trying Charger 8 (fid=9)",82.3519531991065,8,
Car 71,,9,8,,,start_charge,starting to charge at Charger 8 (fid=9),86.58755013775504,,
Car 11,,,,9,,arrived,arrived,88.0,,
Car 165,,,,56,,arrived,arrived,88.0,,
Car 165,,71,11,,,start_charge,starting to charge at Charger 11 (fid=71),88.0,,
Car 11,,,,,8,switch,"Charger 8 (fid=9) not available, trying Charger 14 (fid=8)",89.0,14,
