car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 78,,,,,,gave_up,3,"no alternate charger available, gave up",143.07282092665318,,
Car 100,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",143.48413509728204,2,
Car 37,48.0,8,2,,,done,,done charging,144.24937151135063,,523.5637469312593
Car 150,,,,,,gave_up,3,"no alternate charger available, gave up",146.26855131985963,,
Car 128,,,,39,,arrived,,arrived,149.0,,
Car 128,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),149.0,,
Car 58,,,,29,,arrived,,arrived,150.0,,
Car 100,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",150.24937151135063,1,
Car 58,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",151.0,3,
Car 62,64.0,12,3,,,done,,done charging,156.26855131985963,,690.1118931993949
Car 58,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),156.48413509728204,,
Car 142,,,,29,,arrived,,arrived,157.0,,
Car 100,,,,,,gave_up,1,"no alternate charger available, gave up",157.07282092665318,,
Car 153,,,,38,,arrived,,arrived,158.0,,
Car 142,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",158.0,3,
Car 153,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",159.0,2,
Car 142,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",164.48413509728204,1,
Car 34,49.0,33,1,,,done,,done charging,165.0,,185.6709485428366
Car 153,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",165.82344941530255,0,
Car 148,84.0,115,0,,,done,,done charging,167.0,,134.76197774408936
Car 153,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),171.58868582937114,,
Car 142,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),173.01143047405546,,
Car 145,,,,57,,arrived,,arrived,190.0,,
Car 145,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",191.0,2,
Car 55,,,,51,,arrived,,arrived,196.0,,
Car 98,,,,8,,arrived,,arrived,196.0,,
Car 105,,,,37,,arrived,,arrived,196.0,,
Car 55,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",197.0,2,
Car 98,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",197.0,0,
Car 105,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",197.0,1,
Car 145,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",197.7652364140686,1,
Car 98,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",203.7652364140686,1,
Car 105,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",203.82344941530255,0,
Car 145,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 3 (fid=12)",204.58868582937114,3,
Car 122,,,,44,,arrived,,arrived,205.0,,
Car 55,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",205.5962358710494,0,
Car 122,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",206.0,0,
Car 76,,,,11,,arrived,,arrived,207.0,,
Car 76,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",208.0,2,
Car 98,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 3 (fid=12)",208.67231544881022,3,
Car 105,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",208.73052845004418,3,
Car 122,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",210.90707903474163,2,
Car 55,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",212.361472285118,1,
Car 145,,,,,,gave_up,3,"no alternate charger available, gave up",214.11598120614457,,
Car 76,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",214.7652364140686,3,
Car 105,,,,,,gave_up,3,"no alternate charger available, gave up",215.2146635473262,,
Car 29,,,,7,,arrived,,arrived,217.0,,
Car 55,,,,,,gave_up,1,"no alternate charger available, gave up",217.26855131985963,,
Car 122,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",217.67231544881022,3,
Car 29,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",218.0,2,
Car 98,,,,,,gave_up,3,"no alternate charger available, gave up",218.19961082558365,,
Car 128,71.0,8,2,,,done,,done charging,220.0,,413.943056068303
Car 76,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",223.361472285118,1,
Car 29,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),225.5962358710494,,
Car 122,,,,,,gave_up,3,"no alternate charger available, gave up",226.26855131985963,,
Car 63,,,,57,,arrived,,arrived,227.0,,
Car 63,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",228.0,2,
Car 104,,,,17,,arrived,,arrived,229.0,,
Car 104,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",230.0,3,
Car 76,,,,,,gave_up,1,"no alternate charger available, gave up",232.88876766189142,,
Car 63,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",234.7652364140686,1,
Car 36,,,,34,,arrived,,arrived,235.0,,
Car 36,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",236.0,0,
Car 104,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",236.48413509728204,2,
Car 83,,,,63,,arrived,,arrived,237.0,,
Car 83,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",238.0,1,
Car 36,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",240.90707903474163,2,
