car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 92,,,,21,,arrived,,arrived,3.0,,
Car 92,,81,7,,,start_charge,,starting to charge at Charger 7 (fid=81),3.0,,
Car 116,,,,54,,arrived,,arrived,10.0,,
Car 116,,31,0,,,start_charge,,starting to charge at Charger 0 (fid=31),10.0,,
Car 42,,,,89,,arrived,,arrived,23.0,,
Car 42,,76,1,,,start_charge,,starting to charge at Charger 1 (fid=76),23.0,,
Car 47,,,,66,,arrived,,arrived,45.0,,
Car 47,,78,5,,,start_charge,,starting to charge at Charger 5 (fid=78),45.0,,
Car 145,,,,31,,arrived,,arrived,47.0,,
Car 145,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=70)",48.0,2,
Car 145,,70,2,,,start_charge,,starting to charge at Charger 2 (fid=70),48.9999683088541,,
Car 53,,,,116,,arrived,,arrived,55.0,,
Car 53,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),55.0,,
Car 151,,,,54,,arrived,,arrived,56.0,,
Car 151,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=70)",57.0,2,
Car 151,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 3 (fid=17)",58.9999683088541,3,
Car 151,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 9 (fid=9)",62.182299234428214,9,
Car 72,,,,83,,arrived,,arrived,66.0,,
Car 151,,9,9,,,start_charge,,starting to charge at Charger 9 (fid=9),66.68029861883294,,
Car 72,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",67.0,3,
Car 72,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=31)",69.54499081184491,0,
Car 76,,,,27,,arrived,,arrived,71.0,,
Car 76,,48,4,,,start_charge,,starting to charge at Charger 4 (fid=48),71.0,,
Car 69,,,,29,,arrived,,arrived,72.0,,
Car 72,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=70)",72.0418329055452,2,
Car 69,,,,,4,switch,,"Charger 4 (fid=48) not available, trying Charger 2 (fid=70)",73.0,2,
Car 123,,,,124,,arrived,,arrived,74.0,,
Car 72,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 1 (fid=76)",74.04180121439931,1,
Car 123,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 0 (fid=31)",75.0,0,
Car 123,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 3 (fid=17)",76.99996830885411,3,
Car 69,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 0 (fid=31)",78.9505599382114,0,
Car 123,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 7 (fid=81)",79.4968104025544,7,
Car 69,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 3 (fid=17)",80.9505282470655,3,
Car 72,,,,,1,switch,,"Charger 1 (fid=76) not available, trying Charger 6 (fid=61)",81.43912905066648,6,
