car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 24,,,,52,,arrived,arrived,2.0,,,
Car 24,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),2.0,,0.0,
Car 806,,,,10,,arrived,arrived,3.0,,,
Car 806,,8,23,,,start_charge,starting to charge at Charger 23 (fid=8),3.0,,0.0,
Car 32,,,,51,,arrived,arrived,4.0,,,
Car 32,,53,15,,,start_charge,starting to charge at Charger 15 (fid=53),4.0,,0.0,
Car 162,,,,58,,arrived,arrived,11.0,,,
Car 1078,,,,37,,arrived,arrived,11.0,,,
Car 162,,59,22,,,start_charge,starting to charge at Charger 22 (fid=59),11.0,,0.0,
Car 1078,,73,9,,,start_charge,starting to charge at Charger 9 (fid=73),11.0,,0.0,
Car 657,,,,88,,arrived,arrived,12.0,,,
Car 790,,,,73,,arrived,arrived,12.0,,,
Car 657,,88,12,,,start_charge,starting to charge at Charger 12 (fid=88),12.0,,0.0,
Car 790,,73,9,,,start_charge,starting to charge at Charger 9 (fid=73),12.0,,0.0,
Car 74,,,,117,,arrived,arrived,13.0,,,
Car 933,,,,24,,arrived,arrived,13.0,,,
Car 1077,,,,42,,arrived,arrived,13.0,,,
Car 74,,74,14,,,start_charge,starting to charge at Charger 14 (fid=74),13.0,,0.0,
Car 933,,115,21,,,start_charge,starting to charge at Charger 21 (fid=115),13.0,,0.0,
Car 1077,,44,18,,,start_charge,starting to charge at Charger 18 (fid=44),13.0,,0.0,
Car 676,,,,124,,arrived,arrived,14.0,,,
Car 676,,115,21,,,start_charge,starting to charge at Charger 21 (fid=115),14.0,,0.0,
Car 37,,,,18,,arrived,arrived,20.0,,,
Car 248,,,,31,,arrived,arrived,20.0,,,
Car 711,,,,46,,arrived,arrived,20.0,,,
Car 37,,18,7,,,start_charge,starting to charge at Charger 7 (fid=18),20.0,,0.0,
Car 248,,28,5,,,start_charge,starting to charge at Charger 5 (fid=28),20.0,,0.0,
Car 711,,44,18,,,start_charge,starting to charge at Charger 18 (fid=44),20.0,,0.0,
Car 149,,,,76,,arrived,arrived,21.0,,,
Car 149,,83,8,,,start_charge,starting to charge at Charger 8 (fid=83),21.0,,0.0,
Car 993,,,,19,,arrived,arrived,23.0,,,
Car 993,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),23.0,,0.0,
Car 349,,,,18,,arrived,arrived,24.0,,,
Car 349,,18,7,,,start_charge,starting to charge at Charger 7 (fid=18),24.0,,0.0,
Car 136,,,,4,,arrived,arrived,25.0,,,
Car 136,,60,16,,,start_charge,starting to charge at Charger 16 (fid=60),25.0,,0.0,
Car 173,,,,34,,arrived,arrived,29.0,,,
Car 173,,31,24,,,start_charge,starting to charge at Charger 24 (fid=31),29.0,,0.0,
Car 738,,,,25,,arrived,arrived,30.0,,,
Car 738,,28,5,,,start_charge,starting to charge at Charger 5 (fid=28),30.0,,0.0,
Car 419,,,,46,,arrived,arrived,34.0,,,
Car 419,,44,18,,,start_charge,starting to charge at Charger 18 (fid=44),34.0,,0.0,
Car 326,,,,65,,arrived,arrived,36.0,,,
Car 482,,,,4,,arrived,arrived,36.0,,,
Car 953,,,,47,,arrived,arrived,36.0,,,
Car 326,,63,20,,,start_charge,starting to charge at Charger 20 (fid=63),36.0,,0.0,
Car 482,,60,16,,,start_charge,starting to charge at Charger 16 (fid=60),36.0,,0.0,
Car 953,,44,18,,,start_charge,starting to charge at Charger 18 (fid=44),36.0,,0.0,
Car 848,,,,17,,arrived,arrived,39.0,,,
Car 848,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),39.0,,0.0,
Car 832,,,,61,,arrived,arrived,40.0,,,
Car 832,,60,16,,,start_charge,starting to charge at Charger 16 (fid=60),40.0,,0.0,
Car 50,,,,65,,arrived,arrived,41.0,,,
Car 892,,,,19,,arrived,arrived,41.0,,,
Car 50,,63,20,,,start_charge,starting to charge at Charger 20 (fid=63),41.0,,0.0,
Car 892,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),41.0,,0.0,
Car 185,,,,61,,arrived,arrived,42.0,,,
Car 1034,,,,87,,arrived,arrived,42.0,,,
Car 185,,60,16,,,start_charge,starting to charge at Charger 16 (fid=60),42.0,,0.0,
Car 1034,,88,12,,,start_charge,starting to charge at Charger 12 (fid=88),42.0,,0.0,
Car 750,,,,61,,arrived,arrived,44.0,,,
Car 750,,60,16,,,start_charge,starting to charge at Charger 16 (fid=60),44.0,,0.0,
Car 294,,,,3,,arrived,arrived,46.0,,,
Car 294,,39,17,,,start_charge,starting to charge at Charger 17 (fid=39),46.0,,0.0,
Car 24,49.0,7,1,,,done,done charging,51.0,,,54.86803450095119
Car 359,,,,70,,arrived,arrived,52.0,,,
Car 359,,70,25,,,start_charge,starting to charge at Charger 25 (fid=70),52.0,,0.0,
Car 290,,,,77,,arrived,arrived,53.0,,,
Car 334,,,,28,,arrived,arrived,53.0,,,
Car 599,,,,73,,arrived,arrived,53.0,,,
Car 1088,,,,31,,arrived,arrived,53.0,,,
Car 334,,28,5,,,start_charge,starting to charge at Charger 5 (fid=28),53.0,,0.0,
Car 599,,73,9,,,start_charge,starting to charge at Charger 9 (fid=73),53.0,,0.0,
Car 1088,,28,5,,,start_charge,starting to charge at Charger 5 (fid=28),53.0,,0.0,
Car 911,,,,4,,arrived,arrived,55.0,,,
Car 911,,63,20,,,start_charge,starting to charge at Charger 20 (fid=63),55.0,,0.0,
Car 290,,,,,16,switch,"Charger 16 (fid=60) not available, trying Charger 17 (fid=39)",58.0,17,,
Car 538,,,,33,,arrived,arrived,59.0,,,
Car 538,,31,24,,,start_charge,starting to charge at Charger 24 (fid=31),59.0,,0.0,
Car 290,,39,17,,,start_charge,starting to charge at Charger 17 (fid=39),59.594991329782665,,5.0,
Car 1030,,,,15,,arrived,arrived,60.0,,,
Car 1030,,15,10,,,start_charge,starting to charge at Charger 10 (fid=15),60.0,,0.0,
Car 758,,,,56,,arrived,arrived,62.0,,,
Car 839,,,,12,,arrived,arrived,62.0,,,
Car 758,,70,25,,,start_charge,starting to charge at Charger 25 (fid=70),62.0,,0.0,
Car 839,,74,14,,,start_charge,starting to charge at Charger 14 (fid=74),62.0,,0.0,
Car 181,,,,18,,arrived,arrived,63.0,,,
Car 387,,,,4,,arrived,arrived,63.0,,,
Car 657,51.0,88,12,,,done,done charging,63.0,,,0.0
Car 181,,18,7,,,start_charge,starting to charge at Charger 7 (fid=18),63.0,,0.0,
Car 733,,,,48,,arrived,arrived,66.0,,,
Car 793,,,,80,,arrived,arrived,66.0,,,
Car 733,,44,18,,,start_charge,starting to charge at Charger 18 (fid=44),66.0,,0.0,
Car 793,,36,6,,,start_charge,starting to charge at Charger 6 (fid=36),66.0,,0.0,
Car 137,,,,30,,arrived,arrived,67.0,,,
Car 137,,31,24,,,start_charge,starting to charge at Charger 24 (fid=31),67.0,,0.0,
Car 55,,,,45,,arrived,arrived,68.0,,,
Car 387,,,,,16,switch,"Charger 16 (fid=60) not available, trying Charger 0 (fid=1)",68.0,0,,
