car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 144,,,,37,,arrived,arrived,3.0,,,
Car 144,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),3.0,,0.0,
Car 160,,,,24,,arrived,arrived,4.0,,,
Car 160,,23,20,,,start_charge,starting to charge at Charger 20 (fid=23),4.0,,0.0,
Car 370,,,,86,,arrived,arrived,9.0,,,
Car 370,,89,18,,,start_charge,starting to charge at Charger 18 (fid=89),9.0,,0.0,
Car 154,,,,62,,arrived,arrived,10.0,,,
Car 154,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),10.0,,0.0,
Car 68,,,,73,,arrived,arrived,12.0,,,
Car 229,,,,45,,arrived,arrived,12.0,,,
Car 68,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),12.0,,0.0,
Car 229,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),12.0,,0.0,
Car 28,,,,51,,arrived,arrived,18.0,,,
Car 28,,53,11,,,start_charge,starting to charge at Charger 11 (fid=53),18.0,,0.0,
Car 327,,,,10,,arrived,arrived,22.0,,,
Car 327,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),22.0,,0.0,
Car 119,,,,35,,arrived,arrived,32.0,,,
Car 119,,28,15,,,start_charge,starting to charge at Charger 15 (fid=28),32.0,,0.0,
Car 227,,,,30,,arrived,arrived,33.0,,,
Car 227,,30,7,,,start_charge,starting to charge at Charger 7 (fid=30),33.0,,0.0,
Car 404,,,,21,,arrived,arrived,34.0,,,
Car 404,,12,16,,,start_charge,starting to charge at Charger 16 (fid=12),34.0,,0.0,
Car 53,,,,68,,arrived,arrived,35.0,,,
Car 53,,69,12,,,start_charge,starting to charge at Charger 12 (fid=69),35.0,,0.0,
Car 168,,,,62,,arrived,arrived,36.0,,,
Car 341,,,,13,,arrived,arrived,36.0,,,
Car 168,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),36.0,,0.0,
Car 341,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),36.0,,0.0,
Car 113,,,,71,,arrived,arrived,39.0,,,
Car 113,,72,17,,,start_charge,starting to charge at Charger 17 (fid=72),39.0,,0.0,
Car 137,,,,89,,arrived,arrived,41.0,,,
Car 137,,89,18,,,start_charge,starting to charge at Charger 18 (fid=89),41.0,,0.0,
Car 165,,,,27,,arrived,arrived,53.0,,,
Car 387,,,,77,,arrived,arrived,53.0,,,
Car 165,,44,19,,,start_charge,starting to charge at Charger 19 (fid=44),53.0,,0.0,
Car 387,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),53.0,,0.0,
Car 52,,,,24,,arrived,arrived,54.0,,,
Car 144,51.0,4,14,,,done,done charging,54.0,,,101.07430903055587
Car 52,,23,20,,,start_charge,starting to charge at Charger 20 (fid=23),54.0,,0.0,
Car 360,,,,5,,arrived,arrived,60.0,,,
Car 360,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),60.0,,0.0,
Car 186,,,,45,,arrived,arrived,61.0,,,
Car 186,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),61.0,,0.0,
Car 264,,,,17,,arrived,arrived,63.0,,,
Car 264,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),63.0,,0.0,
Car 383,,,,31,,arrived,arrived,64.0,,,
Car 383,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),64.0,,0.0,
Car 278,,,,24,,arrived,arrived,66.0,,,
Car 278,,25,21,,,start_charge,starting to charge at Charger 21 (fid=25),66.0,,0.0,
Car 281,,,,45,,arrived,arrived,68.0,,,
Car 403,,,,34,,arrived,arrived,69.0,,,
Car 403,,30,7,,,start_charge,starting to charge at Charger 7 (fid=30),69.0,,0.0,
Car 209,,,,4,,arrived,arrived,70.0,,,
Car 396,,,,39,,arrived,arrived,70.0,,,
Car 435,,,,5,,arrived,arrived,70.0,,,
Car 209,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),70.0,,0.0,
Car 435,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),70.0,,0.0,
Car 345,,,,54,,arrived,arrived,72.0,,,
Car 345,,16,10,,,start_charge,starting to charge at Charger 10 (fid=16),72.0,,0.0,
Car 453,,,,29,,arrived,arrived,73.0,,,
Car 281,,,,,13,switch,"Charger 13 (fid=40) not available, trying Charger 8 (fid=61)",73.0,8,,
Car 453,,28,15,,,start_charge,starting to charge at Charger 15 (fid=28),73.0,,0.0,
Car 281,,61,8,,,start_charge,starting to charge at Charger 8 (fid=61),73.69363922152223,,5.0,
Car 474,,,,60,,arrived,arrived,75.0,,,
Car 396,,,,,13,switch,"Charger 13 (fid=40) not available, trying Charger 11 (fid=53)",75.0,11,,
Car 396,,53,11,,,start_charge,starting to charge at Charger 11 (fid=53),76.90620472496941,,5.0,
Car 199,,,,7,,arrived,arrived,78.0,,,
Car 199,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),78.0,,0.0,
Car 474,,,,,13,switch,"Charger 13 (fid=40) not available, trying Charger 8 (fid=61)",80.0,8,,
Car 474,,61,8,,,start_charge,starting to charge at Charger 8 (fid=61),80.69363922152223,,5.0,
Car 423,,,,55,,arrived,arrived,82.0,,,
Car 423,,72,17,,,start_charge,starting to charge at Charger 17 (fid=72),82.0,,0.0,
Car 441,,,,36,,arrived,arrived,86.0,,,
Car 441,,28,15,,,start_charge,starting to charge at Charger 15 (fid=28),86.0,,0.0,
Car 404,53.0,12,16,,,done,done charging,87.0,,,37.99048340046035
Car 137,46.0,89,18,,,done,done charging,87.0,,,0.0
Car 168,54.0,40,13,,,done,done charging,90.0,,,95.92812119495953
Car 287,,,,38,,arrived,arrived,91.0,,,
Car 287,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),91.0,,0.0,
Car 495,,,,32,,arrived,arrived,95.0,,,
Car 495,,30,7,,,start_charge,starting to charge at Charger 7 (fid=30),95.0,,0.0,
Car 370,88.0,89,18,,,done,done charging,97.0,,,17.45878841727858
Car 102,,,,37,,arrived,arrived,98.0,,,
Car 102,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),98.0,,0.0,
Car 28,81.0,53,11,,,done,done charging,99.0,,,52.26007319168327
Car 53,64.0,69,12,,,done,done charging,99.0,,,5.314880337314945
Car 283,,,,17,,arrived,arrived,100.0,,,
Car 283,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),100.0,,0.0,
Car 327,79.0,78,5,,,done,done charging,101.0,,,51.86024258523723
Car 109,,,,19,,arrived,arrived,104.0,,,
Car 153,,,,62,,arrived,arrived,104.0,,,
Car 109,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),104.0,,0.0,
Car 153,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),104.0,,0.0,
Car 499,,,,73,,arrived,arrived,105.0,,,
Car 68,96.0,4,14,,,done,done charging,108.0,,,113.03943791881676
Car 499,,4,14,,,start_charge,starting to charge at Charger 14 (fid=4),108.0,,3.0,
Car 29,,,,46,,arrived,arrived,109.0,,,
Car 464,,,,23,,arrived,arrived,109.0,,,
Car 493,,,,78,,arrived,arrived,109.0,,,
Car 165,56.0,44,19,,,done,done charging,109.0,,,53.09051834367376
Car 29,,44,19,,,start_charge,starting to charge at Charger 19 (fid=44),109.0,,0.0,
Car 464,,23,20,,,start_charge,starting to charge at Charger 20 (fid=23),109.0,,0.0,
Car 493,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),109.0,,0.0,
Car 275,,,,14,,arrived,arrived,110.0,,,
Car 275,,16,10,,,start_charge,starting to charge at Charger 10 (fid=16),110.0,,0.0,
Car 52,60.0,23,20,,,done,done charging,114.0,,,5.390518435139498
Car 113,76.0,72,17,,,done,done charging,115.0,,,5.317805938583997
Car 409,,,,40,,arrived,arrived,117.0,,,
Car 160,114.0,23,20,,,done,done charging,118.0,,,5.390518435139498
Car 4,,,,60,,arrived,arrived,119.0,,,
Car 135,,,,14,,arrived,arrived,119.0,,,
Car 154,109.0,40,13,,,done,done charging,119.0,,,95.92812119495953
Car 135,,16,10,,,start_charge,starting to charge at Charger 10 (fid=16),119.0,,0.0,
Car 409,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),119.0,,2.0,
Car 390,,,,63,,arrived,arrived,120.0,,,
Car 130,,,,8,,arrived,arrived,121.0,,,
Car 130,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),121.0,,0.0,
Car 290,,,,31,,arrived,arrived,122.0,,,
Car 482,,,,66,,arrived,arrived,122.0,,,
Car 290,,30,7,,,start_charge,starting to charge at Charger 7 (fid=30),122.0,,0.0,
Car 482,,61,8,,,start_charge,starting to charge at Charger 8 (fid=61),122.0,,0.0,
Car 229,111.0,40,13,,,done,done charging,123.0,,,113.47367344013271
Car 227,90.0,30,7,,,done,done charging,123.0,,,0.0
Car 4,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),123.0,,4.0,
Car 90,,,,50,,arrived,arrived,125.0,,,
Car 390,,,,,14,switch,"Charger 14 (fid=4) not available, trying Charger 5 (fid=78)",125.0,5,,
Car 390,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),126.50629756198124,,5.0,
Car 423,46.0,72,17,,,done,done charging,128.0,,,47.10763714089415
Car 192,,,,52,,arrived,arrived,129.0,,,
Car 192,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),129.0,,0.0,
Car 281,56.0,61,8,,,done,done charging,129.69363922152223,,,121.37352881497591
Car 90,,,,,13,switch,"Charger 13 (fid=40) not available, trying Charger 11 (fid=53)",130.0,11,,
Car 474,50.0,61,8,,,done,done charging,130.69363922152223,,,114.48986828970851
Car 90,,53,11,,,start_charge,starting to charge at Charger 11 (fid=53),131.9062047249694,,5.0,
Car 341,97.0,17,4,,,done,done charging,133.0,,,63.17084676494397
Car 387,80.0,40,13,,,done,done charging,133.0,,,89.25774207314022
Car 103,,,,77,,arrived,arrived,137.0,,,
Car 103,,40,13,,,start_charge,starting to charge at Charger 13 (fid=40),137.0,,0.0,
Car 119,106.0,28,15,,,done,done charging,138.0,,,25.9905507829657
