car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 91,,,,21,,arrived,,arrived,3.0,,
Car 91,,81,7,,,start_charge,,starting to charge at Charger 7 (fid=81),3.0,,
Car 115,,,,54,,arrived,,arrived,10.0,,
Car 115,,71,13,,,start_charge,,starting to charge at Charger 13 (fid=71),10.0,,
Car 162,,,,4,,arrived,,arrived,14.0,,
Car 162,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",15.0,3,
Car 162,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),16.544990811844908,,
Car 41,,,,89,,arrived,,arrived,23.0,,
Car 41,,76,1,,,start_charge,,starting to charge at Charger 1 (fid=76),23.0,,
Car 46,,,,66,,arrived,,arrived,45.0,,
Car 46,,78,5,,,start_charge,,starting to charge at Charger 5 (fid=78),45.0,,
Car 144,,,,31,,arrived,,arrived,47.0,,
Car 144,,31,0,,,start_charge,,starting to charge at Charger 0 (fid=31),47.0,,
Car 52,,,,116,,arrived,,arrived,55.0,,
Car 52,,34,12,,,start_charge,,starting to charge at Charger 12 (fid=34),55.0,,
Car 150,,,,54,,arrived,,arrived,56.0,,
Car 150,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 0 (fid=31)",57.0,0,
Car 150,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=70)",58.95036135080472,2,
Car 150,,70,2,,,start_charge,,starting to charge at Charger 2 (fid=70),59.95032965965882,,
Car 71,,,,83,,arrived,,arrived,66.0,,
Car 71,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",67.0,3,
Car 71,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 12 (fid=34)",69.54499081184491,12,
Car 75,,,,27,,arrived,,arrived,71.0,,
Car 75,,48,4,,,start_charge,,starting to charge at Charger 4 (fid=48),71.0,,
Car 71,,,,,12,switch,,"Charger 12 (fid=34) not available, trying Charger 0 (fid=31)",71.67740508981981,0,
Car 68,,,,29,,arrived,,arrived,72.0,,
Car 68,,32,11,,,start_charge,,starting to charge at Charger 11 (fid=32),72.0,,
Car 71,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 13 (fid=71)",73.30394447050152,13,
Car 122,,,,124,,arrived,,arrived,74.0,,
Car 122,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 2 (fid=70)",75.0,2,
Car 71,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 2 (fid=70)",75.25430582130623,2,
Car 122,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 0 (fid=31)",76.59518555183776,0,
Car 71,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 1 (fid=76)",76.84949137314399,1,
Car 122,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 12 (fid=34)",78.59515386069187,12,
Car 122,,,,,12,switch,,"Charger 12 (fid=34) not available, trying Charger 3 (fid=17)",80.22169324137357,3,
Car 122,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 7 (fid=81)",82.35410751934847,7,
Car 71,,,,,1,switch,,"Charger 1 (fid=76) not available, trying Charger 10 (fid=2)",84.24681920941116,10,
Car 122,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 11 (fid=32)",84.89909833119339,11,
Car 187,,,,54,,arrived,,arrived,86.0,,
Car 71,,2,10,,,start_charge,,starting to charge at Charger 10 (fid=2),86.14448874353181,,
Car 6,,,,34,,arrived,,arrived,87.0,,
Car 187,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 0 (fid=31)",87.0,0,
Car 6,,,,,12,switch,,"Charger 12 (fid=34) not available, trying Charger 0 (fid=31)",88.0,0,
Car 187,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=70)",88.95036135080471,2,
Car 91,86.0,81,7,,,done,,done charging,89.0,,228.90935187184436
Car 6,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 3 (fid=17)",89.6265393806817,3,
Car 187,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 12 (fid=34)",90.95032965965882,12,
Car 6,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 13 (fid=71)",92.123381474382,13,
Car 122,,,,,11,switch,,"Charger 11 (fid=32) not available, trying Charger 4 (fid=48)",92.66671728690324,4,
Car 187,,,,,12,switch,,"Charger 12 (fid=34) not available, trying Charger 3 (fid=17)",93.26235787221434,3,
Car 92,,,,14,,arrived,,arrived,94.0,,
Car 92,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 12 (fid=34)",95.0,12,
Car 6,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 2 (fid=70)",95.25610544190674,2,
Car 122,,,,,4,switch,,"Charger 4 (fid=48) not available, trying Charger 9 (fid=9)",95.32097623622555,9,
Car 187,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 9 (fid=9)",95.39477215018924,9,
Car 92,,,,,12,switch,,"Charger 12 (fid=34) not available, trying Charger 13 (fid=71)",96.6265393806817,13,
Car 6,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 7 (fid=81)",96.8512909937445,7,
Car 92,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 2 (fid=70)",98.88896063518784,2,
Car 187,,9,9,,,start_charge,,starting to charge at Charger 9 (fid=9),99.89277153459396,,
Car 6,,81,7,,,start_charge,,starting to charge at Charger 7 (fid=81),99.95018720574711,,
Car 92,,,,,2,switch,,"Charger 2 (fid=70) not available, trying Charger 3 (fid=17)",100.4841461870256,3,
Car 122,,,,,9,switch,,"Charger 9 (fid=9) not available, trying Charger 6 (fid=61)",101.95269169225683,6,
Car 88,,,,85,,arrived,,arrived,102.0,,
Car 88,,,,,1,switch,,"Charger 1 (fid=76) not available, trying Charger 10 (fid=2)",103.0,10,
Car 92,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 7 (fid=81)",103.66647711259972,7,
Car 162,88.0,17,3,,,done,,done charging,104.54499081184491,,203.23850179283494
Car 122,,61,6,,,start_charge,,starting to charge at Charger 6 (fid=61),105.24565654552822,,
Car 88,,,,,10,switch,,"Charger 10 (fid=2) not available, trying Charger 7 (fid=81)",105.89766953412065,7,
Car 92,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 9 (fid=9)",106.21146792444463,9,
Car 41,88.0,76,1,,,done,,done charging,111.0,,98.51714148768994
Car 88,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 8 (fid=75)",111.40248993224826,8,
Car 92,,,,,9,switch,,"Charger 9 (fid=9) not available, trying Charger 11 (fid=32)",112.6175192815863,11,
Car 52,58.0,34,12,,,done,,done charging,113.0,,174.68800484873267
Car 88,,75,8,,,start_charge,,starting to charge at Charger 8 (fid=75),116.97471905573204,,
Car 92,,,,,11,switch,,"Charger 11 (fid=32) not available, trying Charger 4 (fid=48)",119.9521335683059,4,
Car 75,50.0,48,4,,,done,,done charging,121.0,,66.63352703411847
Car 92,,48,4,,,start_charge,,starting to charge at Charger 4 (fid=48),121.60639251762821,,
Car 115,120.0,71,13,,,done,,done charging,130.0,,128.6973318371229
Car 144,84.0,31,0,,,done,,done charging,131.0,,26.196140432457465
Car 73,,,,21,,arrived,,arrived,139.0,,
Car 183,,,,12,,arrived,,arrived,140.0,,
Car 73,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",140.0,3,
Car 183,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",141.0,3,
Car 73,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),141.5449908118449,,
Car 183,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 1 (fid=76)",143.5449908118449,1,
Car 108,,,,91,,arrived,,arrived,146.0,,
Car 108,,76,1,,,start_charge,,starting to charge at Charger 1 (fid=76),146.0,,
Car 183,,,,,1,switch,,"Charger 1 (fid=76) not available, trying Charger 12 (fid=34)",149.3884132479544,12,
Car 46,107.0,78,5,,,done,,done charging,152.0,,192.91281186890677
Car 183,,34,12,,,start_charge,,starting to charge at Charger 12 (fid=34),154.73582443662235,,
Car 71,73.0,2,10,,,done,,done charging,159.1444887435318,,547.6686036964322
Car 122,56.0,61,6,,,done,,done charging,161.24565654552822,,506.8675621518501
Car 187,62.0,9,9,,,done,,done charging,161.89277153459398,,238.88947575450624
Car 100,,,,63,,arrived,,arrived,163.0,,
Car 100,,9,9,,,start_charge,,starting to charge at Charger 9 (fid=9),163.0,,
Car 68,97.0,32,11,,,done,,done charging,169.0,,80.69005604730889
Car 159,,,,13,,arrived,,arrived,175.0,,
Car 159,,32,11,,,start_charge,,starting to charge at Charger 11 (fid=32),175.0,,
Car 150,116.0,70,2,,,done,,done charging,175.95032965965882,,132.82959144263646
Car 23,,,,39,,arrived,,arrived,181.0,,
Car 23,,61,6,,,start_charge,,starting to charge at Charger 6 (fid=61),181.0,,
Car 92,61.0,48,4,,,done,,done charging,182.6063925176282,,403.68858506532024
Car 37,,,,69,,arrived,,arrived,210.0,,
Car 37,,71,13,,,start_charge,,starting to charge at Charger 13 (fid=71),210.0,,
Car 88,96.0,75,8,,,done,,done charging,212.97471905573204,,418.9202064829619
Car 73,74.0,17,3,,,done,,done charging,215.5449908118449,,300.1611471564305
Car 124,,,,62,,arrived,,arrived,218.0,,
Car 172,,,,84,,arrived,,arrived,219.0,,
Car 124,,,,,6,switch,,"Charger 6 (fid=61) not available, trying Charger 9 (fid=9)",219.0,9,
Car 6,120.0,81,7,,,done,,done charging,219.9501872057471,,170.67999771480234
Car 172,,,,,1,switch,,"Charger 1 (fid=76) not available, trying Charger 10 (fid=2)",220.0,10,
Car 183,67.0,34,12,,,done,,done charging,221.73582443662235,,318.6597754988017
Car 172,,2,10,,,start_charge,,starting to charge at Charger 10 (fid=2),221.89766953412064,,
Car 124,,,,,9,switch,,"Charger 9 (fid=9) not available, trying Charger 3 (fid=17)",223.2929648532714,3,
Car 124,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),227.79096423767612,,
Car 159,56.0,32,11,,,done,,done charging,231.0,,234.99002566046795
Car 174,,,,74,,arrived,,arrived,232.0,,
Car 174,,81,7,,,start_charge,,starting to charge at Charger 7 (fid=81),232.0,,
Car 26,,,,5,,arrived,,arrived,243.0,,
Car 166,,,,24,,arrived,,arrived,244.0,,
Car 26,,,,,10,switch,,"Charger 10 (fid=2) not available, trying Charger 1 (fid=76)",244.0,1,
Car 166,,32,11,,,start_charge,,starting to charge at Charger 11 (fid=32),244.0,,
Car 74,,,,3,,arrived,,arrived,245.0,,
Car 74,,,,,6,switch,,"Charger 6 (fid=61) not available, trying Charger 8 (fid=75)",246.0,8,
Car 26,,,,,1,switch,,"Charger 1 (fid=76) not available, trying Charger 8 (fid=75)",246.89766953412064,8,
Car 60,,,,4,,arrived,,arrived,247.0,,
Car 78,,,,19,,arrived,,arrived,247.0,,
Car 119,,,,3,,arrived,,arrived,248.0,,
Car 60,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",248.0,3,
Car 78,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 2 (fid=70)",248.0,2,
Car 78,,70,2,,,start_charge,,starting to charge at Charger 2 (fid=70),248.59518555183777,,
Car 119,,,,,7,switch,,"Charger 7 (fid=81) not available, trying Charger 3 (fid=17)",249.0,3,
Car 74,,75,8,,,start_charge,,starting to charge at Charger 8 (fid=75),249.76502045316857,,
Car 60,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 12 (fid=34)",250.5449908118449,12,
Car 119,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 12 (fid=34)",251.5449908118449,12,
Car 60,,34,12,,,start_charge,,starting to charge at Charger 12 (fid=34),251.6774050898198,,
Car 179,,,,12,,arrived,,arrived,252.0,,
Car 26,,,,,8,switch,,"Charger 8 (fid=75) not available, trying Charger 6 (fid=61)",252.78805519730227,6,
