car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 528,,,,57,,arrived,,arrived,1206.0,,,
Car 1342,,,,,8,switch,,"Charger 8 (fid=29) not available, trying Charger 9 (fid=26)",1206.0,9,,
Car 1128,,,,,15,switch,,"Charger 15 (fid=18) not available, trying Charger 1 (fid=7)",1206.1171971974475,1,,
Car 1320,,,,,16,switch,,"Charger 16 (fid=35) not available, trying Charger 15 (fid=18)",1206.1675375553514,15,,
Car 385,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 16 (fid=35)",1206.2120416753303,16,,
Car 327,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 11 (fid=118)",1206.2354084413319,11,,
Car 576,,,,,17,switch,,"Charger 17 (fid=58) not available, trying Charger 5 (fid=2)",1206.3719807374878,5,,
Car 1252,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 0 (fid=1)",1206.4415670481467,0,,
Car 866,119.0,88,10,,,done,,done charging,1206.6205188734407,,,99.05305355213102
Car 1259,,88,10,,,start_charge,,starting to charge at Charger 10 (fid=88),1206.6205188734407,,89.62662604116758,
Car 976,,,,,16,switch,,"Charger 16 (fid=35) not available, trying Charger 15 (fid=18)",1206.6661099729881,15,,
Car 1446,,,,,15,switch,,"Charger 15 (fid=18) not available, trying Charger 13 (fid=71)",1206.6688308664316,13,,
Car 740,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 8 (fid=29)",1206.6871330320234,8,,
Car 1173,,,,,16,switch,,"Charger 16 (fid=35) not available, trying Charger 3 (fid=19)",1206.823238697597,3,,
Car 1301,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",1206.9137102184088,1,,
Car 103,,,,62,,arrived,,arrived,1207.0,,,
Car 1360,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 11 (fid=118)",1207.0,11,,
Car 349,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 11 (fid=118)",1207.1218936587734,11,,
Car 863,,,,,6,switch,,"Charger 6 (fid=26) not available, trying Charger 16 (fid=35)",1207.1507466533994,16,,
Car 954,,,,,11,switch,,"Charger 11 (fid=118) not available, trying Charger 1 (fid=7)",1207.2400431383164,1,,
Car 1190,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 16 (fid=35)",1207.5125185015258,16,,
Car 1306,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 8 (fid=29)",1207.6035813724832,8,,
Car 119,,,,,12,switch,,"Charger 12 (fid=15) not available, trying Charger 16 (fid=35)",1207.6235396804836,16,,
Car 1471,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 17 (fid=58)",1207.8625150086636,17,,
Car 974,,,,,17,switch,,"Charger 17 (fid=58) not available, trying Charger 12 (fid=15)",1207.9089108729781,12,,
Car 905,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 0 (fid=1)",1207.9131570020152,0,,
Car 275,,,,14,,arrived,,arrived,1208.0,,,
Car 362,,,,37,,arrived,,arrived,1208.0,,,
Car 507,108.0,26,6,,,done,,done charging,1208.0,,,42.01350626879802
Car 921,67.0,26,6,,,done,,done charging,1208.0,,,266.06587551957045
Car 157,54.0,15,12,,,done,,done charging,1208.0,,,390.4329567672263
Car 1475,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",1208.0,2,,
Car 1501,,26,6,,,start_charge,,starting to charge at Charger 6 (fid=26),1208.0,,43.55478199618892,
Car 502,,26,6,,,start_charge,,starting to charge at Charger 6 (fid=26),1208.0,,47.96143441208892,
Car 877,,15,12,,,start_charge,,starting to charge at Charger 12 (fid=15),1208.0,,18.403773813329508,
Car 910,,,,,,gave_up,7,"no alternate charger available, gave up",1208.2689532556533,,,
Car 1505,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",1208.2828582371092,1,,
Car 506,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",1208.6069032621501,1,,
Car 406,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 0 (fid=1)",1208.6266502530725,0,,
Car 254,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",1208.6305845066515,1,,
Car 1044,,,,,16,switch,,"Charger 16 (fid=35) not available, trying Charger 15 (fid=18)",1208.6661099729881,15,,
Car 1502,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 1 (fid=7)",1208.7190634663966,1,,
Car 124,,,,,11,switch,,"Charger 11 (fid=118) not available, trying Charger 10 (fid=88)",1208.8573248026296,10,,
Car 68,,,,,8,switch,,"Charger 8 (fid=29) not available, trying Charger 9 (fid=26)",1208.9032746939945,9,,
Car 648,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 2 (fid=17)",1209.0,2,,
Car 1134,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 16 (fid=35)",1209.1144835891143,16,,
Car 422,,,,,5,switch,,"Charger 5 (fid=2) not available, trying Charger 0 (fid=1)",1209.1207088886315,0,,
Car 471,,,,,16,switch,,"Charger 16 (fid=35) not available, trying Charger 2 (fid=17)",1209.1723678175972,2,,
Car 1334,,,,,16,switch,,"Charger 16 (fid=35) not available, trying Charger 2 (fid=17)",1209.2008459876952,2,,
Car 351,,,,,12,switch,,"Charger 12 (fid=15) not available, trying Charger 16 (fid=35)",1209.6235396804836,16,,
Car 915,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 17 (fid=58)",1209.7546545732177,17,,
Car 1063,,,,,13,switch,,"Charger 13 (fid=71) not available, trying Charger 4 (fid=17)",1209.77091636729,4,,
Car 76,,,,9,,arrived,,arrived,1210.0,,,
Car 194,,,,45,,arrived,,arrived,1210.0,,,
Car 1014,,,,37,,arrived,,arrived,1210.0,,,
Car 588,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 12 (fid=15)",1210.1209365825666,12,,
Car 1310,,,,,11,switch,,"Charger 11 (fid=118) not available, trying Charger 12 (fid=15)",1210.15473752791,12,,
Car 800,,,,,7,switch,,"Charger 7 (fid=85) not available, trying Charger 10 (fid=88)",1210.4060848275187,10,,
Car 240,,,,,5,switch,,"Charger 5 (fid=2) not available, trying Charger 12 (fid=15)",1210.4203611535931,12,,
Car 1226,,,,,8,switch,,"Charger 8 (fid=29) not available, trying Charger 9 (fid=26)",1210.4261812269592,9,,
Car 1207,55.0,19,3,,,done,,done charging,1210.4830880136683,,,113.12609614496556
Car 1359,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 6 (fid=26)",1210.4830880136683,6,,
Car 9,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 8 (fid=29)",1210.4882473270538,8,,
