car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 137,,9,9,,,start_charge,starting to charge at Charger 9 (fid=9),300.0,,
Car 133,,,,18,,arrived,arrived,305.0,,
Car 133,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",306.0,0,
Car 133,,31,0,,,start_charge,starting to charge at Charger 0 (fid=31),306.30102030376577,,
Car 31,,,,77,,arrived,arrived,319.0,,
Car 31,,61,6,,,start_charge,starting to charge at Charger 6 (fid=61),319.0,,
Car 58,73.0,81,7,,,done,done charging,320.0,,152.88187448672855
Car 93,,,,36,,arrived,arrived,321.0,,
Car 93,,34,13,,,start_charge,starting to charge at Charger 13 (fid=34),321.0,,
Car 3,,,,85,,arrived,arrived,326.0,,
Car 35,116.0,71,14,,,done,done charging,326.0,,111.27157422762313
Car 3,,76,1,,,start_charge,starting to charge at Charger 1 (fid=76),326.0,,
Car 130,,,,47,,arrived,arrived,328.0,,
Car 130,,27,18,,,start_charge,starting to charge at Charger 18 (fid=27),328.0,,
Car 72,81.0,75,8,,,done,done charging,333.44659297938466,,285.83423461267586
Car 117,88.0,21,21,,,done,done charging,336.0,,94.88377395867221
Car 24,98.0,2,11,,,done,done charging,341.0,,214.1346410864262
Car 84,80.0,48,4,,,done,done charging,343.0,,267.61520712117465
Car 56,,,,9,,arrived,arrived,346.0,,
Car 136,68.0,30,15,,,done,done charging,347.0,,23.95384217491839
Car 56,,,,,9,switch,"Charger 9 (fid=9) not available, trying Charger 5 (fid=78)",347.0,5,
Car 56,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),349.0251507374407,,
Car 83,,,,27,,arrived,arrived,350.0,,
Car 83,,25,16,,,start_charge,starting to charge at Charger 16 (fid=25),350.0,,
Car 76,106.0,70,2,,,done,done charging,354.59518555183774,,103.84221795412427
Car 47,,,,41,,arrived,arrived,363.0,,
Car 47,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 10 (fid=34)",364.0,10,
Car 47,,34,10,,,start_charge,starting to charge at Charger 10 (fid=34),365.53836534055785,,
Car 116,,,,4,,arrived,arrived,366.0,,
Car 116,,48,4,,,start_charge,starting to charge at Charger 4 (fid=48),366.0,,
Car 137,70.0,9,9,,,done,done charging,370.0,,195.0691119988162
Car 60,,,,22,,arrived,arrived,375.0,,
Car 60,,,,,10,switch,"Charger 10 (fid=34) not available, trying Charger 18 (fid=27)",376.0,18,
Car 60,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 12 (fid=33)",378.53836534055785,12,
Car 3,53.0,76,1,,,done,done charging,379.0,,112.12782955842924
Car 60,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),379.4425224589606,,
Car 154,,,,69,,arrived,arrived,383.0,,
Car 154,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),383.0,,
Car 153,,,,87,,arrived,arrived,388.0,,
Car 153,,76,1,,,start_charge,starting to charge at Charger 1 (fid=76),388.0,,
Car 31,78.0,61,6,,,done,done charging,397.0,,252.7600499305487
Car 133,96.0,31,0,,,done,done charging,402.30102030376577,,36.367493649220705
Car 74,,,,26,,arrived,arrived,406.0,,
Car 93,85.0,34,13,,,done,done charging,406.0,,29.62991821302589
Car 74,,,,,18,switch,"Charger 18 (fid=27) not available, trying Charger 12 (fid=33)",407.0,12,
Car 67,,,,1,,arrived,arrived,408.0,,
Car 67,,81,7,,,start_charge,starting to charge at Charger 7 (fid=81),408.0,,
Car 74,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 20 (fid=25)",408.90415711840274,20,
Car 143,,,,19,,arrived,arrived,410.0,,
Car 83,60.0,25,16,,,done,done charging,410.0,,46.431278630379595
Car 74,,25,20,,,start_charge,starting to charge at Charger 20 (fid=25),410.0238824222194,,
Car 143,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",411.0,2,
Car 143,,70,2,,,start_charge,starting to charge at Charger 2 (fid=70),411.59518555183774,,
Car 130,97.0,27,18,,,done,done charging,425.0,,93.12920407538058
Car 152,,,,21,,arrived,arrived,445.0,,
Car 154,62.0,71,14,,,done,done charging,445.0,,111.27157422762313
Car 152,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),445.0,,
Car 56,101.0,78,5,,,done,done charging,450.0251507374407,,168.69505642881097
Car 47,85.0,34,10,,,done,done charging,450.53836534055785,,133.29296410529915
Car 116,93.0,48,4,,,done,done charging,459.0,,267.61520712117465
Car 153,75.0,76,1,,,done,done charging,463.0,,101.37431941770164
Car 67,64.0,81,7,,,done,done charging,472.0,,202.96976209200324
Car 138,,,,17,,arrived,arrived,475.0,,
