car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 80,,,,34,,arrived,,arrived,21.0,,
Car 80,,31,0,,,start_charge,,starting to charge at Charger 0 (fid=31),21.0,,
Car 0,,,,45,,arrived,,arrived,40.0,,
Car 0,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),40.0,,
Car 76,,,,77,,arrived,,arrived,70.0,,
Car 76,,51,4,,,start_charge,,starting to charge at Charger 4 (fid=51),70.0,,
Car 50,,,,29,,arrived,,arrived,75.0,,
Car 50,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",76.0,2,
Car 50,,14,2,,,start_charge,,starting to charge at Charger 2 (fid=14),76.47542490521975,,
Car 16,,,,9,,arrived,,arrived,88.0,,
Car 16,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 3 (fid=4)",89.0,3,
Car 0,53.0,62,5,,,done,,done charging,93.0,,56.16052455308473
Car 16,,4,3,,,start_charge,,starting to charge at Charger 3 (fid=4),93.13992869975957,,
Car 1,,,,25,,arrived,,arrived,120.0,,
Car 1,,20,6,,,start_charge,,starting to charge at Charger 6 (fid=20),120.0,,
Car 76,55.0,51,4,,,done,,done charging,125.0,,118.48373801680106
Car 50,49.0,14,2,,,done,,done charging,125.47542490521975,,94.83016654892972
Car 80,111.0,31,0,,,done,,done charging,132.0,,52.19073041078566
Car 20,,,,47,,arrived,,arrived,136.0,,
Car 20,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 6 (fid=20)",137.0,6,
Car 20,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 2 (fid=14)",143.4446280311018,2,
Car 20,,14,2,,,start_charge,,starting to charge at Charger 2 (fid=14),145.13246478064872,,
Car 62,,,,21,,arrived,,arrived,152.0,,
Car 62,,12,7,,,start_charge,,starting to charge at Charger 7 (fid=12),152.0,,
Car 81,,,,9,,arrived,,arrived,153.0,,
Car 81,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),153.0,,
Car 16,78.0,4,3,,,done,,done charging,171.13992869975957,,272.60601734634906
Car 7,,,,17,,arrived,,arrived,177.0,,
