car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 102,,,,37,,arrived,arrived,1.0,,,
Car 102,,63,11,,,start_charge,starting to charge at Charger 11 (fid=63),1.0,,0.0,
Car 91,,,,4,,arrived,arrived,5.0,,,
Car 91,,63,11,,,start_charge,starting to charge at Charger 11 (fid=63),5.0,,0.0,
Car 383,,,,3,,arrived,arrived,7.0,,,
Car 383,,77,12,,,start_charge,starting to charge at Charger 12 (fid=77),7.0,,0.0,
Car 28,,,,46,,arrived,arrived,11.0,,,
Car 28,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),11.0,,0.0,
Car 170,,,,31,,arrived,arrived,14.0,,,
Car 170,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),14.0,,0.0,
Car 352,,,,73,,arrived,arrived,26.0,,,
Car 496,,,,20,,arrived,arrived,26.0,,,
Car 352,,63,11,,,start_charge,starting to charge at Charger 11 (fid=63),26.0,,0.0,
Car 496,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),26.0,,0.0,
Car 143,,,,53,,arrived,arrived,28.0,,,
Car 143,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),28.0,,0.0,
Car 22,,,,4,,arrived,arrived,43.0,,,
Car 22,,77,12,,,start_charge,starting to charge at Charger 12 (fid=77),43.0,,0.0,
Car 308,,,,57,,arrived,arrived,48.0,,,
Car 308,,18,7,,,start_charge,starting to charge at Charger 7 (fid=18),48.0,,0.0,
Car 390,,,,81,,arrived,arrived,50.0,,,
Car 407,,,,77,,arrived,arrived,50.0,,,
Car 390,,3,10,,,start_charge,starting to charge at Charger 10 (fid=3),50.0,,0.0,
Car 407,,77,12,,,start_charge,starting to charge at Charger 12 (fid=77),50.0,,0.0,
Car 5,,,,74,,arrived,arrived,55.0,,,
Car 91,50.0,63,11,,,done,done charging,55.0,,,54.8181167954453
Car 5,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),55.0,,0.0,
Car 348,,,,58,,arrived,arrived,57.0,,,
Car 348,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),57.0,,0.0,
Car 102,61.0,63,11,,,done,done charging,62.0,,,80.50333211118276
Car 43,,,,56,,arrived,arrived,65.0,,,
