car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 168,,,,34,,arrived,arrived,8.0,,
Car 168,,33,2,,,start_charge,starting to charge at Charger 2 (fid=33),8.0,,
Car 140,,,,20,,arrived,arrived,15.0,,
Car 140,,115,9,,,start_charge,starting to charge at Charger 9 (fid=115),15.0,,
Car 3,,,,32,,arrived,arrived,18.0,,
Car 3,,,,,2,switch,"Charger 2 (fid=33) not available, trying Charger 3 (fid=27)",19.0,3,
Car 3,,27,3,,,start_charge,starting to charge at Charger 3 (fid=27),19.904157118402736,,
Car 41,,,,84,,arrived,arrived,29.0,,
Car 41,,84,12,,,start_charge,starting to charge at Charger 12 (fid=84),29.0,,
Car 51,,,,25,,arrived,arrived,42.0,,
Car 51,,27,15,,,start_charge,starting to charge at Charger 15 (fid=27),42.0,,
Car 134,,,,90,,arrived,arrived,49.0,,
Car 178,,,,13,,arrived,arrived,49.0,,
Car 178,,13,16,,,start_charge,starting to charge at Charger 16 (fid=13),49.0,,
Car 134,,,,,12,switch,"Charger 12 (fid=84) not available, trying Charger 8 (fid=64)",50.0,8,
Car 134,,64,8,,,start_charge,starting to charge at Charger 8 (fid=64),52.72714781458687,,
Car 5,,,,59,,arrived,arrived,59.0,,
Car 5,,58,10,,,start_charge,starting to charge at Charger 10 (fid=58),59.0,,
Car 2,,,,3,,arrived,arrived,62.0,,
Car 2,,,,,15,switch,"Charger 15 (fid=27) not available, trying Charger 18 (fid=4)",63.0,18,
Car 2,,4,18,,,start_charge,starting to charge at Charger 18 (fid=4),66.62470175545661,,
Car 65,,,,43,,arrived,arrived,76.0,,
Car 65,,49,13,,,start_charge,starting to charge at Charger 13 (fid=49),76.0,,
Car 100,,,,4,,arrived,arrived,81.0,,
Car 100,,,,,18,switch,"Charger 18 (fid=4) not available, trying Charger 7 (fid=16)",82.0,7,
Car 100,,16,7,,,start_charge,starting to charge at Charger 7 (fid=16),84.79114548263655,,
Car 59,,,,35,,arrived,arrived,97.0,,
Car 59,,33,6,,,start_charge,starting to charge at Charger 6 (fid=33),97.0,,
Car 155,,,,56,,arrived,arrived,106.0,,
Car 155,,56,20,,,start_charge,starting to charge at Charger 20 (fid=56),106.0,,
Car 178,58.0,13,16,,,done,done charging,107.0,,58.65449183661068
Car 140,107.0,115,9,,,done,done charging,122.0,,65.1206837689219
Car 168,116.0,33,2,,,done,done charging,124.0,,73.84673273459214
Car 41,102.0,84,12,,,done,done charging,131.0,,139.8903618258362
Car 3,114.0,27,3,,,done,done charging,133.90415711840274,,76.71501987235149
Car 51,100.0,27,15,,,done,done charging,142.0,,46.431278630379595
Car 117,,,,81,,arrived,arrived,145.0,,
Car 117,,,,,18,switch,"Charger 18 (fid=4) not available, trying Charger 6 (fid=33)",146.0,6,
Car 117,,,,,6,switch,"Charger 6 (fid=33) not available, trying Charger 0 (fid=18)",149.99846705038863,0,
Car 117,,18,0,,,start_charge,starting to charge at Charger 0 (fid=18),150.80175185283719,,
Car 2,85.0,4,18,,,done,done charging,151.6247017554566,,265.71951457122856
Car 180,,,,56,,arrived,arrived,153.0,,
Car 180,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 0 (fid=18)",154.0,0,
Car 180,,,,,0,switch,"Charger 0 (fid=18) not available, trying Charger 6 (fid=33)",156.6965679764559,6,
Car 121,,,,57,,arrived,arrived,157.0,,
Car 5,99.0,58,10,,,done,done charging,158.0,,110.17154949515006
Car 121,,,,,0,switch,"Charger 0 (fid=18) not available, trying Charger 20 (fid=56)",158.0,20,
Car 180,,,,,6,switch,"Charger 6 (fid=33) not available, trying Charger 9 (fid=115)",158.49985277890445,9,
Car 134,107.0,64,8,,,done,done charging,159.72714781458689,,185.76730771854852
Car 180,,115,9,,,start_charge,starting to charge at Charger 9 (fid=115),160.68368109674444,,
Car 121,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 6 (fid=33)",160.6965679764559,6,
Car 121,,,,,6,switch,"Charger 6 (fid=33) not available, trying Charger 7 (fid=16)",163.87735595273747,7,
Car 108,,,,4,,arrived,arrived,166.0,,
Car 108,,63,17,,,start_charge,starting to charge at Charger 17 (fid=63),166.0,,
Car 121,,,,,7,switch,"Charger 7 (fid=16) not available, trying Charger 9 (fid=115)",167.02462408363544,9,
Car 59,72.0,33,6,,,done,done charging,169.0,,24.898731893138063
Car 100,85.0,16,7,,,done,done charging,169.79114548263655,,232.50241870362424
Car 40,,,,23,,arrived,arrived,170.0,,
Car 40,,25,14,,,start_charge,starting to charge at Charger 14 (fid=25),170.0,,
Car 121,,,,,9,switch,"Charger 9 (fid=115) not available, trying Charger 15 (fid=27)",170.64497650466356,15,
Car 121,,27,15,,,start_charge,starting to charge at Charger 15 (fid=27),172.32227082777527,,
Car 77,,,,15,,arrived,arrived,173.0,,
Car 77,,33,6,,,start_charge,starting to charge at Charger 6 (fid=33),173.0,,
Car 18,,,,50,,arrived,arrived,177.0,,
Car 18,,50,19,,,start_charge,starting to charge at Charger 19 (fid=50),177.0,,
Car 65,110.0,49,13,,,done,done charging,186.0,,39.32585860490738
Car 92,,,,47,,arrived,arrived,187.0,,
Car 92,,27,3,,,start_charge,starting to charge at Charger 3 (fid=27),187.0,,
Car 66,,,,23,,arrived,arrived,202.0,,
Car 66,,,,,15,switch,"Charger 15 (fid=27) not available, trying Charger 6 (fid=33)",203.0,6,
Car 66,,,,,6,switch,"Charger 6 (fid=33) not available, trying Charger 9 (fid=115)",205.623891898901,9,
Car 120,,,,56,,arrived,arrived,206.0,,
Car 120,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 0 (fid=18)",207.0,0,
Car 66,,,,,9,switch,"Charger 9 (fid=115) not available, trying Charger 0 (fid=18)",208.807720216741,0,
Car 120,,,,,0,switch,"Charger 0 (fid=18) not available, trying Charger 6 (fid=33)",209.6965679764559,6,
Car 96,,,,49,,arrived,arrived,210.0,,
Car 96,,49,13,,,start_charge,starting to charge at Charger 13 (fid=49),210.0,,
Car 120,,,,,6,switch,"Charger 6 (fid=33) not available, trying Charger 9 (fid=115)",211.49985277890445,9,
Car 66,,,,,0,switch,"Charger 0 (fid=18) not available, trying Charger 4 (fid=22)",211.50732853475532,4,
Car 66,,22,4,,,start_charge,starting to charge at Charger 4 (fid=22),214.18519489140826,,
Car 120,,,,,9,switch,"Charger 9 (fid=115) not available, trying Charger 7 (fid=16)",214.68368109674444,7,
Car 120,,16,7,,,start_charge,starting to charge at Charger 7 (fid=16),217.30403351777255,,
Car 19,,,,88,,arrived,arrived,221.0,,
Car 19,,84,12,,,start_charge,starting to charge at Charger 12 (fid=84),221.0,,
Car 180,62.0,115,9,,,done,done charging,222.68368109674444,,189.59677232934087
Car 155,117.0,56,20,,,done,done charging,223.0,,44.63517725683041
Car 77,50.0,33,6,,,done,done charging,223.0,,59.46781573269558
Car 40,54.0,25,14,,,done,done charging,224.0,,36.73875910180274
Car 104,,,,28,,arrived,arrived,228.0,,
Car 104,,33,6,,,start_charge,starting to charge at Charger 6 (fid=33),228.0,,
Car 92,46.0,27,3,,,done,done charging,233.0,,93.12920407538058
Car 11,,,,83,,arrived,arrived,247.0,,
Car 11,,,,,15,switch,"Charger 15 (fid=27) not available, trying Charger 18 (fid=4)",248.0,18,
Car 176,,,,86,,arrived,arrived,249.0,,
Car 176,,,,,12,switch,"Charger 12 (fid=84) not available, trying Charger 8 (fid=64)",250.0,8,
Car 11,,4,18,,,start_charge,starting to charge at Charger 18 (fid=4),251.6247017554566,,
Car 176,,64,8,,,start_charge,starting to charge at Charger 8 (fid=64),252.72714781458689,,
Car 85,,,,38,,arrived,arrived,256.0,,
Car 108,91.0,63,17,,,done,done charging,257.0,,108.37045398266142
