car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 756,,,,18,,arrived,arrived,1.0,,,
Car 756,,72,6,,,start_charge,starting to charge at Charger 6 (fid=72),1.0,,0.0,
Car 1363,,,,17,,arrived,arrived,2.0,,,
Car 1363,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),2.0,,0.0,
Car 803,,,,40,,arrived,arrived,4.0,,,
Car 803,,60,24,,,start_charge,starting to charge at Charger 24 (fid=60),4.0,,0.0,
Car 232,,,,4,,arrived,arrived,6.0,,,
Car 232,,60,24,,,start_charge,starting to charge at Charger 24 (fid=60),6.0,,0.0,
Car 364,,,,7,,arrived,arrived,7.0,,,
Car 364,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),7.0,,0.0,
Car 1499,,,,61,,arrived,arrived,9.0,,,
Car 1499,,66,22,,,start_charge,starting to charge at Charger 22 (fid=66),9.0,,0.0,
Car 529,,,,68,,arrived,arrived,10.0,,,
Car 1329,,,,73,,arrived,arrived,10.0,,,
Car 529,,68,18,,,start_charge,starting to charge at Charger 18 (fid=68),10.0,,0.0,
Car 1329,,10,20,,,start_charge,starting to charge at Charger 20 (fid=10),10.0,,0.0,
Car 1112,,,,55,,arrived,arrived,11.0,,,
Car 1112,,54,5,,,start_charge,starting to charge at Charger 5 (fid=54),11.0,,0.0,
Car 303,,,,62,,arrived,arrived,12.0,,,
Car 544,,,,34,,arrived,arrived,12.0,,,
Car 303,,60,24,,,start_charge,starting to charge at Charger 24 (fid=60),12.0,,0.0,
Car 544,,15,11,,,start_charge,starting to charge at Charger 11 (fid=15),12.0,,0.0,
Car 492,,,,12,,arrived,arrived,13.0,,,
Car 640,,,,73,,arrived,arrived,13.0,,,
Car 492,,21,13,,,start_charge,starting to charge at Charger 13 (fid=21),13.0,,0.0,
Car 640,,10,20,,,start_charge,starting to charge at Charger 20 (fid=10),13.0,,0.0,
Car 1244,,,,14,,arrived,arrived,14.0,,,
Car 1323,,,,32,,arrived,arrived,14.0,,,
Car 1244,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),14.0,,0.0,
Car 1323,,72,6,,,start_charge,starting to charge at Charger 6 (fid=72),14.0,,0.0,
Car 218,,,,4,,arrived,arrived,16.0,,,
Car 823,,,,20,,arrived,arrived,16.0,,,
Car 218,,60,24,,,start_charge,starting to charge at Charger 24 (fid=60),16.0,,0.0,
Car 823,,21,8,,,start_charge,starting to charge at Charger 8 (fid=21),16.0,,0.0,
Car 169,,,,83,,arrived,arrived,17.0,,,
Car 1163,,,,73,,arrived,arrived,17.0,,,
Car 169,,76,25,,,start_charge,starting to charge at Charger 25 (fid=76),17.0,,0.0,
Car 1163,,10,20,,,start_charge,starting to charge at Charger 20 (fid=10),17.0,,0.0,
Car 1222,,,,11,,arrived,arrived,18.0,,,
Car 1233,,,,33,,arrived,arrived,18.0,,,
Car 1391,,,,73,,arrived,arrived,18.0,,,
Car 1222,,60,24,,,start_charge,starting to charge at Charger 24 (fid=60),18.0,,0.0,
Car 1233,,33,17,,,start_charge,starting to charge at Charger 17 (fid=33),18.0,,0.0,
Car 1391,,10,20,,,start_charge,starting to charge at Charger 20 (fid=10),18.0,,0.0,
Car 882,,,,60,,arrived,arrived,19.0,,,
Car 1472,,,,37,,arrived,arrived,20.0,,,
Car 1472,,54,5,,,start_charge,starting to charge at Charger 5 (fid=54),20.0,,0.0,
Car 1079,,,,39,,arrived,arrived,24.0,,,
Car 882,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 16 (fid=9)",24.0,16,,
Car 1311,,,,46,,arrived,arrived,25.0,,,
Car 1311,,47,14,,,start_charge,starting to charge at Charger 14 (fid=47),25.0,,0.0,
Car 882,,9,16,,,start_charge,starting to charge at Charger 16 (fid=9),25.78105995797103,,5.0,
Car 106,,,,20,,arrived,arrived,26.0,,,
Car 106,,21,8,,,start_charge,starting to charge at Charger 8 (fid=21),26.0,,0.0,
Car 387,,,,69,,arrived,arrived,27.0,,,
Car 1413,,,,27,,arrived,arrived,27.0,,,
Car 387,,68,18,,,start_charge,starting to charge at Charger 18 (fid=68),27.0,,0.0,
Car 1413,,33,17,,,start_charge,starting to charge at Charger 17 (fid=33),27.0,,0.0,
Car 722,,,,52,,arrived,arrived,28.0,,,
Car 722,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),28.0,,0.0,
Car 1286,,,,37,,arrived,arrived,29.0,,,
Car 1079,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 0 (fid=1)",29.0,0,,
Car 1286,,54,5,,,start_charge,starting to charge at Charger 5 (fid=54),29.0,,0.0,
Car 793,,,,50,,arrived,arrived,30.0,,,
Car 1079,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),30.946539141435487,,5.0,
Car 1207,,,,15,,arrived,arrived,31.0,,,
Car 1207,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),31.0,,0.0,
Car 1053,,,,56,,arrived,arrived,32.0,,,
Car 1053,,70,21,,,start_charge,starting to charge at Charger 21 (fid=70),32.0,,0.0,
Car 1176,,,,4,,arrived,arrived,33.0,,,
Car 1176,,47,14,,,start_charge,starting to charge at Charger 14 (fid=47),33.0,,0.0,
Car 284,,,,67,,arrived,arrived,35.0,,,
Car 793,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 0 (fid=1)",35.0,0,,
Car 284,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),35.0,,0.0,
Car 354,,,,115,,arrived,arrived,36.0,,,
Car 354,,115,9,,,start_charge,starting to charge at Charger 9 (fid=115),36.0,,0.0,
Car 793,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),36.94653914143549,,5.0,
Car 468,,,,60,,arrived,arrived,38.0,,,
Car 1155,,,,10,,arrived,arrived,38.0,,,
Car 1155,,10,20,,,start_charge,starting to charge at Charger 20 (fid=10),38.0,,0.0,
Car 167,,,,20,,arrived,arrived,40.0,,,
Car 167,,21,8,,,start_charge,starting to charge at Charger 8 (fid=21),40.0,,0.0,
Car 479,,,,80,,arrived,arrived,41.0,,,
Car 673,,,,8,,arrived,arrived,41.0,,,
Car 479,,80,12,,,start_charge,starting to charge at Charger 12 (fid=80),41.0,,0.0,
Car 468,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 16 (fid=9)",43.0,16,,
Car 956,,,,50,,arrived,arrived,44.0,,,
Car 468,,9,16,,,start_charge,starting to charge at Charger 16 (fid=9),44.78105995797103,,5.0,
Car 673,,,,,20,switch,"Charger 20 (fid=10) not available, trying Charger 16 (fid=9)",46.0,16,,
Car 673,,9,16,,,start_charge,starting to charge at Charger 16 (fid=9),46.641781326655334,,5.0,
Car 259,,,,89,,arrived,arrived,47.0,,,
Car 259,,87,19,,,start_charge,starting to charge at Charger 19 (fid=87),47.0,,0.0,
Car 1016,,,,49,,arrived,arrived,49.0,,,
Car 956,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 0 (fid=1)",49.0,0,,
Car 1016,,43,23,,,start_charge,starting to charge at Charger 23 (fid=43),49.0,,0.0,
Car 17,,,,77,,arrived,arrived,50.0,,,
Car 584,,,,70,,arrived,arrived,50.0,,,
Car 1314,,,,47,,arrived,arrived,50.0,,,
Car 584,,70,21,,,start_charge,starting to charge at Charger 21 (fid=70),50.0,,0.0,
Car 1314,,47,14,,,start_charge,starting to charge at Charger 14 (fid=47),50.0,,0.0,
Car 956,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),50.94653914143549,,5.0,
Car 1101,,,,34,,arrived,arrived,51.0,,,
Car 1101,,15,11,,,start_charge,starting to charge at Charger 11 (fid=15),51.0,,0.0,
Car 208,,,,72,,arrived,arrived,52.0,,,
Car 208,,72,6,,,start_charge,starting to charge at Charger 6 (fid=72),52.0,,0.0,
Car 460,,,,1,,arrived,arrived,53.0,,,
Car 460,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),53.0,,0.0,
Car 166,,,,74,,arrived,arrived,54.0,,,
Car 166,,21,13,,,start_charge,starting to charge at Charger 13 (fid=21),54.0,,0.0,
Car 168,,,,73,,arrived,arrived,55.0,,,
Car 266,,,,8,,arrived,arrived,55.0,,,
Car 565,,,,4,,arrived,arrived,55.0,,,
Car 877,,,,77,,arrived,arrived,55.0,,,
Car 930,,,,38,,arrived,arrived,55.0,,,
Car 1121,,,,8,,arrived,arrived,55.0,,,
Car 17,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 0 (fid=1)",55.0,0,,
Car 930,,47,14,,,start_charge,starting to charge at Charger 14 (fid=47),55.0,,0.0,
Car 364,49.0,7,1,,,done,done charging,56.0,,,0.0
Car 17,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),56.94653914143549,,5.0,
Car 1499,49.0,66,22,,,done,done charging,58.0,,,108.42953806045905
Car 568,,,,18,,arrived,arrived,60.0,,,
Car 1430,,,,38,,arrived,arrived,60.0,,,
Car 168,,,,,20,switch,"Charger 20 (fid=10) not available, trying Charger 16 (fid=9)",60.0,16,,
Car 266,,,,,20,switch,"Charger 20 (fid=10) not available, trying Charger 16 (fid=9)",60.0,16,,
Car 565,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 0 (fid=1)",60.0,0,,
Car 877,,,,,24,switch,"Charger 24 (fid=60) not available, trying Charger 0 (fid=1)",60.0,0,,
Car 1121,,,,,20,switch,"Charger 20 (fid=10) not available, trying Charger 16 (fid=9)",60.0,16,,
Car 568,,72,6,,,start_charge,starting to charge at Charger 6 (fid=72),60.0,,0.0,
Car 1430,,47,14,,,start_charge,starting to charge at Charger 14 (fid=47),60.0,,0.0,
Car 168,,9,16,,,start_charge,starting to charge at Charger 16 (fid=9),60.641781326655334,,5.0,
Car 266,,9,16,,,start_charge,starting to charge at Charger 16 (fid=9),60.641781326655334,,5.0,
Car 1370,,,,4,,arrived,arrived,63.0,,,
Car 1121,,,,,16,switch,"Charger 16 (fid=9) not available, trying Charger 22 (fid=66)",65.64178132665533,22,,
Car 1099,,,,63,,arrived,arrived,66.0,,,
Car 1462,,,,62,,arrived,arrived,66.0,,,
Car 1121,,66,22,,,start_charge,starting to charge at Charger 22 (fid=66),66.61156011755105,,10.0,
