car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 174,,,,8,,arrived,,arrived,1.0,,
Car 298,,,,39,,arrived,,arrived,1.0,,
Car 174,,9,8,,,start_charge,,starting to charge at Charger 8 (fid=9),1.0,,
Car 298,,39,1,,,start_charge,,starting to charge at Charger 1 (fid=39),1.0,,
Car 287,,,,24,,arrived,,arrived,5.0,,
Car 287,,27,13,,,start_charge,,starting to charge at Charger 13 (fid=27),5.0,,
Car 224,,,,51,,arrived,,arrived,11.0,,
Car 224,,51,4,,,start_charge,,starting to charge at Charger 4 (fid=51),11.0,,
Car 79,,,,34,,arrived,,arrived,21.0,,
Car 79,,31,0,,,start_charge,,starting to charge at Charger 0 (fid=31),21.0,,
Car 125,,,,29,,arrived,,arrived,26.0,,
Car 125,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",27.0,2,
Car 125,,14,2,,,start_charge,,starting to charge at Charger 2 (fid=14),27.47542490521976,,
Car 218,,,,4,,arrived,,arrived,43.0,,
Car 218,,52,10,,,start_charge,,starting to charge at Charger 10 (fid=52),43.0,,
Car 201,,,,85,,arrived,,arrived,55.0,,
Car 287,50.0,27,13,,,done,,done charging,55.0,,85.28995168695772
Car 201,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",56.0,7,
Car 201,,12,7,,,start_charge,,starting to charge at Charger 7 (fid=12),58.28090038754441,,
Car 189,,,,45,,arrived,,arrived,61.0,,
Car 189,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),61.0,,
Car 298,61.0,39,1,,,done,,done charging,62.0,,52.906494900102736
Car 138,,,,33,,arrived,,arrived,65.0,,
Car 239,,,,61,,arrived,,arrived,65.0,,
Car 138,,27,13,,,start_charge,,starting to charge at Charger 13 (fid=27),65.0,,
Car 239,,39,1,,,start_charge,,starting to charge at Charger 1 (fid=39),65.0,,
Car 286,,,,58,,arrived,,arrived,67.0,,
Car 286,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 10 (fid=52)",68.0,10,
Car 179,,,,19,,arrived,,arrived,69.0,,
Car 179,,20,6,,,start_charge,,starting to charge at Charger 6 (fid=20),69.0,,
Car 75,,,,77,,arrived,,arrived,70.0,,
Car 176,,,,2,,arrived,,arrived,70.0,,
Car 75,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 5 (fid=62)",71.0,5,
Car 176,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",71.0,7,
Car 286,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",71.53387358487387,7,
Car 176,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 4 (fid=51)",74.28090038754442,4,
Car 286,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 5 (fid=62)",74.8147739724183,5,
Car 75,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 10 (fid=52)",74.82528400270691,10,
Car 49,,,,29,,arrived,,arrived,75.0,,
Car 49,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",76.0,2,
Car 212,,,,20,,arrived,,arrived,77.0,,
Car 49,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 11 (fid=71)",77.47542490521975,11,
Car 212,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 11 (fid=71)",78.0,11,
Car 49,,71,11,,,start_charge,,starting to charge at Charger 11 (fid=71),78.37865277822566,,
Car 75,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 8 (fid=9)",79.38894114594636,8,
Car 176,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 9 (fid=3)",79.42337703551863,9,
Car 212,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 2 (fid=14)",80.33018747032942,2,
Car 286,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 9 (fid=3)",80.7844189756599,9,
Car 212,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 0 (fid=31)",82.23341534333532,0,
Car 212,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 9 (fid=3)",83.70884024855508,9,
Car 176,,3,9,,,start_charge,,starting to charge at Charger 9 (fid=3),84.35722708835365,,
Car 75,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 1 (fid=39)",85.49513605724323,1,
Car 286,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 1 (fid=39)",86.56442821951437,1,
Car 15,,,,9,,arrived,,arrived,88.0,,
Car 169,,,,56,,arrived,,arrived,88.0,,
Car 270,,,,86,,arrived,,arrived,88.0,,
Car 212,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 13 (fid=27)",88.64337043669784,13,
Car 15,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 5 (fid=62)",89.0,5,
Car 169,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 2 (fid=14)",89.0,2,
Car 270,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",89.0,7,
Car 75,,,,,1,switch,,"Charger 1 (fid=39) not available, trying Charger 7 (fid=12)",90.58300255516849,7,
Car 169,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 0 (fid=31)",90.9032278730059,0,
Car 252,,,,1,,arrived,,arrived,92.0,,
Car 270,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 9 (fid=3)",92.28090038754442,9,
Car 169,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 6 (fid=20)",92.37865277822566,6,
Car 15,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 3 (fid=4)",92.39168686632422,3,
Car 252,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",93.0,7,
Car 286,,,,,1,switch,,"Charger 1 (fid=39) not available, trying Charger 8 (fid=9)",94.7941180642193,8,
Car 169,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 8 (fid=9)",95.11362300557143,8,
Car 270,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 4 (fid=51)",95.87234339690067,4,
Car 134,,,,18,,arrived,,arrived,96.0,,
Car 246,,,,88,,arrived,,arrived,96.0,,
Car 212,,,,,13,switch,,"Charger 13 (fid=27) not available, trying Charger 5 (fid=62)",96.27035162261183,5,
Car 252,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 9 (fid=3)",96.28090038754442,9,
Car 15,,4,3,,,start_charge,,starting to charge at Charger 3 (fid=4),96.53161556608379,,
Car 134,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 0 (fid=31)",97.0,0,
Car 246,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",97.0,7,
Car 134,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 11 (fid=71)",98.47542490521975,11,
Car 75,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 9 (fid=3)",98.65256821474006,9,
Car 252,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 4 (fid=51)",99.87234339690067,4,
Car 286,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 0 (fid=31)",99.88198456214457,0,
Car 246,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 9 (fid=3)",100.28090038754442,9,
Car 134,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 6 (fid=20)",100.42578625602447,6,
Car 224,90.0,51,4,,,done,,done charging,101.0,,54.704323229856534
Car 270,,51,4,,,start_charge,,starting to charge at Charger 4 (fid=51),101.0,,
Car 169,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 12 (fid=38)",101.02467939519633,12,
Car 75,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 0 (fid=31)",102.24401122409631,0,
Car 134,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 5 (fid=62)",102.75597372635389,5,
Car 212,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 8 (fid=9)",103.58948445509061,8,
Car 246,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 4 (fid=51)",103.87234339690067,4,
Car 286,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",105.03541426246377,2,
Car 169,,38,12,,,start_charge,,starting to charge at Charger 12 (fid=38),105.21359642137007,,
Car 252,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 5 (fid=62)",105.8061934497357,5,
Car 286,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 11 (fid=71)",106.51083916768353,11,
Car 212,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 12 (fid=38)",106.98117132141483,12,
Car 75,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",107.17854141223907,2,
Car 134,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 9 (fid=3)",108.22330127754961,9,
Car 286,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 6 (fid=20)",108.41406704068943,6,
Car 75,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 11 (fid=71)",108.65396631745882,11,
Car 206,,,,33,,arrived,,arrived,109.0,,
Car 252,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 0 (fid=31)",109.63147745244261,0,
Car 246,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 0 (fid=31)",109.8061934497357,0,
Car 206,,,,,13,switch,,"Charger 13 (fid=27) not available, trying Charger 12 (fid=38)",110.0,12,
Car 75,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 3 (fid=4)",110.55719419046473,3,
Car 286,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 3 (fid=4)",110.74425451101885,3,
Car 174,110.0,9,8,,,done,,done charging,111.0,,118.27804678478897
Car 212,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 7 (fid=12)",112.17008834758857,7,
Car 206,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 6 (fid=20)",113.46267827977982,6,
Car 134,,,,,9,switch,,"Charger 9 (fid=3) not available, trying Charger 8 (fid=9)",114.00331052140407,8,
Car 252,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",114.04527052894632,2,
Car 218,72.0,52,10,,,done,,done charging,115.0,,163.51890402824023
Car 252,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 11 (fid=71)",115.52069543416607,11,
Car 75,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 6 (fid=20)",116.21721334502546,6,
Car 246,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",116.24667560794822,2,
Car 189,56.0,62,5,,,done,,done charging,117.0,,56.16052455308473
Car 286,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 12 (fid=38)",117.18888254212062,12,
Car 252,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 6 (fid=20)",117.42392330717198,6,
Car 246,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 5 (fid=62)",117.72210051316797,5,
Car 206,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 3 (fid=4)",119.5683851948961,3,
Car 252,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 8 (fid=9)",119.7541107775014,8,
Car 286,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 13 (fid=27)",120.16130524743963,13,
Car 212,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 3 (fid=4)",120.760523969975,3,
Car 134,,9,8,,,start_charge,,starting to charge at Charger 8 (fid=9),120.85395153082854,,
Car 246,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),121.29683901791115,,
Car 75,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 12 (fid=38)",122.66184137612723,12,
Car 286,,,,,,gave_up,13,"no alternate charger available, gave up",123.62398352721945,,
Car 229,,,,20,,arrived,,arrived,125.0,,
Car 201,67.0,12,7,,,done,,done charging,125.28090038754442,,308.3536192882413
Car 252,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 1 (fid=39)",125.6651671671263,1,
Car 149,,,,48,,arrived,,arrived,126.0,,
Car 263,,,,77,,arrived,,arrived,126.0,,
Car 229,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 11 (fid=71)",126.0,11,
Car 206,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 11 (fid=71)",126.01301322599787,11,
Car 149,,,,,13,switch,,"Charger 13 (fid=27) not available, trying Charger 12 (fid=38)",127.0,12,
Car 263,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 5 (fid=62)",127.0,5,
Car 49,49.0,71,11,,,done,,done charging,127.37865277822566,,134.39237246615681
Car 229,,71,11,,,start_charge,,starting to charge at Charger 11 (fid=71),127.37865277822566,,
Car 75,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 13 (fid=27)",128.7675482912435,13,
Car 212,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 10 (fid=52)",129.68988070834692,10,
Car 180,,,,84,,arrived,,arrived,130.0,,
Car 180,,52,10,,,start_charge,,starting to charge at Charger 10 (fid=52),130.0,,
Car 149,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 3 (fid=4)",130.46267827977982,3,
Car 252,,,,,1,switch,,"Charger 1 (fid=39) not available, trying Charger 12 (fid=38)",130.75303366505156,12,
Car 263,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 10 (fid=52)",130.8252840027069,10,
Car 176,47.0,3,9,,,done,,done charging,131.35722708835365,,388.77867782934385
Car 206,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 2 (fid=14)",131.6730323805586,2,
Car 79,111.0,31,0,,,done,,done charging,132.0,,52.19073041078566
Car 75,,,,,,gave_up,13,"no alternate charger available, gave up",132.2302265710233,,
Car 149,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 6 (fid=20)",133.43510098509884,6,
Car 206,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 0 (fid=31)",133.5762602535645,0,
Car 206,,31,0,,,start_charge,,starting to charge at Charger 0 (fid=31),134.05168515878427,,
Car 263,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 8 (fid=9)",135.38894114594635,8,
Car 19,,,,47,,arrived,,arrived,136.0,,
Car 138,71.0,27,13,,,done,,done charging,136.0,,75.31628796294795
Car 19,,27,13,,,start_charge,,starting to charge at Charger 13 (fid=27),136.0,,
Car 212,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 4 (fid=51)",137.25445917441826,4,
Car 252,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 3 (fid=4)",139.08276807054,3,
Car 149,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 2 (fid=14)",139.87972901620063,2,
Car 212,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 1 (fid=39)",140.78833275929213,1,
Car 263,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 1 (fid=39)",141.49513605724323,1,
Car 252,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 13 (fid=27)",142.05519077585902,13,
Car 149,,,,,2,switch,,"Charger 2 (fid=14) not available, trying Charger 11 (fid=71)",142.5675657657476,11,
Car 149,,,,,11,switch,,"Charger 11 (fid=71) not available, trying Charger 0 (fid=31)",144.4707936387535,0,
Car 212,,,,,,gave_up,1,"no alternate charger available, gave up",145.6458163191006,,
Car 149,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 8 (fid=9)",146.4211549895582,8,
Car 252,,,,,,gave_up,13,"no alternate charger available, gave up",146.4660250893192,,
Car 263,,,,,1,switch,,"Charger 1 (fid=39) not available, trying Charger 7 (fid=12)",146.5830025551685,7,
Car 254,,,,22,,arrived,,arrived,147.0,,
Car 125,120.0,14,2,,,done,,done charging,147.47542490521977,,94.83016654892972
Car 254,,,,,6,switch,,"Charger 6 (fid=20) not available, trying Charger 0 (fid=31)",148.0,0,
Car 254,,,,,0,switch,,"Charger 0 (fid=31) not available, trying Charger 2 (fid=14)",150.73497022734577,2,
Car 242,,,,24,,arrived,,arrived,151.0,,
Car 254,,14,2,,,start_charge,,starting to charge at Charger 2 (fid=14),151.21039513256554,,
Car 149,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 5 (fid=62)",151.5745846898774,5,
Car 61,,,,21,,arrived,,arrived,152.0,,
Car 242,,,,,13,switch,,"Charger 13 (fid=27) not available, trying Charger 12 (fid=38)",152.0,12,
Car 61,,3,9,,,start_charge,,starting to charge at Charger 9 (fid=3),152.0,,
Car 80,,,,9,,arrived,,arrived,153.0,,
Car 263,,12,7,,,start_charge,,starting to charge at Charger 7 (fid=12),153.65256821474006,,
Car 80,,,,,8,switch,,"Charger 8 (fid=9) not available, trying Charger 5 (fid=62)",154.0,5,
Car 149,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 10 (fid=52)",154.96627155620163,10,
Car 242,,,,,12,switch,,"Charger 12 (fid=38) not available, trying Charger 3 (fid=4)",155.46267827977982,3,
Car 109,,,,45,,arrived,,arrived,157.0,,
Car 80,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 3 (fid=4)",157.39168686632422,3,
Car 109,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 8 (fid=9)",158.0,8,
Car 242,,,,,3,switch,,"Charger 3 (fid=4) not available, trying Charger 6 (fid=20)",158.43510098509884,6,
