car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 241,,,,87,,arrived,,arrived,13.0,,
Car 241,,76,11,,,start_charge,,starting to charge at Charger 11 (fid=76),13.0,,
Car 278,,,,16,,arrived,,arrived,15.0,,
Car 278,,11,3,,,start_charge,,starting to charge at Charger 3 (fid=11),15.0,,
Car 127,,,,38,,arrived,,arrived,21.0,,
Car 127,,5,21,,,start_charge,,starting to charge at Charger 21 (fid=5),21.0,,
Car 227,,,,21,,arrived,,arrived,24.0,,
Car 227,,3,17,,,start_charge,,starting to charge at Charger 17 (fid=3),24.0,,
Car 18,,,,21,,arrived,,arrived,25.0,,
Car 18,,19,9,,,start_charge,,starting to charge at Charger 9 (fid=19),25.0,,
Car 105,,,,29,,arrived,,arrived,26.0,,
Car 105,,35,18,,,start_charge,,starting to charge at Charger 18 (fid=35),26.0,,
Car 19,,,,72,,arrived,,arrived,34.0,,
Car 19,,,,,9,switch,,"Charger 9 (fid=19) not available, trying Charger 18 (fid=35)",35.0,18,
Car 31,,,,3,,arrived,,arrived,37.0,,
Car 19,,,,,18,switch,,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",37.89599339858657,6,
Car 31,,,,,17,switch,,"Charger 17 (fid=3) not available, trying Charger 1 (fid=74)",38.0,1,
Car 19,,34,6,,,start_charge,,starting to charge at Charger 6 (fid=34),38.14025740190855,,
Car 31,,74,1,,,start_charge,,starting to charge at Charger 1 (fid=74),40.4653655680031,,
Car 11,,,,70,,arrived,,arrived,58.0,,
Car 261,,,,33,,arrived,,arrived,59.0,,
Car 11,,,,,9,switch,,"Charger 9 (fid=19) not available, trying Charger 18 (fid=35)",59.0,18,
Car 261,,,,,18,switch,,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",60.0,6,
Car 261,,,,,6,switch,,"Charger 6 (fid=34) not available, trying Charger 20 (fid=26)",61.24426400332198,20,
Car 11,,,,,18,switch,,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",61.89599339858657,6,
Car 261,,26,20,,,start_charge,,starting to charge at Charger 20 (fid=26),62.754012087246615,,
Car 11,,,,,6,switch,,"Charger 6 (fid=34) not available, trying Charger 19 (fid=115)",63.14025740190855,19,
Car 68,,,,79,,arrived,,arrived,65.0,,
Car 11,,115,19,,,start_charge,,starting to charge at Charger 19 (fid=115),65.26944537861509,,
Car 70,,,,82,,arrived,,arrived,66.0,,
Car 68,,,,,17,switch,,"Charger 17 (fid=3) not available, trying Charger 20 (fid=26)",66.0,20,
Car 70,,,,,11,switch,,"Charger 11 (fid=76) not available, trying Charger 10 (fid=85)",67.0,10,
Car 70,,85,10,,,start_charge,,starting to charge at Charger 10 (fid=85),68.34607238365462,,
Car 68,,,,,20,switch,,"Charger 20 (fid=26) not available, trying Charger 9 (fid=19)",69.70718835232394,9,
Car 169,,,,37,,arrived,,arrived,72.0,,
Car 68,,,,,9,switch,,"Charger 9 (fid=19) not available, trying Charger 18 (fid=35)",72.10963218510707,18,
Car 169,,,,,21,switch,,"Charger 21 (fid=5) not available, trying Charger 4 (fid=63)",73.0,4,
Car 169,,63,4,,,start_charge,,starting to charge at Charger 4 (fid=63),74.77102895441598,,
Car 68,,,,,18,switch,,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",75.00562558369364,6,
Car 68,,,,,6,switch,,"Charger 6 (fid=34) not available, trying Charger 8 (fid=1)",76.24988958701563,8,
Car 240,,,,2,,arrived,,arrived,77.0,,
Car 240,,,,,11,switch,,"Charger 11 (fid=76) not available, trying Charger 10 (fid=85)",78.0,10,
Car 68,,1,8,,,start_charge,,starting to charge at Charger 8 (fid=1),80.04585381828467,,
Car 240,,,,,10,switch,,"Charger 10 (fid=85) not available, trying Charger 7 (fid=5)",80.34607238365462,7,
Car 92,,,,53,,arrived,,arrived,81.0,,
Car 92,,15,14,,,start_charge,,starting to charge at Charger 14 (fid=15),81.0,,
Car 240,,5,7,,,start_charge,,starting to charge at Charger 7 (fid=5),83.73369040073933,,
Car 241,71.0,76,11,,,done,,done charging,84.0,,101.37431941770164
Car 252,,,,75,,arrived,,arrived,95.0,,
Car 252,,,,,14,switch,,"Charger 14 (fid=15) not available, trying Charger 7 (fid=5)",96.0,7,
Car 252,,,,,7,switch,,"Charger 7 (fid=5) not available, trying Charger 12 (fid=61)",100.26064631684667,12,
Car 100,,,,76,,arrived,,arrived,102.0,,
Car 100,,76,11,,,start_charge,,starting to charge at Charger 11 (fid=76),102.0,,
Car 19,66.0,34,6,,,done,,done charging,104.14025740190854,,101.47606808481868
