car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 7,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),86.0,,7.8430036572334245,
Car 38,,,,,,gave_up,3,"no alternate charger available, gave up",86.1553923431383,,,
Car 150,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),86.32604052689258,,10.0,
Car 203,,,,69,,arrived,,arrived,88.0,,,
Car 483,,,,45,,arrived,,arrived,89.0,,,
Car 337,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",90.0,3,,
Car 192,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",91.0,0,,
Car 251,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",91.15699634276658,0,,
Car 389,,,,,,gave_up,1,"no alternate charger available, gave up",91.27126465032296,,,
Car 203,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",93.0,2,,
Car 483,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",94.0,0,,
Car 32,,,,70,,arrived,,arrived,96.0,,,
Car 337,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",96.15699634276658,0,,
Car 388,65.0,17,2,,,done,,done charging,97.16904418412601,,,141.61609928960306
Car 203,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),97.16904418412601,,8.012047841359433,
Car 5,,,,27,,arrived,,arrived,98.0,,,
Car 25,,,,71,,arrived,,arrived,98.0,,,
Car 192,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 3 (fid=19)",98.16904418412601,3,,
Car 251,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",98.32604052689258,1,,
Car 289,80.0,19,3,,,done,,done charging,100.0,,,45.003292524013496
Car 32,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),100.0,,4.0,
Car 483,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 3 (fid=19)",101.16904418412601,3,,
Car 5,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",103.0,2,,
Car 25,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",103.0,2,,
Car 337,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",104.15025190977373,1,,
Car 251,,,,,,gave_up,1,"no alternate charger available, gave up",104.27126465032296,,,
Car 326,92.0,1,0,,,done,,done charging,105.0,,,146.8231423992997
Car 201,,,,15,,arrived,,arrived,106.0,,,
Car 192,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 1 (fid=7)",106.16229975113316,1,,
Car 5,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",109.15699634276658,0,,
