car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 58,55.0,54,17,,,done,done charging,350.0,,163.18773994576398
Car 99,,,,16,,arrived,arrived,352.0,,
Car 99,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),352.0,,
Car 93,98.0,7,4,,,done,done charging,366.0,,61.257881433004776
Car 41,,,,30,,arrived,arrived,373.0,,
Car 41,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",374.0,17,
Car 98,,,,68,,arrived,arrived,375.0,,
Car 96,109.0,51,2,,,done,done charging,376.0,,217.9639886447333
Car 98,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",376.0,7,
Car 41,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 1 (fid=20)",377.29813938214716,1,
Car 98,,,,,7,switch,"Charger 7 (fid=69) not available, trying Charger 16 (fid=56)",377.70520880161683,16,
Car 39,67.0,28,13,,,done,done charging,379.4611414458215,,128.29925992654617
Car 98,,56,16,,,start_charge,starting to charge at Charger 16 (fid=56),379.9047283902735,,
Car 82,55.0,20,1,,,done,done charging,380.0,,47.18227729566772
Car 41,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),380.0,,
Car 19,88.0,30,6,,,done,done charging,399.0,,68.69636469196388
Car 69,,,,58,,arrived,arrived,409.0,,
Car 69,,7,4,,,start_charge,starting to charge at Charger 4 (fid=7),409.0,,
Car 99,64.0,54,17,,,done,done charging,416.0,,118.94727513613948
Car 75,,,,54,,arrived,arrived,418.0,,
Car 75,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),418.0,,
Car 53,,,,68,,arrived,arrived,425.0,,
Car 53,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",426.0,7,
Car 53,,,,,7,switch,"Charger 7 (fid=69) not available, trying Charger 16 (fid=56)",427.70520880161683,16,
Car 53,,,,,16,switch,"Charger 16 (fid=56) not available, trying Charger 8 (fid=13)",430.9047283902735,8,
Car 90,,,,4,,arrived,arrived,432.0,,
Car 90,,51,2,,,start_charge,starting to charge at Charger 2 (fid=51),432.0,,
Car 53,,13,8,,,start_charge,starting to charge at Charger 8 (fid=13),434.62911760891666,,
Car 30,90.0,69,7,,,done,done charging,435.70520880161683,,54.38440491908129
Car 2,,,,70,,arrived,arrived,457.0,,
Car 2,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",458.0,7,
Car 2,,69,7,,,start_charge,starting to charge at Charger 7 (fid=69),458.70520880161683,,
Car 74,,,,53,,arrived,arrived,464.0,,
Car 74,,,,,2,switch,"Charger 2 (fid=51) not available, trying Charger 10 (fid=75)",465.0,10,
Car 74,,75,10,,,start_charge,starting to charge at Charger 10 (fid=75),467.6662617575749,,
Car 38,,,,17,,arrived,arrived,472.0,,
Car 38,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),472.0,,
Car 98,101.0,56,16,,,done,done charging,480.9047283902735,,178.39353553031845
Car 69,74.0,7,4,,,done,done charging,483.0,,172.92430931266674
Car 53,54.0,13,8,,,done,done charging,488.62911760891666,,188.94944947322426
Car 68,,,,4,,arrived,arrived,490.0,,
Car 68,,65,12,,,start_charge,starting to charge at Charger 12 (fid=65),490.0,,
Car 0,,,,10,,arrived,arrived,492.0,,
Car 0,,10,5,,,start_charge,starting to charge at Charger 5 (fid=10),492.0,,
Car 41,120.0,20,1,,,done,done charging,500.0,,143.4018708091329
Car 90,69.0,51,2,,,done,done charging,501.0,,228.39971718308718
Car 75,88.0,54,17,,,done,done charging,506.0,,16.39703214846386
Car 2,60.0,69,7,,,done,done charging,518.7052088016169,,115.40383383313667
Car 74,58.0,75,10,,,done,done charging,525.6662617575748,,148.79444202525764
Car 59,,,,54,,arrived,arrived,542.0,,
Car 59,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),542.0,,
Car 0,53.0,10,5,,,done,done charging,545.0,,26.679364806838958
Car 68,69.0,65,12,,,done,done charging,559.0,,109.82653339004865
Car 38,93.0,28,13,,,done,done charging,565.0,,96.86735389093309
Car 91,,,,56,,arrived,arrived,599.0,,
Car 91,,56,16,,,start_charge,starting to charge at Charger 16 (fid=56),599.0,,
Car 59,88.0,54,17,,,done,done charging,630.0,,16.39703214846386
Car 12,,,,53,,arrived,arrived,643.0,,
Car 12,,51,2,,,start_charge,starting to charge at Charger 2 (fid=51),643.0,,
Car 92,,,,30,,arrived,arrived,667.0,,
Car 92,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),667.0,,
Car 91,72.0,56,16,,,done,done charging,671.0,,44.63517725683041
Car 22,,,,77,,arrived,arrived,696.0,,
Car 22,,,,,2,switch,"Charger 2 (fid=51) not available, trying Charger 4 (fid=7)",697.0,4,
Car 22,,7,4,,,start_charge,starting to charge at Charger 4 (fid=7),699.7113525299897,,
Car 16,,,,81,,arrived,arrived,703.0,,
Car 16,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 15 (fid=12)",704.0,15,
Car 16,,12,15,,,start_charge,starting to charge at Charger 15 (fid=12),707.8559066030543,,
Car 65,,,,87,,arrived,arrived,728.0,,
Car 65,,84,3,,,start_charge,starting to charge at Charger 3 (fid=84),728.0,,
Car 13,,,,34,,arrived,arrived,740.0,,
Car 61,,,,16,,arrived,arrived,740.0,,
Car 61,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),740.0,,
Car 13,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",741.0,17,
Car 12,99.0,51,2,,,done,done charging,742.0,,141.05116143395506
Car 52,,,,68,,arrived,arrived,744.0,,
Car 52,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),744.0,,
Car 13,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 1 (fid=20)",744.2981393821472,1,
Car 73,,,,9,,arrived,arrived,746.0,,
Car 73,,8,11,,,start_charge,starting to charge at Charger 11 (fid=8),746.0,,
Car 13,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",747.6277342351243,7,
Car 13,,69,7,,,start_charge,starting to charge at Charger 7 (fid=69),748.3329430367411,,
Car 9,,,,11,,arrived,arrived,762.0,,
Car 9,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 13 (fid=28)",763.0,13,
Car 9,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 1 (fid=20)",766.2981393821472,1,
Car 9,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",769.7592808279687,7,
Car 9,,,,,7,switch,"Charger 7 (fid=69) not available, trying Charger 16 (fid=56)",771.4644896295855,16,
Car 9,,56,16,,,start_charge,starting to charge at Charger 16 (fid=56),773.6640092182422,,
Car 22,85.0,7,4,,,done,done charging,784.7113525299897,,237.38278240207208
Car 92,120.0,28,13,,,done,done charging,787.0,,85.56505380271878
Car 28,,,,25,,arrived,arrived,790.0,,
Car 28,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),790.0,,
Car 65,66.0,84,3,,,done,done charging,794.0,,121.03112592137121
Car 78,,,,88,,arrived,arrived,795.0,,
Car 78,,84,3,,,start_charge,starting to charge at Charger 3 (fid=84),795.0,,
Car 33,,,,29,,arrived,arrived,800.0,,
Car 52,57.0,20,1,,,done,done charging,801.0,,53.91744696989945
Car 33,,,,,6,switch,"Charger 6 (fid=30) not available, trying Charger 0 (fid=42)",801.0,0,
Car 33,,42,0,,,start_charge,starting to charge at Charger 0 (fid=42),802.6117850488388,,
Car 46,,,,45,,arrived,arrived,803.0,,
Car 46,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),803.0,,
