car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 554,,,,18,,arrived,arrived,1.0,,,
Car 1327,,,,41,,arrived,arrived,1.0,,,
Car 554,,18,27,,,start_charge,starting to charge at Charger 27 (fid=18),1.0,,0.0,
Car 1327,,33,20,,,start_charge,starting to charge at Charger 20 (fid=33),1.0,,0.0,
Car 1161,,,,17,,arrived,arrived,2.0,,,
Car 1161,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),2.0,,0.0,
Car 1455,,,,37,,arrived,arrived,3.0,,,
Car 1672,,,,68,,arrived,arrived,3.0,,,
Car 1455,,73,28,,,start_charge,starting to charge at Charger 28 (fid=73),3.0,,0.0,
Car 1672,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),3.0,,0.0,
Car 601,,,,40,,arrived,arrived,4.0,,,
Car 601,,61,5,,,start_charge,starting to charge at Charger 5 (fid=61),4.0,,0.0,
Car 1577,,,,57,,arrived,arrived,5.0,,,
Car 1577,,18,27,,,start_charge,starting to charge at Charger 27 (fid=18),5.0,,0.0,
Car 30,,,,4,,arrived,arrived,6.0,,,
Car 1505,,,,27,,arrived,arrived,6.0,,,
Car 30,,60,26,,,start_charge,starting to charge at Charger 26 (fid=60),6.0,,0.0,
Car 1505,,36,7,,,start_charge,starting to charge at Charger 7 (fid=36),6.0,,0.0,
Car 162,,,,7,,arrived,arrived,7.0,,,
Car 162,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),7.0,,0.0,
Car 1297,,,,61,,arrived,arrived,9.0,,,
Car 1297,,61,5,,,start_charge,starting to charge at Charger 5 (fid=61),9.0,,0.0,
Car 327,,,,68,,arrived,arrived,10.0,,,
Car 1127,,,,73,,arrived,arrived,10.0,,,
Car 327,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),10.0,,0.0,
Car 1127,,73,28,,,start_charge,starting to charge at Charger 28 (fid=73),10.0,,0.0,
Car 910,,,,55,,arrived,arrived,11.0,,,
Car 910,,18,27,,,start_charge,starting to charge at Charger 27 (fid=18),11.0,,0.0,
Car 101,,,,62,,arrived,arrived,12.0,,,
Car 342,,,,34,,arrived,arrived,12.0,,,
Car 101,,60,26,,,start_charge,starting to charge at Charger 26 (fid=60),12.0,,0.0,
Car 342,,35,8,,,start_charge,starting to charge at Charger 8 (fid=35),12.0,,0.0,
Car 290,,,,12,,arrived,arrived,13.0,,,
Car 438,,,,73,,arrived,arrived,13.0,,,
Car 290,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),13.0,,0.0,
Car 438,,73,28,,,start_charge,starting to charge at Charger 28 (fid=73),13.0,,0.0,
Car 1042,,,,14,,arrived,arrived,14.0,,,
