car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 173,,,,8,,arrived,,arrived,1.0,,
Car 297,,,,39,,arrived,,arrived,1.0,,
Car 173,,8,15,,,start_charge,,starting to charge at Charger 15 (fid=8),1.0,,
Car 297,,39,1,,,start_charge,,starting to charge at Charger 1 (fid=39),1.0,,
Car 286,,,,24,,arrived,,arrived,5.0,,
Car 286,,27,13,,,start_charge,,starting to charge at Charger 13 (fid=27),5.0,,
Car 223,,,,51,,arrived,,arrived,11.0,,
Car 223,,51,4,,,start_charge,,starting to charge at Charger 4 (fid=51),11.0,,
Car 78,,,,34,,arrived,,arrived,21.0,,
Car 78,,29,16,,,start_charge,,starting to charge at Charger 16 (fid=29),21.0,,
Car 124,,,,29,,arrived,,arrived,26.0,,
Car 124,,,,,16,switch,,"Charger 16 (fid=29) not available, trying Charger 0 (fid=31)",27.0,0,
Car 124,,31,0,,,start_charge,,starting to charge at Charger 0 (fid=31),27.977471937293892,,
Car 217,,,,4,,arrived,,arrived,43.0,,
Car 217,,52,10,,,start_charge,,starting to charge at Charger 10 (fid=52),43.0,,
Car 200,,,,85,,arrived,,arrived,55.0,,
Car 286,50.0,27,13,,,done,,done charging,55.0,,85.28995168695772
Car 200,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",56.0,7,
Car 200,,12,7,,,start_charge,,starting to charge at Charger 7 (fid=12),58.28090038754441,,
Car 188,,,,45,,arrived,,arrived,61.0,,
Car 188,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),61.0,,
Car 297,61.0,39,1,,,done,,done charging,62.0,,52.906494900102736
Car 137,,,,33,,arrived,,arrived,65.0,,
Car 238,,,,61,,arrived,,arrived,65.0,,
Car 137,,27,13,,,start_charge,,starting to charge at Charger 13 (fid=27),65.0,,
Car 238,,39,1,,,start_charge,,starting to charge at Charger 1 (fid=39),65.0,,
Car 285,,,,58,,arrived,,arrived,67.0,,
Car 285,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 10 (fid=52)",68.0,10,
Car 178,,,,19,,arrived,,arrived,69.0,,
Car 178,,20,6,,,start_charge,,starting to charge at Charger 6 (fid=20),69.0,,
Car 74,,,,77,,arrived,,arrived,70.0,,
Car 175,,,,2,,arrived,,arrived,70.0,,
Car 74,,,,,4,switch,,"Charger 4 (fid=51) not available, trying Charger 5 (fid=62)",71.0,5,
Car 175,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",71.0,7,
Car 285,,,,,10,switch,,"Charger 10 (fid=52) not available, trying Charger 7 (fid=12)",71.53387358487387,7,
Car 175,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 4 (fid=51)",74.28090038754442,4,
Car 285,,,,,7,switch,,"Charger 7 (fid=12) not available, trying Charger 5 (fid=62)",74.8147739724183,5,
