buurtcode,buurtnaam,wijkcode,gemeentecode,gemeentenaam,indelingswijzigingWijkenEnBuurten,water,meestVoorkomendePostcode,dekkingspercentage,omgevingsadressendichtheid,stedelijkheidAdressenPerKm2,bevolkingsdichtheidInwonersPerKm2,aantalInwoners,mannen,vrouwen,percentagePersonen0Tot15Jaar,percentagePersonen15Tot25Jaar,percentagePersonen25Tot45Jaar,percentagePersonen45Tot65Jaar,percentagePersonen65JaarEnOuder,percentageOngehuwd,percentageGehuwd,percentageGescheid,percentageVerweduwd,geboorteTotaal,geboortesPer1000Inwoners,sterfteTotaal,sterfteRelatief,aantalHuishoudens,percentageEenpersoonshuishoudens,percentageHuishoudensZonderKinderen,percentageHuishoudensMetKinderen,gemiddeldeHuishoudsgrootte,percentageMetHerkomstlandNederland,percentageMetHerkomstlandUitEuropaExclNl,percentageMetHerkomstlandBuitenEuropa,percentageGebInNlMetHerkomstlandNederland,percGebInNlMetHerkomstlandInEuropaExNl,percGebInNlMetHerkomstlandBuitenEuropa,percGebBuitenNlMetHerkomstlndInEuropaExNl,percGebBuitenNlMetHerkomstlndBuitenEuropa,aantalBedrijvenLandbouwBosbouwVisserij,aantalBedrijvenNijverheidEnergie,aantalBedrijvenHandelEnHoreca,aantalBedrijvenVervoerInformatieCommunicatie,aantalBedrijvenFinancieelOnroerendGoed,aantalBedrijvenZakelijkeDienstverlening,aantalBedrijvenOverheidOnderwijsEnZorg,aantalBedrijvenCultuurRecreatieOverige,aantalBedrijfsvestigingen,woningvoorraad,gemiddeldeWoningwaarde,percentageEengezinswoning,percentageMeergezinswoning,percentageBewoond,percentageKoopwoningen,percentageHuurwoningen,percHuurwoningenInBezitWoningcorporaties,percHuurwoningenInBezitOverigeVerhuurders,percentageWoningenMetEigendomOnbekend,percentageBouwjaarklasseTot2000,percentageBouwjaarklasseVanaf2000,percentageLeegstandWoningen,gemiddeldGasverbruikTotaal,gemiddeldGasverbruikAppartement,gemiddeldGasverbruikTussenwoning,gemiddeldGasverbruikHoekwoning,gemiddeldGasverbruik2Onder1KapWoning,gemiddeldGasverbruikVrijstaandeWoning,gemiddeldGasverbruikHuurwoning,gemiddeldGasverbruikkoopwoning,gemiddeldElektriciteitsverbruikTotaal,gemiddeldElektriciteitsverbruikAppartement,gemiddeldElektriciteitsverbruikTussenwoning,gemiddeldElektriciteitsverbruikHoekwoning,gemElektriciteitsverbruik2Onder1KapWoning,gemElektriciteitsverbruikVrijstaandeWoning,gemiddeldElektriciteitsverbruikHuurwoning,gemiddeldElektriciteitsverbruikkoopwoning,percentageWoningenMetStadsverwarming,opleidingsniveauLaag,opleidingsniveauMiddelbaar,opleidingsniveauHoog,nettoArbeidsparticipatie,percentageWerknemers,percentageZelfstandigen,aantalInkomensontvangers,gemiddeldInkomenPerInkomensontvanger,gemiddeldInkomenPerInwoner,percentagePersonenMetHoogInkomen,percentagePersonenMetLaagInkomen,percentageHuishoudensMetHoogInkomen,percentageHuishoudensMetLaagInkomen,percentageHuishoudensMetLaagsteInkomen,percentageHuishoudensOnderOfRondSociaalMinimum,aantalPersonenMetEenAoUitkeringTotaal,aantalPersonenMetEenWwUitkeringTotaal,aantalPersonenMetEenAlgBijstandsuitkeringTot,aantalPersonenMetEenAowUitkeringTotaal,gemiddeldGestandaardiseerdInkomenVanHuishoudens,huishoudensTot110PercentVanSociaalMinimum,huishoudensTot120PercentVanSociaalMinimum,mediaanVermogenVanParticuliereHuish,aantalJongerenMetJeugdzorgInNatura,percentageJongerenMetJeugdzorgInNatura,aantalWmoClienten,aantalWmoClientenPer1000Inwoners,personenautosTotaal,personenautosPerHuishouden,personenautosPerKm2,motortweewielersTotaal,aantalPersonenautosMetBrandstofBenzine,aantalPersonenautosMetOverigeBrandstof,oppervlakteTotaalInHa,oppervlakteLandInHa,oppervlakteWaterInHa,huisartsenpraktijkGemiddeldeAfstandInKm,huisartsenpraktijkGemiddeldAantalBinnen1Km,huisartsenpraktijkGemiddeldAantalBinnen3Km,huisartsenpraktijkGemiddeldAantalBinnen5Km,huisartsenpostGemiddeldeAfstandInKm,apotheekGemiddeldeAfstandInKm,ziekenhuisInclBuitenpolikliniekGemAfstInKm,ziekenhuisInclBuitenpoliGemAantalBinnen5Km,ziekenhuisInclBuitenpoliGemAantalBinnen10Km,ziekenhuisInclBuitenpoliGemAantalBinnen20Km,ziekenhuisExclBuitenpolikliniekGemAfstInKm,ziekenhuisExclBuitenpoliGemAantalBinnen5Km,ziekenhuisExclBuitenpoliGemAantalBinnen10Km,ziekenhuisExclBuitenpoliGemAantalBinnen20Km,groteSupermarktGemiddeldeAfstandInKm,groteSupermarktGemiddeldAantalBinnen1Km,groteSupermarktGemiddeldAantalBinnen3Km,groteSupermarktGemiddeldAantalBinnen5Km,winkelsOvDagelijkseLevensmGemAfstInKm,winkelsOvDagelLevensmGemAantalBinnen1Km,winkelsOvDagelLevensmGemAantalBinnen3Km,winkelsOvDagelLevensmGemAantalBinnen5Km,warenhuisGemiddeldeAfstandInKm,warenhuisGemiddeldAantalBinnen5Km,warenhuisGemiddeldAantalBinnen10Km,warenhuisGemiddeldAantalBinnen20Km,cafeGemiddeldeAfstandInKm,cafeGemiddeldAantalBinnen1Km,cafeGemiddeldAantalBinnen3Km,cafeGemiddeldAantalBinnen5Km,cafetariaGemiddeldeAfstandInKm,cafetariaGemiddeldAantalBinnen1Km,cafetariaGemiddeldAantalBinnen3Km,cafetariaGemiddeldAantalBinnen5Km,restaurantGemiddeldeAfstandInKm,restaurantGemiddeldAantalBinnen1Km,restaurantGemiddeldAantalBinnen3Km,restaurantGemiddeldAantalBinnen5Km,hotelGemiddeldeAfstandInKm,hotelGemiddeldAantalBinnen5Km,hotelGemiddeldAantalBinnen10Km,hotelGemiddeldAantalBinnen20Km,kinderdagverblijfGemiddeldeAfstandInKm,kinderdagverblijfGemiddeldAantalBinnen1Km,kinderdagverblijfGemiddeldAantalBinnen3Km,kinderdagverblijfGemiddeldAantalBinnen5Km,buitenschoolseOpvangGemAfstandInKm,buitenschoolseOpvangGemiddeldAantalBinnen1Km,buitenschoolseOpvangGemiddeldAantalBinnen3Km,buitenschoolseOpvangGemiddeldAantalBinnen5Km,basisonderwijsGemiddeldeAfstandInKm,basisonderwijsGemiddeldAantalBinnen1Km,basisonderwijsGemiddeldAantalBinnen3Km,basisonderwijsGemiddeldAantalBinnen5Km,voortgezetOnderwijsGemAfstandInKm,voortgezetOnderwijsGemiddeldAantalBinnen3Km,voortgezetOnderwijsGemiddeldAantalBinnen5Km,voortgezetOnderwijsGemiddeldAantalBinnen10Km,vmboGemiddeldeAfstandInKm,vmboGemiddeldAantalBinnen3Km,vmboGemiddeldAantalBinnen5Km,vmboGemiddeldAantalBinnen10Km,havoVwoGemiddeldeAfstandInKm,havoVwoGemiddeldAantalBinnen3Km,havoVwoGemiddeldAantalBinnen5Km,havoVwoGemiddeldAantalBinnen10Km,brandweerkazerneGemiddeldeAfstandInKm,opritHoofdverkeerswegGemiddeldeAfstandInKm,treinstationGemiddeldeAfstandInKm,overstapstationGemiddeldeAfstandInKm,zwembadGemiddeldeAfstandInKm,kunstijsbaanGemiddeldeAfstandInKm,bibliotheekGemiddeldeAfstandInKm,poppodiumGemiddeldeAfstandInKm,bioscoopGemiddeldeAfstandInKm,bioscoopGemiddeldAantalBinnen5Km,bioscoopGemiddeldAantalBinnen10Km,bioscoopGemiddeldAantalBinnen20Km,saunaGemiddeldeAfstandInKm,zonnebankGemiddeldeAfstandInKm,attractieparkGemiddeldeAfstandInKm,attractieparkGemiddeldAantalBinnen10Km,attractieparkGemiddeldAantalBinnen20Km,attractieparkGemiddeldAantalBinnen50Km,theaterGemiddeldeAfstandInKm,theaterGemiddeldAantalBinnen5Km,theaterGemiddeldAantalBinnen10Km,theaterGemiddeldAantalBinnen20Km,gemiddeldeAfstandTotMuseum,gemiddeldAantalMuseaBinnen5Km,gemiddeldAantalMuseaBinnen10Km,gemiddeldAantalMuseaBinnen20Km,afstandTotOpenbaarGroenTotaal,afstandTotParkOfPlantsoen,afstandTotDagrcreatiefTerrein,afstandTotBos,afstandTotOpenNatuurTerreinTotaal,afstandTotOpenDroogNatuurTerrein,afstandTotOpenNatNatuurlijkTerrein,afstandTotSemiopenbaarGroenTotaal,afstandTotSportterrein,afstandTotVolkstuin,afstandTotVerblijfsrecreatiefTerrein,afstandTotRecreatiefBinnenwater,afstandTotBegraafplaats,jrstatcode,jaar,aantalNieuwbouwWoningen,aantalNietWoningvoorraad,aantalNieuwbouwNietWoningen,percEengezinswoningTussenwoning,percEengezinswoningHoekwoning,percEengezinswoning2Onder1Kap,percEengezinswoningVrijstaand,percBouwjaarMeerDan10JaarGeleden,percBouwjaarAfgelopen10Jaar,percentageOnbewoond,gemiddeldAardgasverbruik,percentageAardgaswoningen,percentageAardgasvrijeWoningen,gemiddeldeElektriciteitslevering,gemiddeldeElektriciteitsteruglevering,percentageWoningenMetZonnestroom,aantalLeerlingenPrimairOnderwijs,aantalLeerlingenVoortgezetOnderwijs,aantalStudentenMbo,aantalStudentenHbo,aantalStudentenWo,fuuid
BU07721110,Binnenstad,WK077211,GM0772,Eindhoven,1,NEE,"5611",1,4272,1,6218,4070,2405,1665,4,28,46,13,9,78,16,5,2,20,5,20,5,3095,75,19,5,1.3,39,26,35,39,2,6,24,29,0,50,525,105,120,280,85,140,1310,2363,358,8,92,-99997,18,82,21,60,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,12,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,90,40,70,320,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,1555,0.5,2375,75,960,595,67,66,1,1.1,1.4,15.3,30.9,3.7,1.1,2.6,3,5,7,2.9,2,4,5,0.5,2,32.5,59.4,0.3,10.4,101.4,147.5,1.1,6.2,12,23,0.2,19.3,105.1,125.1,0.2,27.2,175.5,247.4,0.1,55.6,256.8,314.1,0.3,23.5,34.3,52,0.9,1.3,23.1,57.8,0.9,1.8,27.5,67.4,1,0.6,12.4,36,1.6,7.5,17.4,25.5,2.2,4.4,12.1,19.5,1.7,4,9.6,15.5,1.7,3.8,1.7,1.7,3.3,3.8,1.5,0.7,0.9,4,5,8,1.7,1.5,2.6,4.6,10,39.4,0.6,7,8,13,0.9,4,8.3,17,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07721110,2024,0,955,1,6,1,0,0,96,4,11,530,74,18,1990,50,5,60,60,30,300,540,buurten.94040db9-d588-46f3-ba27-e749e408d70b
BU07721120,Bergen,WK077211,GM0772,Eindhoven,1,NEE,"5611",1,4528,1,8456,2905,1605,1300,6,19,48,18,9,71,22,5,2,20,7,10,4,1985,66,25,9,1.5,45,23,32,45,3,5,20,28,0,30,165,60,60,205,90,90,705,1684,390,14,86,-99997,32,68,9,59,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,40,30,20,230,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,885,0.4,2581,65,695,190,35,34,0,0.5,2.6,15.1,29,4.2,0.5,3.1,3,5,7,3.4,2,4,5,0.7,1.7,36,58.3,0.2,14.9,105.8,144.5,1.9,6.4,11.7,23,0.3,27.2,106.5,124.4,0.2,27.1,185.5,244.5,0.1,72.5,261.7,312,0.4,24.9,34.6,51.5,0.5,1.8,23.6,54.7,0.5,2.6,29.1,67,0.8,0.8,13.9,34.5,1.2,7.3,16.8,26,2,4.3,11.6,20,1.2,4,8.8,16,0.6,3.7,2.2,2.2,3.2,3.1,1.4,1,1.2,4,5,8,2.4,0.9,2.2,4.9,10,39.5,0.9,7,8,13,1,4,8.1,17,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07721120,2024,0,290,1,9,3,1,0,99,1,10,690,82,14,2200,80,8,70,50,30,180,260,buurten.c6afca03-de4f-48e3-9157-0189a9387831
BU07721130,Witte Dame,WK077211,GM0772,Eindhoven,1,NEE,"5611",1,4866,1,12308,2260,1290,970,6,11,60,13,9,67,26,6,2,20,8,10,4,1525,61,30,8,1.5,30,22,47,30,2,5,20,42,0,25,85,70,45,195,35,60,520,1645,350,0,100,-99997,15,85,15,71,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,92,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,30,30,20,190,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,575,0.4,3123,40,445,130,18,18,0,1,0.8,18.1,32.8,3.4,1,2.6,3,5,7,2.6,2,4,5,0.3,2.9,37.9,61,0.4,13.8,110.1,152,1.1,7,12,23,0.4,16.1,116.1,125.1,0.1,34.8,192,253.8,0.1,65.3,268.6,317.2,0.3,24.3,34.4,52,0.9,1.1,22.5,59.5,0.9,1.2,26.2,70.5,1,0.3,13.4,39,1.7,9.1,19.2,25.3,1.7,5.6,13.2,19.3,1.7,5,11,15.3,1.1,3.4,1.4,1.4,3.6,3.6,0.6,1.3,0.5,4,5,8,2.6,0.4,1.7,5.5,10,38.9,0.8,7,8,13,0.6,4,8,17,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07721130,2024,0,101,0,0,0,0,0,89,11,10,20,4,92,1730,0,0,60,30,10,80,90,buurten.14b73a35-1361-4c07-8863-d889ca4da818
BU07721140,Fellenoord,WK077211,GM0772,Eindhoven,1,NEE,"5612",4,4363,1,892,200,125,75,1,32,63,3,1,86,14,1,0,5,5,0,0,165,82,16,2,1.2,6,26,68,6,0,3,26,65,0,20,55,70,35,140,30,10,360,160,183,0,100,-99997,0,100,0,100,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,0,0,0,0,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,490,-99997,-99997,5,90,400,22,22,0,1.1,0,19,35,2.6,1.1,2,3,5,7,2,2,4,5,0.3,7.8,38,68,0.2,16,108,159,0.6,7,12,23,0.7,4,111.1,126,0.4,33.8,189.9,259.9,0.2,39.1,269.9,325,0.3,24,35,53,0.2,1,25.9,66,0.2,1,28.9,77,0.2,1,14.9,42,1.6,11,21,25,1.6,7,15,19,2.2,6,12,15,1.7,3.4,0.9,0.9,4.2,4.1,0.9,1.3,0.9,4,5,8,2.2,0.9,1.5,6,10,38,1.3,7,9,13,1.2,4,8,17,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07721140,2024,0,199,0,0,0,0,0,100,0,3,550,100,0,1400,0,1,0,0,0,10,30,buurten.2ad5ee51-6051-4a91-9581-ed5fb3660752
BU07721150,TU-terrein,WK077211,GM0772,Eindhoven,1,NEE,"5612",1,2048,2,650,790,525,270,0,59,40,0,0,97,3,0,0,5,10,5,8,755,95,5,0,1.1,5,40,55,5,1,2,39,53,0,20,15,45,0,90,20,30,220,666,147,0,100,-99997,0,100,34,66,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,70,30,10,10,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,50,0.1,39,5,35,10,124,122,2,1.7,0,12.7,33.6,3,1.9,1.4,2,5,7,1.4,2,4,5,0.2,1,23.5,62.9,1.5,0,58.1,151.1,1.8,6,12.4,22,1.4,0,57.1,123.6,1.5,0,96.8,246.5,0.1,2,138.2,313.6,1.6,22,34,53,0.2,1,16.1,63.9,1.7,0,14.7,66.3,1.7,0,8.8,36.5,1.5,4.2,15.6,25,1.7,3.2,11.6,19,1.7,2.2,8.6,15,1.2,3,1.6,1.6,4.3,5.7,2.3,2.6,2.2,4,5,8,2.3,2.5,3.2,4.6,10,40,2.4,7,8,12,2.5,4,7.6,16,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07721150,2024,437,80,7,0,0,0,0,66,34,3,1710,60,0,920,0,0,10,10,10,100,880,buurten.c8f4b78f-488d-4fbd-9a67-b00f97a85b3c
BU07722110,Irisbuurt,WK077221,GM0772,Eindhoven,1,NEE,"5611",3,3609,1,5031,2645,1440,1200,12,14,42,21,10,66,25,6,2,30,10,10,5,1480,53,26,21,1.8,56,16,28,56,4,8,12,20,0,50,90,45,30,140,55,65,475,1346,393,50,50,-99997,47,53,18,35,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,80,40,30,240,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,1065,0.7,2024,65,815,250,54,53,1,0.9,1.9,13.6,29.4,4.3,0.9,2.8,3,5,7,3.4,2,4,5,0.5,2.8,26.6,57.3,0.5,5.5,84.9,144.8,1.5,6.1,12.6,23.5,0.4,10.4,91,126.1,0.5,12.5,150.5,240.6,0.3,20.2,231.7,310.5,0.6,24.1,34.9,53.3,0.6,3.8,25.4,56,0.4,3.5,31.4,69.2,0.8,1.2,14,33.7,0.7,5.4,16.4,26,1.4,2.3,11.4,20,0.7,3.3,8.7,16,1.8,3.7,2.3,2.3,2.8,3.3,2.5,1.2,1.4,4,5,8,1.1,1.7,3.6,4.8,10,39.7,1.1,7,8,13,0.6,4,8.3,17.6,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07722110,2024,124,320,3,36,11,1,2,77,23,6,660,83,11,2270,430,28,180,90,30,120,120,buurten.6d8ae74a-04c8-4058-a3d9-4694f29b273a
BU07722120,Rochusbuurt,WK077221,GM0772,Eindhoven,1,NEE,"5611",1,3881,1,12481,1830,1010,820,9,25,44,15,8,79,15,5,1,15,8,5,3,1255,72,17,11,1.5,53,21,27,53,4,7,17,20,0,20,50,35,10,110,55,45,330,1014,319,28,72,-99997,28,72,21,51,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,50,30,50,130,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,520,0.4,3540,30,425,95,15,15,0,0.5,2.9,13.7,30.5,4.2,0.5,2.4,3,5,7,3.4,2,4,5,0.3,3.8,29.1,60.5,0.3,8.6,89.4,150.3,1.5,6.5,13,23.2,0.3,15.4,96.6,125.4,0.3,18.3,161.7,249.7,0.3,33.2,238.9,316.5,0.4,24,36.8,53.2,0.3,3,25.9,60.6,0.3,4.1,33.9,72.1,0.4,1,13.7,37.6,0.9,6.5,16.5,26,1.5,3.1,11.5,20,0.9,4.4,8.5,16,1.4,3.3,2.2,2.2,2.4,2.9,2.3,0.8,1.3,4,5,8,1.3,1.3,3.4,5,10,40,0.8,7,8,13,0.7,4,9.7,17.4,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07722120,2024,8,109,0,18,6,3,1,96,4,6,710,93,5,2120,190,12,90,40,20,150,210,buurten.1074b4a2-4d59-4a52-b719-7d9a0f56129f
BU07722130,Elzent-Noord,WK077221,GM0772,Eindhoven,1,NEE,"5611",1,3818,1,6042,1255,685,570,12,15,36,20,16,61,31,5,3,10,6,5,5,730,57,24,18,1.7,45,27,27,45,3,5,24,22,0,20,20,15,45,85,55,20,260,570,652,29,71,-99997,48,52,0,52,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10,10,10,180,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,480,0.7,2311,15,340,140,21,21,0,0.3,3.2,14,29.8,4.4,0.3,2.3,3,5,7,3.6,2,4,5,0.4,3.6,29,58.7,0.7,10.8,94,145.6,1.7,6,12.4,23,0.5,18.3,98.4,124.6,0.5,19.3,167.4,243,0.4,47,244.5,313.1,0.5,24,36.4,52,0.7,3,26.8,59.1,0.4,5,35.6,70,0.7,2,14.9,36.9,0.9,7.8,16,26,1.9,4.1,11,20,0.9,5.7,8,16,0.9,3.2,2.4,2.4,2.3,2.8,2.2,0.8,1.5,4,5,8,1.6,1.2,3,5,10,40,0.4,7,8,13,0.7,4,10,17,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07722130,2024,0,43,0,7,5,10,8,100,0,6,1110,95,1,2770,170,27,80,60,10,30,60,buurten.2ada2882-e62d-4457-9415-c2d1253e2c47
BU07722140,Tuindorp,WK077221,GM0772,Eindhoven,1,NEE,"5614",2,3682,1,6369,2875,1430,1450,11,14,29,21,24,60,23,8,9,25,9,75,26,1580,57,23,20,1.7,72,14,14,72,4,4,10,10,0,15,35,40,20,110,80,50,345,1437,393,41,59,-99997,49,51,30,20,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,60,30,30,630,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,1000,0.6,2212,70,805,195,45,45,0,0.9,1.4,11.9,28.1,4.9,0.7,2.2,2.7,5,7,4,1.7,4,5,0.6,3.1,22.3,55.7,0.3,8.8,75.7,142.3,2.1,5.9,13.5,23.9,0.4,8.2,85.6,125.4,0.4,10,132,232.9,0.4,15.3,215.1,307.9,0.7,24.1,37.1,54,0.6,3.2,22.2,54.6,0.6,5.6,29.4,67.5,0.7,2.1,10.8,33,0.7,5.9,15,26,0.9,3,10,20,0.9,3.9,7.7,16,2,3.1,2.8,2.8,2.2,2.8,3,0.7,2,4,5,8,1.9,1.2,4,5,10,39.8,0.7,7,8,13,1.3,4,9.9,18,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07722140,2024,15,176,1,29,9,1,0,99,1,6,970,97,0,2060,230,14,160,140,40,130,150,buurten.e0e2db46-7be3-4682-bfb8-06dbc067651c
BU07722150,Joriskwartier,WK077221,GM0772,Eindhoven,1,NEE,"5614",1,3740,1,8693,1295,675,615,11,18,42,19,11,68,22,6,3,15,12,5,6,790,59,24,17,1.6,60,17,22,60,4,6,13,16,0,15,40,20,10,50,40,20,195,654,350,51,49,-99997,46,54,15,39,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,30,10,30,130,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,470,0.6,3148,35,385,80,15,15,0,0.9,1.9,11.9,28.6,4.9,0.7,1.9,2.6,5,7,4.1,1.6,4,5,0.4,4,23.7,56,0.3,10,76.8,142.2,2.2,6,12.5,23.1,0.3,8,88.7,124.9,0.3,12.6,137.2,233.4,0.3,16.3,222.2,305.7,0.4,24,37.8,53.1,0.9,2.8,22.9,53.6,0.8,4.3,31.9,66.1,0.9,1.7,11,33.1,1,6.3,14.7,26,1.1,3,9.7,20,1.2,4.3,7.6,16,1.8,2.8,2.9,2.9,1.9,2.5,3,0.4,2,4,5,8,2.1,0.9,3.9,5,10,40.3,0.4,7,8.3,13,1.3,4,10,17.4,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,2024BU07722150,2024,10,75,2,32,14,3,1,90,10,7,790,98,1,2130,340,20,70,30,20,70,90,buurten.7a325bde-acb5-4465-b918-8d0f87adc737
