car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,82,,arrived,,arrived,0.027102893104260506,,,
Car 0,,91,8,,,start_charge,,starting to charge at Charger 8 (fid=91),0.027102893104260506,,0.0,
Car 1,,,,75,,arrived,,arrived,15.697288976679475,,,
Car 1,,15,20,,,start_charge,,starting to charge at Charger 20 (fid=15),15.697288976679475,,0.0,
Car 2,,,,1,,arrived,,arrived,28.2152554238667,,,
Car 2,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),28.2152554238667,,0.0,
Car 3,,,,50,,arrived,,arrived,29.10207767585672,,,
Car 3,,3,9,,,start_charge,,starting to charge at Charger 9 (fid=3),29.10207767585672,,0.0,
Car 4,,,,36,,arrived,,arrived,39.769113773026056,,,
Car 4,,18,23,,,start_charge,,starting to charge at Charger 23 (fid=18),39.769113773026056,,0.0,
Car 5,,,,30,,arrived,,arrived,45.58383810587358,,,
Car 5,,18,23,,,start_charge,,starting to charge at Charger 23 (fid=18),45.58383810587358,,0.0,
Car 6,,,,73,,arrived,,arrived,47.60040502569978,,,
Car 6,,9,14,,,start_charge,,starting to charge at Charger 14 (fid=9),47.60040502569978,,0.0,
Car 7,,,,21,,arrived,,arrived,49.31724253918361,,,
Car 7,,21,26,,,start_charge,,starting to charge at Charger 26 (fid=21),49.31724253918361,,0.0,
Car 8,,,,68,,arrived,,arrived,76.36188514031824,,,
Car 8,,19,24,,,start_charge,,starting to charge at Charger 24 (fid=19),76.36188514031824,,0.0,
Car 2,49.0,1,6,,,done,,done charging,77.2152554238667,,,44.57383313613112
Car 9,,,,58,,arrived,,arrived,82.38962232443049,,,
Car 9,,2,7,,,start_charge,,starting to charge at Charger 7 (fid=2),82.38962232443049,,0.0,
Car 10,,,,66,,arrived,,arrived,84.8403864699182,,,
Car 10,,10,15,,,start_charge,,starting to charge at Charger 15 (fid=10),84.8403864699182,,0.0,
Car 11,,,,87,,arrived,,arrived,92.29831317331661,,,
Car 11,,91,8,,,start_charge,,starting to charge at Charger 8 (fid=91),92.29831317331661,,0.0,
Car 5,47.0,18,23,,,done,,done charging,92.58383810587358,,,35.24634451987873
Car 12,,,,118,,arrived,,arrived,100.9231044773207,,,
Car 12,,21,26,,,start_charge,,starting to charge at Charger 26 (fid=21),100.9231044773207,,0.0,
Car 13,,,,78,,arrived,,arrived,103.78948995732097,,,
Car 13,,10,15,,,start_charge,,starting to charge at Charger 15 (fid=10),103.78948995732097,,0.0,
Car 14,,,,46,,arrived,,arrived,106.20839015627942,,,
Car 14,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),106.20839015627942,,0.0,
Car 15,,,,74,,arrived,,arrived,108.11492898975621,,,
Car 15,,,,,26,switch,,"Charger 26 (fid=21) not available, trying Charger 2 (fid=307904)",113.11492898975621,2,,
Car 15,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),115.20587667688254,,5.0,
Car 6,70.0,9,14,,,done,,done charging,117.60040502569979,,,173.15604487774573
Car 0,118.0,91,8,,,done,,done charging,118.02710289310426,,,114.33957705772332
Car 1,107.0,15,20,,,done,,done charging,122.69728897667947,,,87.94678521548677
Car 16,,,,8,,arrived,,arrived,131.57909254584524,,,
Car 16,,8,13,,,start_charge,,starting to charge at Charger 13 (fid=8),131.57909254584524,,0.0,
Car 4,92.0,18,23,,,done,,done charging,131.76911377302605,,,70.15810847914254
Car 17,,,,60,,arrived,,arrived,135.9312632663101,,,
Car 17,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),135.9312632663101,,0.0,
Car 18,,,,83,,arrived,,arrived,140.13492106954885,,,
Car 18,,,,,26,switch,,"Charger 26 (fid=21) not available, trying Charger 2 (fid=307904)",145.13492106954885,2,,
Car 7,97.0,21,26,,,done,,done charging,146.3172425391836,,,25.89714132982747
Car 11,56.0,91,8,,,done,,done charging,148.29831317331661,,,95.48681310494425
Car 3,120.0,3,9,,,done,,done charging,149.10207767585672,,,259.51105596595494
Car 9,69.0,2,7,,,done,,done charging,151.3896223244305,,,153.93833589666082
Car 18,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",152.22586875667517,3,,
Car 18,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),152.48949493823923,,10.0,
Car 19,,,,52,,arrived,,arrived,153.21690992989704,,,
Car 19,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),153.21690992989704,,0.0,
Car 20,,,,54,,arrived,,arrived,161.14139292602647,,,
Car 20,,16,21,,,start_charge,,starting to charge at Charger 21 (fid=16),161.14139292602647,,0.0,
Car 10,78.0,10,15,,,done,,done charging,162.8403864699182,,,282.02955075664784
Car 21,,,,115,,arrived,,arrived,168.2019185766788,,,
Car 21,,19,24,,,start_charge,,starting to charge at Charger 24 (fid=19),168.2019185766788,,0.0,
Car 22,,,,63,,arrived,,arrived,168.3074429909384,,,
Car 22,,4,10,,,start_charge,,starting to charge at Charger 10 (fid=4),168.3074429909384,,0.0,
Car 23,,,,61,,arrived,,arrived,170.6569394877699,,,
Car 23,,3,9,,,start_charge,,starting to charge at Charger 9 (fid=3),170.6569394877699,,0.0,
Car 15,57.0,307904,2,,,done,,done charging,172.20587667688255,,,284.65712019666825
Car 14,77.0,308702,1,,,done,,done charging,183.20839015627942,,,141.9503146929267
Car 24,,,,37,,arrived,,arrived,185.58807553148594,,,
Car 24,,4,10,,,start_charge,,starting to charge at Charger 10 (fid=4),185.58807553148594,,0.0,
Car 25,,,,8,,arrived,,arrived,185.62682245175637,,,
Car 25,,8,13,,,start_charge,,starting to charge at Charger 13 (fid=8),185.62682245175637,,0.0,
Car 17,50.0,11,16,,,done,,done charging,185.9312632663101,,,159.75838309821387
Car 12,87.0,21,26,,,done,,done charging,187.9231044773207,,,121.79043012925388
Car 8,114.0,19,24,,,done,,done charging,190.36188514031824,,,42.82278903991141
Car 26,,,,18,,arrived,,arrived,191.82972268793606,,,
Car 26,,18,23,,,start_charge,,starting to charge at Charger 23 (fid=18),191.82972268793606,,0.0,
Car 13,91.0,10,15,,,done,,done charging,194.78948995732097,,,124.59413079072937
Car 27,,,,35,,arrived,,arrived,197.47101370880793,,,
Car 27,,18,23,,,start_charge,,starting to charge at Charger 23 (fid=18),197.47101370880793,,0.0,
Car 28,,,,38,,arrived,,arrived,206.7127448467706,,,
Car 28,,,,,10,switch,,"Charger 10 (fid=4) not available, trying Charger 5 (fid=5)",211.7127448467706,5,,
Car 28,,5,5,,,start_charge,,starting to charge at Charger 5 (fid=5),212.6011448951586,,5.0,
Car 16,82.0,8,13,,,done,,done charging,213.57909254584524,,,51.031920891441445
Car 22,48.0,4,10,,,done,,done charging,216.3074429909384,,,108.3704539833791
Car 29,,,,11,,arrived,,arrived,218.09513112742195,,,
Car 29,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),218.09513112742195,,0.0,
Car 18,70.0,307905,3,,,done,,done charging,222.48949493823923,,,295.14643277908164
Car 30,,,,85,,arrived,,arrived,228.01696318832555,,,
Car 30,,91,8,,,start_charge,,starting to charge at Charger 8 (fid=91),228.01696318832555,,0.0,
Car 31,,,,1,,arrived,,arrived,228.28689079753457,,,
Car 31,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),228.28689079753457,,0.0,
Car 20,69.0,16,21,,,done,,done charging,230.14139292602647,,,118.94727513613947
Car 19,91.0,1,6,,,done,,done charging,244.21690992989704,,,87.08299239818483
Car 25,60.0,8,13,,,done,,done charging,245.62682245175637,,,51.031920891441445
Car 23,76.0,3,9,,,done,,done charging,246.6569394877699,,,140.0749914334876
Car 32,,,,2,,arrived,,arrived,252.05245919282922,,,
Car 32,,2,7,,,start_charge,,starting to charge at Charger 7 (fid=2),252.05245919282922,,0.0,
Car 33,,,,57,,arrived,,arrived,261.6227739244858,,,
Car 33,,,,,23,switch,,"Charger 23 (fid=18) not available, trying Charger 19 (fid=14)",266.6227739244858,19,,
Car 33,,14,19,,,start_charge,,starting to charge at Charger 19 (fid=14),267.0420871078068,,5.0,
Car 24,83.0,4,10,,,done,,done charging,268.58807553148597,,,131.70605267379972
Car 34,,,,38,,arrived,,arrived,270.87906967515477,,,
Car 34,,4,10,,,start_charge,,starting to charge at Charger 10 (fid=4),270.87906967515477,,0.0,
Car 35,,,,39,,arrived,,arrived,275.31418781106044,,,
Car 35,,3,9,,,start_charge,,starting to charge at Charger 9 (fid=3),275.31418781106044,,0.0,
Car 27,79.0,18,23,,,done,,done charging,276.47101370880796,,,60.875381742837604
Car 21,109.0,19,24,,,done,,done charging,277.2019185766788,,,54.026025838933855
Car 36,,,,68,,arrived,,arrived,279.32423960239106,,,
Car 36,,19,24,,,start_charge,,starting to charge at Charger 24 (fid=19),279.32423960239106,,0.0,
Car 28,70.0,5,5,,,done,,done charging,282.6011448951586,,,181.46240868517273
Car 29,73.0,11,16,,,done,,done charging,291.09513112742195,,,21.885254529647014
